occ,y4_hhid,indidy4,male,age,relation_head,head,father_educ,mother_educ,over_12,cur_married,household_num,clusterid,rural,y4_weights,region_code,region_name,district_code,district_name,satisfy_school_age,read_wri_kiswa,school_exp,start_school_age,cur_school,school_lyear,educ_attain,primary,secondary,university,cur_grade,cur_prim,cur_second,cur_univ,public,board,transportation,time_to_school,free_meal_school,miss_school_lasttwo,absent_reason,access_textbook,homework_hour_week_fir,problem_school_fir,problem_school,problem_school_sec,psle,pass_psle,school_fee,book_mat,uniform_fee,transport_fee,extra_tuition,others,meal_cost,eduction_expendit_12m,adult_literacy_prog,unpaid_employee_12m,non_farm_12m,house_farm_12m,rental_pay_inc,priv_gov_inc,other_inc,income_known_sour
1,1000-001,1,1,67,head,1,0,0,1,0,1000,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,12,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,1,120000,0,0,120000
2,1000-001,2,1,40,SON/DAUGHTER,0,,0,1,0,1000,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,1,0,1,120000,0,0,120000
3,1000-001,3,0,37,SON/DAUGHTER,0,,0,1,0,1000,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,1,0,1,120000,0,0,120000
4,1000-001,4,1,32,SON/DAUGHTER,0,,0,1,0,1000,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,120000,0,0,120000
5,1000-001,5,1,29,SON/DAUGHTER,0,,0,1,0,1000,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,120000,0,0,120000
6,1000-001,6,0,27,SON/DAUGHTER,0,,0,1,0,1000,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,7,1,,,,,,Secondary,0,1,0,0,1,,,0,no,,1,0,NO PROBLEMS (SATISFIED),0,,1,1,300000,15000,7000,15000,0,0,0,337000,0,0,0,1,120000,0,0,120000
1,1001-001,1,1,41,head,1,0,,1,1,1001,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,9,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2,1001-001,2,0,38,spouse,0,1,1,1,1,1001,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,9,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1001-001,3,1,16,SON/DAUGHTER,0,,,1,0,1001,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,6,0,1,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1001-001,4,0,14,SON/DAUGHTER,0,,,1,0,1001,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,8,0,1,,,,,,,,,,,,,,,,,,,,,1,,0,4000,15000,0,0,3500,9500,32000,0,0,0,0,0,0,0,0
5,1001-001,5,1,11,SON/DAUGHTER,0,,,0,,1001,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,7,1,,,,,,Primary,1,0,0,1,0,0,30,0,no,,1,0,POOR TEACHING,1,,0,,0,2500,12000,0,0,3500,9500,27500,0,0,0,0,0,0,0,0
6,1001-001,6,1,7,SON/DAUGHTER,0,,,0,,1001,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
7,1001-001,7,0,1,SON/DAUGHTER,0,,,0,,1001,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,1002-001,1,1,72,head,1,0,0,1,1,1002,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,8,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1002-001,2,0,64,spouse,0,0,0,1,1,1002,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
3,1002-001,3,0,27,SON/DAUGHTER,0,,,1,0,1002,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1003-001,1,0,56,head,1,0,0,1,1,1003,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
2,1003-001,2,0,34,SON/DAUGHTER,0,0,,1,0,1003,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,0,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1003-001,3,1,15,SON/DAUGHTER,0,0,,1,0,1003,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,7,0,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1005-001,1,1,37,head,1,0,0,1,1,1005,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,10,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1005-001,2,0,28,spouse,0,1,0,1,1,1005,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,8,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,1005-001,3,1,5,SON/DAUGHTER,0,,,0,,1005,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,0,1,5,1,,,,,,Others,0,0,0,0,0,1,30,0,no,,0,1,NO PROBLEMS (SATISFIED),0,,0,,60000,600,35000,0,0,0,0,95600,0,0,0,1,0,0,0,0
4,1005-001,4,0,3,SON/DAUGHTER,0,,,0,,1005,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,1006-001,1,1,52,head,1,0,0,1,1,1006,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,13,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,1006-001,2,0,45,spouse,0,1,0,1,1,1006,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,8,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1006-001,3,1,23,SON/DAUGHTER,0,,,1,0,1006,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4,1006-001,4,1,21,SON/DAUGHTER,0,,,1,0,1006,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,8,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5,1006-001,5,0,19,SON/DAUGHTER,0,,,1,0,1006,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,8,1,,,,,,Secondary,0,1,0,1,0,0,60,0,no,,1,1,NO PROBLEMS (SATISFIED),0,,1,1,20000,20000,30000,0,0,2000,85000,157000,0,0,0,1,0,0,0,0
6,1006-001,6,1,9,SON/DAUGHTER,0,,,0,,1006,20203304004,1,3755.7251,arusha,ARUSHA,2,MERU,yes,1,1,8,1,,,,,,Primary,1,0,0,1,0,0,45,0,no,,1,0,NO PROBLEMS (SATISFIED),0,,0,,12000,5500,12000,0,0,3500,38000,71000,0,0,0,0,0,0,0,0
