interview__key,sdd_hhid,sdd_indid,hh_c01,hh_c01_1,hh_c01_2,hh_c02,hh_c03,hh_c03_1,hh_c04,hh_c05,hh_c05a,hh_c06,hh_c07,hh_c08,hh_c09,hh_c10,hh_c11,hh_c12,hh_c13,hh_c14,hh_c15,hh_c16,hh_c17,hh_c18,hh_c19,hh_c20_1,hh_c20_2,hh_c21_1,hh_c21_2,hh_c22,hh_c23,hh_c24,hh_c25,hh_c26,hh_c27,hh_c28_0,hh_c28_1,hh_c28_2,hh_c28_3,hh_c28_4,hh_c28_5,hh_c28_6,hh_c28_7,hh_c28_8,hh_c29,hh_c30,hh_c01_3
69-04-74-63,0001-001-001,1,YES,YES,,NO,NO,DEATH OF PARENT(S),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER ATTENDED,,UWEPO WA WATOTO
69-04-74-63,0001-001-001,2,YES,YES,,NO,NO,DEATH OF PARENT(S),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER ATTENDED,,UWEPO WA WANAUME
89-47-56-17,0001-001-003,1,YES,YES,,NO,YES,,7,NO,EDUCAITON NOT USEFUL,NO,D4,DON'T KNOW,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
04-61-05-31,0001-001-004,1,YES,YES,,KISWAHILI,YES,,6,NO,HAD ENOUGH/COMPLETED SCHOOLING,NO,D4,2007,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
46-71-56-27,0001-004-001,1,YES,YES,,KISWAHILI,YES,,8,NO,LACK OF MONEY,NO,D7,2006,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
46-71-56-27,0001-004-001,4,YES,YES,,KISWAHILI,YES,,7,NO,LACK OF MONEY,NO,F1,2013,,,NO,,,,,,,,,,,,,YES,PASS,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
46-71-56-27,0001-004-001,5,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,2,YES,YES,,KISWAHILI,YES,,7,NO,LACK OF MONEY,NO,F2,2007,,,NO,,,,,,,,,,,,,YES,PASS,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
50-85-79-66,0003-001-001,1,YES,NO,2,KISWAHILI & ENGLISH,YES,,11,NO,DOMESTIC OBLIGATION,NO,'O'+COURSE,1979,,,NO,,,,,,,,,,,,,YES,PASS,"YES, FORM 4",1976,"NOT SHOWN, HOUSEHOLD HAS BUT REFUSED",DIVISION 4,,,,,,,,,,NEVER ATTENDED,,
50-85-79-66,0003-001-001,2,YES,YES,,KISWAHILI,YES,,9,NO,DOMESTIC OBLIGATION,NO,D7,1980,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
50-85-79-66,0003-001-001,4,YES,NO,2,KISWAHILI,YES,,8,NO,SICKNESS,NO,D6,2012,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,NEVER ATTENDED,,
50-85-79-66,0003-001-001,6,YES,NO,2,KISWAHILI,YES,,11,YES,,,,,F4,F1,YES,LOCAL GOVERNMENT,NO,BY BIKE,45,NO,NO,,SOME OWNED BY HOUSEHOLD,16,NONE,INADEQUATE BOOKS/TOOLS,INADEQUATE TEACHERS,YES,PASS,,,,,BREAKDOWN,NONE,52000,61000,NONE,13500,5000,4000,,NEVER ATTENDED,,
50-85-79-66,0003-001-001,8,YES,NO,2,KISWAHILI,YES,,8,NO,OTHER (SPECIFY),YES,,,,D6,NO,,,,,,,,,,,,,YES,DON'T KNOW,,,,,BREAKDOWN,NONE,5000,31000,NONE,50000,6000,4000,,NEVER ATTENDED,,
50-85-79-66,0003-001-001,9,YES,YES,,KISWAHILI,YES,,8,NO,DOMESTIC OBLIGATION,NO,D7,1999,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
98-30-81-51,0004-001-001,1,YES,NO,2,KISWAHILI,YES,,12,NO,JOB/WORK,NO,D7,2002,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,
98-30-81-51,0004-001-001,2,YES,YES,,KISWAHILI,YES,,6,NO,LACK OF MONEY,NO,D7,2003,,,NO,,,,,,,,,,,,,YES,PASS,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
98-30-81-51,0004-001-001,3,YES,NO,2,KISWAHILI,YES,,4,YES,,,,,D4,D3,YES,LOCAL GOVERNMENT,NO,ON FOOT,30,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,18,30,POOR TEACHING,OVERCROWDED CLASSROOMS,NO,,,,,,BREAKDOWN,NONE,30000,35000,NONE,20000,NONE,80000,,NEVER ATTENDED,,
98-30-81-51,0004-001-001,4,YES,NO,2,KISWAHILI,YES,,7,NO,JOB/WORK,NO,D7,2007,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,
98-30-81-51,0004-001-001,5,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
