sdd_hhid,sdd_rural,t0_region,t0_district,hh_c14,hh_c15
0003-001-001,RURAL,DODOMA,KONDOA,BY BIKE,45.0
0004-001-001,RURAL,PWANI,MKURANGA,ON FOOT,30.0
0005-001-001,RURAL,DODOMA,KONDOA,BY BIKE,60.0
0005-001-001,RURAL,DODOMA,KONDOA,ON FOOT,7.0
0005-001-001,RURAL,DODOMA,KONDOA,ON FOOT,7.0
0007-001-001,RURAL,DODOMA,KONDOA,ON FOOT,75.0
0007-001-001,RURAL,DODOMA,KONDOA,ON FOOT,75.0
0009-001-001,RURAL,DODOMA,KONDOA,ON FOOT,30.0
0012-001-001,RURAL,DODOMA,MPWAPWA,ON FOOT,60.0
0012-001-001,RURAL,DODOMA,MPWAPWA,ON FOOT,60.0
0012-001-001,RURAL,DODOMA,MPWAPWA,ON FOOT,60.0
0015-001-001,RURAL,DODOMA,MPWAPWA,ON FOOT,15.0
0015-001-001,RURAL,DODOMA,MPWAPWA,ON FOOT,15.0
0017-001-001,RURAL,MOROGORO,KILOSA,ON FOOT,20.0
0017-002-001,URBAN,MOROGORO,KILOSA,ON FOOT,20.0
0018-001-001,RURAL,DODOMA,MPWAPWA,ON FOOT,15.0
0018-001-001,RURAL,DODOMA,MPWAPWA,ON FOOT,15.0
0020-001-001,RURAL,DODOMA,MPWAPWA,ON FOOT,60.0
0020-001-001,RURAL,DODOMA,MPWAPWA,ON FOOT,60.0
0020-001-001,RURAL,DODOMA,MPWAPWA,ON FOOT,60.0
0021-001-002,URBAN,ARUSHA,ARUSHA URBAN,ON FOOT,20.0
0023-001-001,RURAL,ARUSHA,ARUSHA URBAN,BY PUBLIC VEHICLE/MINIBUS,40.0
0024-001-001,URBAN,ARUSHA,ARUSHA URBAN,BY PUBLIC VEHICLE/MINIBUS,15.0
0028-001-001,URBAN,ARUSHA,ARUSHA URBAN,BY PUBLIC VEHICLE/MINIBUS,30.0
0028-001-001,URBAN,ARUSHA,ARUSHA URBAN,ON FOOT,20.0
0029-001-001,URBAN,ARUSHA,ARUSHA URBAN,ON FOOT,20.0
0029-001-001,URBAN,ARUSHA,ARUSHA URBAN,ON FOOT,20.0
0031-001-001,URBAN,ARUSHA,ARUSHA URBAN,ON FOOT,30.0
0031-001-001,URBAN,ARUSHA,ARUSHA URBAN,ON FOOT,10.0
0031-001-001,URBAN,ARUSHA,ARUSHA URBAN,ON FOOT,10.0
0031-001-001,URBAN,ARUSHA,ARUSHA URBAN,ON FOOT,10.0
0034-001-001,URBAN,DAR ES SALAAM,KINONDONI,ON FOOT,5.0
0034-001-001,URBAN,DAR ES SALAAM,KINONDONI,ON FOOT,5.0
0034-001-001,URBAN,DAR ES SALAAM,KINONDONI,ON FOOT,5.0
0040-001-001,URBAN,ARUSHA,KARATU,ON FOOT,40.0
0043-001-001,RURAL,ARUSHA,KARATU,ON FOOT,30.0
0043-001-001,RURAL,ARUSHA,KARATU,ON FOOT,30.0
0044-001-001,URBAN,ARUSHA,KARATU,ON FOOT,60.0
0045-001-001,RURAL,ARUSHA,MONDULI,ON FOOT,30.0
0045-001-001,RURAL,ARUSHA,MONDULI,ON FOOT,15.0
0046-001-001,RURAL,ARUSHA,KARATU,ON FOOT,1.0
0046-001-001,RURAL,ARUSHA,KARATU,ON FOOT,10.0
