OBJECTID,ID,Name,2021 Total Population,Area in Square Kilometers,Id,Country code,ENRICH_FID,Aggregation method,Population to polygon size rating for the country,Apportionment confidence for the country,Has data,2023 Total Population,2023 Total Male Population,2023 Total Female Population,2023 Purchasing Power: Total,2023 Purchasing Power: Per Mill,2023 Purchasing Power: Per Capita,2023 Total Population Age 0-14,2023 Total Population Age 60+,2023 Total Households,2023 Average Household Size,2023 Pop 25+/Edu: Primary,2023 Pop 25+/Edu: Secondary,2023 Pop 25+/Edu: University and Other Related,2022 Unemployed Population,2023 Marital Status: Single,2023 Marital Status: Married,2023 Marital Status: Divorced
1,01,Dodoma,3164033,41855.90000000,0,TZ,1,CentroidsInPolygon:TZ.Regions,5.00000000,3.38000000,1,3164033.00000000,1551176.00000000,1612857.00000000,4351760855381.18994141,44.20000000,1375384.16000000,1340870.00000000,218011.00000000,734222.00000000,4.30000000,1065177.00000000,115516.00000000,19455.00000000,25975.00000000,2012264.00000000,1035474.00000000,53675.00000000
2,02,Arusha,2412882,38132.08000000,1,TZ,2,CentroidsInPolygon:TZ.Regions,5.00000000,3.38000000,1,2412882.00000000,1152649.00000000,1260233.00000000,4412637068698.79980469,44.80000000,1828782.79000000,998366.00000000,125634.00000000,595223.00000000,4.10000000,718419.00000000,182243.00000000,33571.00000000,35269.00000000,1588260.00000000,758448.00000000,28845.00000000
3,03,Kilimanjaro,1899419,13220.74000000,2,TZ,3,CentroidsInPolygon:TZ.Regions,5.00000000,3.38000000,1,1899419.00000000,925889.00000000,973530.00000000,3383427494560.25976563,34.30000000,1781296.01000000,667378.00000000,198392.00000000,479863.00000000,4.00000000,717078.00000000,130136.00000000,21247.00000000,21643.00000000,1168198.00000000,645960.00000000,31792.00000000
4,05,Morogoro,3276401,69341.78000000,3,TZ,5,CentroidsInPolygon:TZ.Regions,5.00000000,3.38000000,1,3276401.00000000,1619031.00000000,1657370.00000000,5249079044563.75000000,53.30000000,1602086.88000000,1307238.00000000,205607.00000000,803568.00000000,4.10000000,1169344.00000000,151933.00000000,18992.00000000,35194.00000000,2220055.00000000,926079.00000000,68686.00000000
5,04,Tanga,2673992,28022.70000000,4,TZ,4,CentroidsInPolygon:TZ.Regions,5.00000000,3.38000000,1,2673992.00000000,1304124.00000000,1369868.00000000,4131127687737.18017578,41.90000000,1544928.96000000,1118743.00000000,202007.00000000,613871.00000000,4.40000000,936861.00000000,119276.00000000,13012.00000000,25449.00000000,1701824.00000000,865210.00000000,47749.00000000
6,06,Pwani,2087602,32722.86000000,5,TZ,6,CentroidsInPolygon:TZ.Regions,5.00000000,3.38000000,1,2087602.00000000,1029502.00000000,1058100.00000000,3227034780130.83007813,32.80000000,1545809.39000000,784993.00000000,132432.00000000,528849.00000000,3.90000000,764761.00000000,111320.00000000,15386.00000000,31531.00000000,1301629.00000000,682718.00000000,52398.00000000
7,07,Dar es Salaam,5500192,1658.02000000,6,TZ,7,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.00000000,3.38000000,1,5500118.00000000,2656192.00000000,2843926.00000000,15978967757575.09960938,162.20000000,2905204.54000000,1730500.00000000,216168.00000000,1496241.00000000,3.70000000,1706421.00000000,615851.00000000,189887.00000000,179164.00000000,3616542.00000000,1674289.00000000,123863.00000000
8,08,Lindi,1222546,65877.68000000,7,TZ,8,CentroidsInPolygon:TZ.Regions,5.00000000,3.38000000,1,1222546.00000000,596014.00000000,626532.00000000,1636951736962.04003906,16.60000000,1338969.44000000,435491.00000000,104892.00000000,335921.00000000,3.60000000,508385.00000000,43207.00000000,3928.00000000,9811.00000000,757953.00000000,403511.00000000,35168.00000000
9,09,Mtwara,1671638,17780.81000000,8,TZ,9,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.00000000,3.38000000,1,1671637.00000000,794197.00000000,877440.00000000,2337959935204.16015625,23.70000000,1398605.04000000,591025.00000000,152707.00000000,476355.00000000,3.50000000,701867.00000000,62250.00000000,6225.00000000,18960.00000000,998901.00000000,587370.00000000,50965.00000000
10,10,Ruvuma,1891872,62801.91000000,9,TZ,10,CentroidsInPolygon:TZ.Regions,5.00000000,3.38000000,1,1891872.00000000,923306.00000000,968566.00000000,2721365188019.93994141,27.60000000,1438451.01000000,756753.00000000,123525.00000000,451355.00000000,4.20000000,699682.00000000,65376.00000000,5448.00000000,16518.00000000,1225306.00000000,606219.00000000,28802.00000000
