OBJECTID,ID,Name,2021 Total Population,Area in Square Kilometers,Id,Country code,ENRICH_FID,Aggregation method,Population to polygon size rating for the country,Apportionment confidence for the country,Has data,2023 Total Population,2023 Total Male Population,2023 Total Female Population,2023 Purchasing Power: Total,2023 Purchasing Power: Per Mill,2023 Purchasing Power: Per Capita,2023 Total Population Age 0-14,2023 Total Population Age 60+,2023 Total Households,2023 Average Household Size,2023 Pop 25+/Edu: Primary,2023 Pop 25+/Edu: Secondary,2023 Pop 25+/Edu: University and Other Related,2022 Unemployed Population,2023 Marital Status: Single,2023 Marital Status: Married,2023 Marital Status: Divorced,Education percentage,Male percentage,Female percentage
1,1,Dodoma,3164033,41855.9,0,TZ,1,CentroidsInPolygon:TZ.Regions,5.0,3.38,1,3164033.0,1551176.0,1612857.0,4351760855381.1895,44.2,1375384.16,1340870.0,218011.0,734222.0,4.3,1065177.0,115516.0,19455.0,25975.0,2012264.0,1035474.0,53675.0,0.37930957104429697,0.490252788134637,0.509747211865363
2,2,Arusha,2412882,38132.08,1,TZ,2,CentroidsInPolygon:TZ.Regions,5.0,3.38,1,2412882.0,1152649.0,1260233.0,4412637068698.8,44.8,1828782.79,998366.0,125634.0,595223.0,4.1,718419.0,182243.0,33571.0,35269.0,1588260.0,758448.0,28845.0,0.3871855316588213,0.4777063279513876,0.5222936720486124
3,3,Kilimanjaro,1899419,13220.74,2,TZ,3,CentroidsInPolygon:TZ.Regions,5.0,3.38,1,1899419.0,925889.0,973530.0,3383427494560.26,34.3,1781296.01,667378.0,198392.0,479863.0,4.0,717078.0,130136.0,21247.0,21643.0,1168198.0,645960.0,31792.0,0.45722455129700185,0.48745905984935395,0.5125409401506461
4,5,Morogoro,3276401,69341.78,3,TZ,5,CentroidsInPolygon:TZ.Regions,5.0,3.38,1,3276401.0,1619031.0,1657370.0,5249079044563.75,53.3,1602086.88,1307238.0,205607.0,803568.0,4.1,1169344.0,151933.0,18992.0,35194.0,2220055.0,926079.0,68686.0,0.40906744931404915,0.49414922044035514,0.5058507795596449
5,4,Tanga,2673992,28022.7,4,TZ,4,CentroidsInPolygon:TZ.Regions,5.0,3.38,1,2673992.0,1304124.0,1369868.0,4131127687737.18,41.9,1544928.96,1118743.0,202007.0,613871.0,4.4,936861.0,119276.0,13012.0,25449.0,1701824.0,865210.0,47749.0,0.3998325350262828,0.487706769504172,0.512293230495828
6,6,Pwani,2087602,32722.86,5,TZ,6,CentroidsInPolygon:TZ.Regions,5.0,3.38,1,2087602.0,1029502.0,1058100.0,3227034780130.83,32.8,1545809.39,784993.0,132432.0,528849.0,3.9,764761.0,111320.0,15386.0,31531.0,1301629.0,682718.0,52398.0,0.42702919426212466,0.49315051432217444,0.5068494856778256
7,7,Dar es Salaam,5500192,1658.02,6,TZ,7,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.0,3.38,1,5500118.0,2656192.0,2843926.0,15978967757575.1,162.2,2905204.54,1730500.0,216168.0,1496241.0,3.7,1706421.0,615851.0,189887.0,179164.0,3616542.0,1674289.0,123863.0,0.4567402374317115,0.4829271414525166,0.5170594044716984
8,8,Lindi,1222546,65877.68,7,TZ,8,CentroidsInPolygon:TZ.Regions,5.0,3.38,1,1222546.0,596014.0,626532.0,1636951736962.04,16.6,1338969.44,435491.0,104892.0,335921.0,3.6,508385.0,43207.0,3928.0,9811.0,757953.0,403511.0,35168.0,0.45439599000773795,0.4875186700541329,0.512481329945867
9,9,Mtwara,1671638,17780.81,8,TZ,9,BlockApportionment:TZ.Regions;PointsLayer:TZ.BlockPoints,5.0,3.38,1,1671637.0,794197.0,877440.0,2337959935204.16,23.7,1398605.04,591025.0,152707.0,476355.0,3.5,701867.0,62250.0,6225.0,18960.0,998901.0,587370.0,50965.0,0.4608306343837601,0.47510106853278045,0.5248983332515772
10,10,Ruvuma,1891872,62801.91,9,TZ,10,CentroidsInPolygon:TZ.Regions,5.0,3.38,1,1891872.0,923306.0,968566.0,2721365188019.94,27.6,1438451.01,756753.0,123525.0,451355.0,4.2,699682.0,65376.0,5448.0,16518.0,1225306.0,606219.0,28802.0,0.4072717393142877,0.4880383028027266,0.5119616971972734
