interview__key,sdd_hhid,plotnum,plotname,ag2a_03,ag2a_04,ag2a_05,ag2a_05a,ag2a_06,ag2a_07__Accuracy,ag2a_07__Altitude,ag2a_07__Latitude,ag2a_07__Longitude,ag2a_07__Timestamp,ag2a_07a,ag2a_07b,ag2a_07c_1,ag2a_07c_2,ag2a_07c_3,ag2a_08,ag2a_09,ag2a_10
69-04-74-63,0001-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,3,M1,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,REFUSED,,
69-04-74-63,0001-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,,M2,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,
69-04-74-63,0001-001-001,3,**CONFIDENTIAL**,**CONFIDENTIAL**,0.2,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,0.14,CLEAR / SUNNY
89-47-56-17,0001-001-003,1,**CONFIDENTIAL**,,2,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
89-47-56-17,0001-001-003,2,**CONFIDENTIAL**,,0.2,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,0.3,CLEAR / SUNNY
04-61-05-31,0001-001-004,1,**CONFIDENTIAL**,,0.1,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,REFUSED,,
46-71-56-27,0001-004-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,2,M1,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,1.15,MOSTLY CLEAR / MOSTLY SUNNY
46-71-56-27,0001-004-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,1.5,M2,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,1.1,MOSTLY CLEAR / MOSTLY SUNNY
46-71-56-27,0001-004-001,3,**CONFIDENTIAL**,**CONFIDENTIAL**,1,M3,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,0.5,MOSTLY CLEAR / MOSTLY SUNNY
46-71-56-27,0001-004-001,4,**CONFIDENTIAL**,**CONFIDENTIAL**,0.5,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,1.44,MOSTLY CLEAR / MOSTLY SUNNY
94-40-15-31,0001-004-002,1,**CONFIDENTIAL**,,0.5,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
50-85-79-66,0003-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1.5,M1,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,2,YES,2,,,,2.3,PARTLY CLOUDY / PARTLY SUNNY
50-85-79-66,0003-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,0.1,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,2,YES,2,,,,0.08,MOSTLY CLEAR / MOSTLY SUNNY
50-85-79-66,0003-001-001,3,**CONFIDENTIAL**,**CONFIDENTIAL**,0.5,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,2,YES,2,,,,0.2,PARTLY CLOUDY / PARTLY SUNNY
98-30-81-51,0004-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,2,YES,2,,,,0.07,MOSTLY CLOUDY / CONSIDERABLE CLOUDINESS
71-75-12-39,0005-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,,M1,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,
71-75-12-39,0005-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,1.5,M2,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,TOO FAR,,
71-75-12-39,0005-001-001,3,**CONFIDENTIAL**,**CONFIDENTIAL**,0.3,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,0.14,PARTLY CLOUDY / PARTLY SUNNY
98-53-45-06,0007-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,2,M1,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,2,YES,2,,,,1.78,PARTLY CLOUDY / PARTLY SUNNY
98-53-45-06,0007-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,2,M2,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,TOO FAR,,
98-53-45-06,0007-001-001,3,**CONFIDENTIAL**,**CONFIDENTIAL**,0.2,,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,2,YES,2,,,,0.09,PARTLY CLOUDY / PARTLY SUNNY
20-72-78-84,0009-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,2.5,M1,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
20-72-78-84,0009-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,0.5,M2,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,2,YES,2,,,,0.3,PARTLY CLOUDY / PARTLY SUNNY
90-18-72-04,0010-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,2,M1,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,2,YES,2,,,,1.2,MOSTLY CLEAR / MOSTLY SUNNY
90-18-72-04,0010-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,,M2,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,
90-18-72-04,0010-001-001,3,**CONFIDENTIAL**,**CONFIDENTIAL**,1,M3,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,0.8,MOSTLY CLEAR / MOSTLY SUNNY
90-18-72-04,0010-001-001,4,**CONFIDENTIAL**,**CONFIDENTIAL**,1,M4,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,0.2,MOSTLY CLEAR / MOSTLY SUNNY
85-64-65-42,0011-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,,M1,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,
85-64-65-42,0011-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,,M2,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,
85-64-65-42,0011-001-001,3,**CONFIDENTIAL**,**CONFIDENTIAL**,3,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,TOO FAR,,
85-64-65-42,0011-001-001,4,**CONFIDENTIAL**,**CONFIDENTIAL**,0.5,,NO,NO,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,"OTHER, SPECIFY",,
52-32-57-20,0012-001-001,1,**CONFIDENTIAL**,**CONFIDENTIAL**,1.5,M1,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,1.86,CLEAR / SUNNY
52-32-57-20,0012-001-001,2,**CONFIDENTIAL**,**CONFIDENTIAL**,7,M2,NO,YES,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1,YES,1,,,,6.05,CLEAR / SUNNY
