interview__key,sdd_hhid,cropid,ag10_02_1,ag10_02_2,ag10_02_3,ag10_03,ag10_04_1,ag10_04_2,ag10_05,ag10_06,ag10_07_1,ag10_07_2,ag10_08,ag10_09_1,ag10_09_2,ag10_10_1,ag10_10_2,ag10_11,ag10_12_1a,ag10_12_1b,ag10_12_2a,ag10_12_2b,ag10_13,ag10_14
69-04-74-63,0001-001-001,1,UWELE,4,PROCESSED,1,70,KG,70,NO,,,,,,,,,,,,,YES,4000
89-47-56-17,0001-001-003,1,MAHINDI,1,PROCESSED,1,108,LITRE,108,NO,,,,,,,,,,,,,YES,4800
50-85-79-66,0003-001-001,1,ALIZETI,26,PROCESSED,3,3,KG,9,NO,,,,,,,,,,,,,YES,500
71-75-12-39,0005-001-001,1,MPUNGA,2,PROCESSED,2,450,KG,810,NO,,,,,,,,,,,,,YES,36000
98-53-45-06,0007-001-001,1,UWELE,4,PROCESSED,1,120,KG,120,NO,,,,,,,,,,,,,YES,3200
98-53-45-06,0007-001-001,2,ALIZETI,26,PROCESSED,3,12,LITRE,45,NO,,,,,,,,,,,,,NO,
90-18-72-04,0010-001-001,1,MAHINDI,1,PROCESSED,1,40,KG,40,NO,,,,,,,,,,,,,YES,4000
85-64-65-42,0011-001-001,1,MAHINDI,1,PROCESSED,1,250,KG,300,NO,,,,,,,,,,,,,YES,18000
52-32-57-20,0012-001-001,1,MAHINDI,3,PROCESSED,1,288,KG,324,NO,,,,,,,,,,,,,YES,27000
52-32-57-20,0012-001-001,2,MTAMA,3,PROCESSED,1,1440,KG,1440,NO,,,,,,,,,,,,,YES,72000
31-30-77-11,0012-003-001,1,MTAMA,3,PROCESSED,1,60,KG,60,NO,,,,,,,,,,,,,YES,3000
18-76-19-96,0013-001-001,1,MAHINDI,1,PROCESSED,1,72,KG,72,NO,,,,,,,,,,,,,YES,4000
58-42-71-45,0015-001-001,1,MAHINDI,1,PROCESSED,1,1680,KG,1680,NO,,,,,,,,,,,,,YES,40000
73-26-58-64,0016-001-002,1,MAHINDI,1,PROCESSED,1,1260,KG,1260,NO,,,,,,,,,,,,,YES,25000
56-32-76-33,0017-001-001,1,MAHINDI,1,PROCESSED,1,236,KG,295,NO,,,,,,,,,,,,,YES,32000
39-47-88-39,0018-001-001,1,ALIZETI,26,PROCESSED,3,5,LITRE,30,NO,,,,,,,,,,,,,YES,3000
40-73-12-41,0020-001-001,1,MAHINDI,1,PROCESSED,1,200,KG,216,NO,,,,,,,,,,,,,YES,18000
52-25-14-40,0023-001-001,1,MAHINDI,1,PROCESSED,1,192,KG,240,NO,,,,,,,,,,,,,YES,36000
96-43-78-97,0024-001-001,1,MAHINDI,1,PROCESSED,1,108,KG,108,NO,,,,,,,,,,,,,YES,7560
06-46-18-18,0026-001-001,1,MAHINDI,1,PROCESSED,1,60,KG,60,NO,,,,,,,,,,,,,YES,6000
69-55-32-84,0040-001-001,1,MAHINDI,1,PROCESSED,1,53,KG,58,NO,,,,,,,,,,,,,YES,6000
24-75-61-52,0047-001-001,1,MAHINDI,1,PROCESSED,1,360,KG,380,NO,,,,,,,,,,,,,YES,24000
97-60-31-67,0048-001-001,1,MAHINDI,1,PROCESSED,1,48,KG,48,NO,,,,,,,,,,,,,YES,4800
03-68-77-59,0049-001-001,1,MAHINDI,1,PROCESSED,1,70,KG,70,NO,,,,,,,,,,,,,YES,7000
88-71-20-70,0050-001-001,1,MAHINDI,1,PROCESSED,1,97,KG,100,NO,,,,,,,,,,,,,YES,10000
62-93-39-20,0051-001-001,1,MAHINDI,1,PROCESSED,1,108,KG,108,NO,,,,,,,,,,,,,YES,6000
00-72-79-53,0055-001-001,1,MAHINDI,1,PROCESSED,1,18,KG,18,NO,,,,,,,,,,,,,YES,1000
73-41-85-14,0056-001-001,1,MAHINDI,1,PROCESSED,1,10,KG,10,NO,,,,,,,,,,,,,YES,700
16-64-27-88,0057-001-001,1,MAHINDI,1,PROCESSED,1,40,KG,40,NO,,,,,,,,,,,,,YES,2000
34-42-58-96,0058-001-001,1,MAHINDI,1,PROCESSED,1,110,KG,110,NO,,,,,,,,,,,,,YES,11000
77-68-44-59,0059-001-001,1,MAHINDI,1,PROCESSED,1,378,KG,378,NO,,,,,,,,,,,,,YES,18900
77-68-44-59,0059-001-001,2,MAHINDI,1,PROCESSED,2,192,KG,216,NO,,,,,,,,,,,,,YES,10800
77-68-44-59,0059-001-001,3,MAHINDI,1,BY-PRODUCT,9,12,KG,216,NO,,,,,,,,,,,,,NO,
44-35-85-32,0060-001-001,1,MAHINDI,1,PROCESSED,1,96,KG,120,NO,,,,,,,,,,,,,YES,12000
32-51-53-41,0066-003-001,1,MAHINDI,1,PROCESSED,1,210,KG,210,NO,,,,,,,,,,,,,YES,12000
47-27-42-34,0067-001-001,1,MAHINDI,26,PROCESSED,1,136,KG,136,NO,,,,,,,,,,,,,YES,12800
47-27-42-34,0067-001-001,2,ALIZETI,26,PROCESSED,3,1120,LITRE,3640,YES,1100,LITRE,3575,1,4,1,,3300000,M/BIASHARA BINAFSI,,M/BIASHARA BINAFSI,KARIBU NA MJI,YES,715000
13-42-14-49,0067-004-001,1,MAHINDI,1,PROCESSED,1,180,KG,180,NO,,,,,,,,,,,,,YES,15000
81-85-31-88,0069-002-001,1,MAHINDI,1,PROCESSED,1,280,KG,280,NO,,,,,,,,,,,,,YES,21000
81-85-31-88,0069-002-001,2,MIHOGO,10,PROCESSED,1,55,KG,55,NO,,,,,,,,,,,,,YES,6000
91-76-63-44,0071-001-001,1,MAHINDI,1,PROCESSED,1,216,KG,216,NO,,,,,,,,,,,,,YES,12000
91-76-63-44,0071-001-001,2,MUHOGO,10,PROCESSED,1,60,KG,80,NO,,,,,,,,,,,,,YES,3000
28-76-80-54,0072-001-001,1,MAHINDI,1,PROCESSED,1,400,KG,450,NO,,,,,,,,,,,,,YES,25000
28-76-80-54,0072-001-001,2,MIHOGO,10,PROCESSED,1,120,KG,120,NO,,,,,,,,,,,,,YES,6000
82-54-53-99,0072-003-001,1,MAHINDI,1,PROCESSED,1,518,KG,648,NO,,,,,,,,,,,,,YES,45000
86-08-97-34,0073-001-001,1,MAHINDI,1,PROCESSED,1,150,KG,190,NO,,,,,,,,,,,,,YES,22000
86-08-97-34,0073-001-001,2,MUHOGO,10,PROCESSED,1,55,KG,70,NO,,,,,,,,,,,,,YES,4000
09-96-03-52,0073-001-002,1,MAHINDI,1,PROCESSED,1,160,KG,160,NO,,,,,,,,,,,,,YES,8000
64-01-68-39,0074-001-001,1,MAHINDI,1,PROCESSED,1,108,KG,108,NO,,,,,,,,,,,,,YES,6000
64-01-68-39,0074-001-001,2,MUHOGO,10,PROCESSED,1,360,KG,360,NO,,,,,,,,,,,,,YES,6000
69-76-07-75,0077-001-001,1,MAHINDI,1,PROCESSED,1,120,KG,180,NO,,,,,,,,,,,,,YES,18000
69-76-07-75,0077-001-001,2,MUHOGO,10,PROCESSED,1,60,KG,200,NO,,,,,,,,,,,,,YES,3000
80-60-48-21,0077-003-001,1,MAHINDI,2,PROCESSED,2,86,KG,120,NO,,,,,,,,,,,,,YES,12000
77-61-09-41,0078-001-001,1,MAHINDI,1,PROCESSED,1,270,KG,270,NO,,,,,,,,,,,,,YES,15000
03-09-85-87,0079-001-001,1,MAHINDI,10,PROCESSED,1,98,KG,100,NO,,,,,,,,,,,,,YES,10000
03-09-85-87,0079-001-001,2,MUHOGO,10,PROCESSED,1,50,KG,60,NO,,,,,,,,,,,,,YES,4500
78-16-68-29,0080-001-001,1,MAHINDI,1,PROCESSED,1,95,KG,100,NO,,,,,,,,,,,,,YES,10000
78-16-68-29,0080-001-001,2,MUHOGO,10,PROCESSED,1,57,KG,60,NO,,,,,,,,,,,,,YES,6000
82-35-18-51,0081-001-001,1,MAHINDI,1,PROCESSED,1,178,KG,224,NO,,,,,,,,,,,,,YES,26000
82-24-69-15,0083-001-001,1,MIHOGO,10,PROCESSED,1,250,KG,300,NO,,,,,,,,,,,,,YES,22500
71-57-99-29,0084-001-001,1,MAHINDI,1,PROCESSED,1,54,KG,43,NO,,,,,,,,,,,,,YES,4500
71-57-99-29,0084-001-001,2,MAHINDI,1,PROCESSED,2,34,KG,36,NO,,,,,,,,,,,,,YES,3000
71-57-99-29,0084-001-001,3,MAHINDI,1,BY-PRODUCT,9,8,KG,90,NO,,,,,,,,,,,,,NO,
74-56-02-42,0084-002-001,1,MAHINDI,1,PROCESSED,1,40,KG,40,NO,,,,,,,,,,,,,YES,2000
74-56-02-42,0084-002-001,2,MUHOGO,10,PROCESSED,1,8,KG,10,NO,,,,,,,,,,,,,YES,800
05-51-26-77,0085-003-001,1,MAHINDI,1,PROCESSED,1,16,KG,18,NO,,,,,,,,,,,,,YES,1000
05-51-26-77,0085-003-001,2,MUHOGO,10,PROCESSED,1,120,KG,120,NO,,,,,,,,,,,,,YES,12000
47-53-89-65,0089-001-001,1,MAHINDI,1,PROCESSED,1,240,KG,240,NO,,,,,,,,,,,,,YES,18000
47-53-89-65,0089-001-001,2,MIHOGO,10,PROCESSED,1,100,KG,120,NO,,,,,,,,,,,,,YES,9000
67-17-25-56,0089-002-001,1,MUHOGO,10,PROCESSED,1,50,KG,50,NO,,,,,,,,,,,,,NO,
11-84-02-64,0089-002-002,1,MAHINDI,1,PROCESSED,1,50,KG,54,NO,,,,,,,,,,,,,YES,7500
13-79-88-08,0090-001-001,1,MAHINDI,1,PROCESSED,1,240,KG,240,NO,,,,,,,,,,,,,YES,12000
13-79-88-08,0090-001-001,2,MUHOGO,10,PROCESSED,1,180,KG,200,NO,,,,,,,,,,,,,NO,
70-24-33-41,0096-001-001,1,MAHINDI,1,PROCESSED,1,672,KG,756,NO,,,,,,,,,,,,,YES,63000
88-19-63-23,0097-001-001,1,MAHINDI,1,PROCESSED,1,160,KG,200,NO,,,,,,,,,,,,,YES,20500
89-69-28-73,0099-001-001,1,MAHINDI,1,PROCESSED,1,288,KG,360,NO,,,,,,,,,,,,,YES,40000
25-01-61-44,0099-001-006,1,MAHINDI,1,PROCESSED,1,60,KG,60,NO,,,,,,,,,,,,,YES,6000
07-74-53-75,0101-001-001,1,MAHINDI,1,PROCESSED,1,52,KG,65,NO,,,,,,,,,,,,,YES,6000
09-18-15-86,0101-002-001,1,MAHINDI,1,PROCESSED,1,360,KG,450,NO,,,,,,,,,,,,,YES,48000
16-87-89-06,0102-001-001,1,MAHINDI,1,PROCESSED,1,40,KG,40,NO,,,,,,,,,,,,,YES,3000
61-86-51-55,0104-001-001,1,MAHINDI,1,PROCESSED,1,65,KG,72,NO,,,,,,,,,,,,,YES,8000
61-86-51-55,0104-001-001,2,ALIZETI,26,PROCESSED,3,5,LITRE,20,NO,,,,,,,,,,,,,YES,3000
82-80-49-27,0104-001-006,1,MAHINDI,1,PROCESSED,1,216,KG,216,NO,,,,,,,,,,,,,YES,21600
82-80-49-27,0104-001-006,2,ALIZETI,26,PROCESSED,3,20,LITRE,60,YES,5,LITRE,20,1,,1,2,12000,JIRANI,,JIRANI,NDANI YA KIJIJI/MJI,NO,
56-75-17-70,0105-001-001,1,MAHINDI,1,PROCESSED,1,90,KG,120,NO,,,,,,,,,,,,,YES,14000
03-36-44-51,0105-005-001,1,MAHINDI,1,PROCESSED,1,120,KG,150,NO,,,,,,,,,,,,,YES,16000
83-56-10-16,0106-001-002,1,MAHINDI,1,PROCESSED,1,288,KG,324,NO,,,,,,,,,,,,,YES,23400
72-82-51-97,0106-001-003,1,MAHINDI,1,PROCESSED,1,324,KG,324,NO,,,,,,,,,,,,,YES,32400
11-04-09-01,0107-001-001,1,MAHINDI,1,PROCESSED,1,60,KG,80,NO,,,,,,,,,,,,,YES,8000
51-54-44-86,0108-001-001,1,MPUNGA,2,PROCESSED,2,202,KG,288,NO,,,,,,,,,,,,,YES,8000
35-34-97-68,0108-001-002,1,MPUNGA,2,PROCESSED,2,26,KG,18,NO,,,,,,,,,,,,,YES,700
71-21-99-60,0110-001-002,1,MPUNGA,2,PROCESSED,2,180,KG,250,NO,,,,,,,,,,,,,YES,36000
09-03-93-64,0111-001-001,1,MAHINDI,1,PROCESSED,1,18,KG,18,NO,,,,,,,,,,,,,YES,2000
09-03-93-64,0111-001-001,2,MPUNGA,2,PROCESSED,2,225,KG,320,NO,,,,,,,,,,,,,YES,11000
49-60-00-77,0112-001-001,1,MPUNGA,2,PROCESSED,2,403,KG,576,NO,,,,,,,,,,,,,YES,22000
49-60-00-77,0112-001-001,2,MAHINDI,1,PROCESSED,1,32,KG,40,NO,,,,,,,,,,,,,YES,4000
80-23-77-43,0113-001-001,1,MPUNGA,2,PROCESSED,2,370,KG,555,NO,,,,,,,,,,,,,YES,18500
86-56-84-14,0113-002-001,1,MAHINDI,1,PROCESSED,1,68,KG,72,NO,,,,,,,,,,,,,YES,4000
95-71-62-51,0114-001-001,1,MAHINDI,2,PROCESSED,1,32,KG,35,NO,,,,,,,,,,,,,YES,4000
95-71-62-51,0114-001-001,2,MPUNGA,2,PROCESSED,2,120,KG,240,NO,,,,,,,,,,,,,YES,24000
35-20-92-57,0115-001-001,1,MAHINDI,1,PROCESSED,1,14,KG,20,NO,,,,,,,,,,,,,YES,2000
35-20-92-57,0115-001-001,2,MPUNGA,2,PROCESSED,2,34,KG,48,NO,,,,,,,,,,,,,YES,1500
61-55-11-19,0115-001-002,1,MPUNGA,2,PROCESSED,2,56,KG,80,NO,,,,,,,,,,,,,YES,2500
61-11-91-19,0118-001-001,1,345,1,PROCESSED,1,276,KG,345,NO,,,,,,,,,,,,,YES,34500
98-32-46-89,0120-001-001,1,MPUNGA,2,PROCESSED,2,336,KG,480,NO,,,,,,,,,,,,,YES,15000
98-32-46-89,0120-001-001,2,MAHINDI,1,PROCESSED,1,32,KG,40,NO,,,,,,,,,,,,,YES,4000
11-41-50-08,0121-002-001,1,MAHINDI,1,PROCESSED,1,20,KG,20,NO,,,,,,,,,,,,,YES,2000
11-41-50-08,0121-002-001,2,MPUNGA,2,PROCESSED,2,120,KG,120,NO,,,,,,,,,,,,,YES,3500
20-26-27-46,0121-004-001,1,MPUNGA,2,PROCESSED,2,135,KG,195,NO,,,,,,,,,,,,,YES,6500
51-99-30-00,0122-001-001,1,MAHINDI,1,PROCESSED,1,50,KG,60,NO,,,,,,,,,,,,,YES,8000
51-99-30-00,0122-001-001,2,MPUNGA,2,PROCESSED,2,80,KG,50,NO,,,,,,,,,,,,,YES,8000
94-57-72-83,0122-001-002,1,MAHINDI.,1,PROCESSED,1,20,KG,20,NO,,,,,,,,,,,,,YES,2000
94-57-72-83,0122-001-002,2,MPUNGA,2,PROCESSED,2,20,KG,30,NO,,,,,,,,,,,,,YES,2000
43-50-47-25,0122-001-003,1,MAHINDI,1,PROCESSED,1,721,KG,902,NO,,,,,,,,,,,,,YES,98000
43-50-47-25,0122-001-003,2,MPUNGA,2,PROCESSED,2,672,KG,960,NO,,,,,,,,,,,,,YES,60000
38-83-27-01,0123-001-001,1,MAHINDI,1,PROCESSED,1,36,KG,40,NO,,,,,,,,,,,,,YES,3000
59-55-68-20,0126-001-001,1,MAHINDI,1,PROCESSED,1,288,KG,360,NO,,,,,,,,,,,,,YES,36000
40-08-98-18,0127-003-001,1,MAHINDI,1,PROCESSED,1,250,KG,300,NO,,,,,,,,,,,,,YES,12000
87-27-18-80,0128-001-001,1,MAHINDI,1,PROCESSED,1,420,KG,504,NO,,,,,,,,,,,,,YES,56000
77-02-36-76,0129-001-001,1,MAHINDI,1,PROCESSED,1,100,KG,120,NO,,,,,,,,,,,,,NO,
18-53-46-11,0131-001-002,1,MAHINDI,1,PROCESSED,1,420,KG,540,NO,,,,,,,,,,,,,YES,42000
44-39-10-22,0134-001-001,1,MAHINDI,17,PROCESSED,1,175,KG,175,NO,,,,,,,,,,,,,YES,23500
49-77-74-54,0136-001-001,1,MAHINDI,17,PROCESSED,1,160,KG,160,NO,,,,,,,,,,,,,YES,16000
21-87-07-74,0137-001-001,1,MAHINDI,57,PROCESSED,1,267,KG,267,NO,,,,,,,,,,,,,YES,26700
91-46-77-86,0137-003-001,1,MAHINDI,1,PROCESSED,1,900,KG,1000,NO,,,,,,,,,,,,,YES,35000
91-46-77-86,0137-003-001,2,MAHINDI,1,BY-PRODUCT,9,100,KG,1000,NO,,,,,,,,,,,,,NO,
91-46-77-86,0137-003-001,3,MTAMA,3,PROCESSED,1,190,KG,190,NO,,,,,,,,,,,,,YES,4000
96-40-12-40,0138-002-001,1,MAHINDI,1,PROCESSED,1,216,KG,216,NO,,,,,,,,,,,,,YES,12000
51-16-04-26,0139-001-001,1,MAHINDI,1,PROCESSED,1,198,KG,198,NO,,,,,,,,,,,,,YES,22000
78-88-97-43,0140-002-001,1,MAHINDI,1,PROCESSED,1,270,KG,324,NO,,,,,,,,,,,,,YES,36000
43-41-40-08,0142-001-001,1,MTAMA,3,PROCESSED,1,15,KG,20,NO,,,,,,,,,,,,,NO,
93-57-90-59,0142-002-002,1,MAHINDI,1,PROCESSED,1,140,KG,200,NO,,,,,,,,,,,,,YES,2000
93-57-90-59,0142-002-002,2,MPUNGA,2,PROCESSED,2,30,KG,60,NO,,,,,,,,,,,,,NO,
45-56-78-16,0142-006-001,1,MAHINDI,1,PROCESSED,1,120,KG,150,NO,,,,,,,,,,,,,YES,15000
45-56-78-16,0142-006-001,2,MAHINDI,1,BY-PRODUCT,9,30,KG,150,NO,,,,,,,,,,,,,NO,
