interview__key,sdd_hhid,sourceid,ag12a_01_1,ag12a_01_2,ag12a_01_3,ag12a_01_4,ag12a_01_5,ag12a_01_6,ag12a_01_7,ag12a_01_8,ag12a_02,ag12a_03_1,ag12a_03_2,ag12a_03_3,ag12a_03_4,ag12a_04,ag12a_05,ag12a_06,ag12a_07
69-04-74-63,0001-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
69-04-74-63,0001-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
69-04-74-63,0001-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
69-04-74-63,0001-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
69-04-74-63,0001-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
89-47-56-17,0001-001-003,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
89-47-56-17,0001-001-003,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
89-47-56-17,0001-001-003,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
89-47-56-17,0001-001-003,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
89-47-56-17,0001-001-003,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
46-71-56-27,0001-004-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
46-71-56-27,0001-004-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
46-71-56-27,0001-004-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
46-71-56-27,0001-004-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
46-71-56-27,0001-004-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
50-85-79-66,0003-001-001,GOVERNMENT EXTENSION,YES,NO,NO,NO,,,,,YES,1,,,,GOOD,NO,,1
50-85-79-66,0003-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
50-85-79-66,0003-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
50-85-79-66,0003-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
50-85-79-66,0003-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
71-75-12-39,0005-001-001,GOVERNMENT EXTENSION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
71-75-12-39,0005-001-001,NGO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
71-75-12-39,0005-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
71-75-12-39,0005-001-001,LARGE SCALE FARMER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
71-75-12-39,0005-001-001,OTHER,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,
