interview__key,sdd_hhid,sourceid,ag12b_08,ag12b_09,ag12b_10
69-04-74-63,0001-001-001,GOVERNMENT EXTENSION,NO,,
69-04-74-63,0001-001-001,NGO,NO,,
69-04-74-63,0001-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
69-04-74-63,0001-001-001,LARGE SCALE FARMER,NO,,
69-04-74-63,0001-001-001,RADIO,NO,,
69-04-74-63,0001-001-001,PUBLICATION,NO,,
69-04-74-63,0001-001-001,NEIGHBOUR,NO,,
69-04-74-63,0001-001-001,OTHER (SPECIFY),NO,,
89-47-56-17,0001-001-003,GOVERNMENT EXTENSION,NO,,
89-47-56-17,0001-001-003,NGO,NO,,
89-47-56-17,0001-001-003,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
89-47-56-17,0001-001-003,LARGE SCALE FARMER,NO,,
89-47-56-17,0001-001-003,RADIO,NO,,
89-47-56-17,0001-001-003,PUBLICATION,NO,,
89-47-56-17,0001-001-003,NEIGHBOUR,NO,,
89-47-56-17,0001-001-003,OTHER (SPECIFY),NO,,
04-61-05-31,0001-001-004,GOVERNMENT EXTENSION,,,
04-61-05-31,0001-001-004,NGO,,,
04-61-05-31,0001-001-004,COOPERATIVE/FARMER'S ASSOCIATION,,,
04-61-05-31,0001-001-004,LARGE SCALE FARMER,,,
04-61-05-31,0001-001-004,RADIO,,,
04-61-05-31,0001-001-004,PUBLICATION,,,
04-61-05-31,0001-001-004,NEIGHBOUR,,,
04-61-05-31,0001-001-004,OTHER (SPECIFY),,,
46-71-56-27,0001-004-001,GOVERNMENT EXTENSION,NO,,
46-71-56-27,0001-004-001,NGO,NO,,
46-71-56-27,0001-004-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
46-71-56-27,0001-004-001,LARGE SCALE FARMER,NO,,
46-71-56-27,0001-004-001,RADIO,NO,,
46-71-56-27,0001-004-001,PUBLICATION,NO,,
46-71-56-27,0001-004-001,NEIGHBOUR,NO,,
46-71-56-27,0001-004-001,OTHER (SPECIFY),NO,,
94-40-15-31,0001-004-002,GOVERNMENT EXTENSION,,,
94-40-15-31,0001-004-002,NGO,,,
94-40-15-31,0001-004-002,COOPERATIVE/FARMER'S ASSOCIATION,,,
94-40-15-31,0001-004-002,LARGE SCALE FARMER,,,
94-40-15-31,0001-004-002,RADIO,,,
94-40-15-31,0001-004-002,PUBLICATION,,,
94-40-15-31,0001-004-002,NEIGHBOUR,,,
94-40-15-31,0001-004-002,OTHER (SPECIFY),,,
50-85-79-66,0003-001-001,GOVERNMENT EXTENSION,NO,,
50-85-79-66,0003-001-001,NGO,NO,,
50-85-79-66,0003-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
50-85-79-66,0003-001-001,LARGE SCALE FARMER,NO,,
50-85-79-66,0003-001-001,RADIO,YES,,
50-85-79-66,0003-001-001,PUBLICATION,YES,NO,
50-85-79-66,0003-001-001,NEIGHBOUR,YES,NO,
50-85-79-66,0003-001-001,OTHER (SPECIFY),NO,,
98-30-81-51,0004-001-001,GOVERNMENT EXTENSION,,,
98-30-81-51,0004-001-001,NGO,,,
98-30-81-51,0004-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
98-30-81-51,0004-001-001,LARGE SCALE FARMER,,,
98-30-81-51,0004-001-001,RADIO,,,
98-30-81-51,0004-001-001,PUBLICATION,,,
98-30-81-51,0004-001-001,NEIGHBOUR,,,
98-30-81-51,0004-001-001,OTHER (SPECIFY),,,
71-75-12-39,0005-001-001,GOVERNMENT EXTENSION,NO,,
71-75-12-39,0005-001-001,NGO,NO,,
71-75-12-39,0005-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
71-75-12-39,0005-001-001,LARGE SCALE FARMER,NO,,
71-75-12-39,0005-001-001,RADIO,NO,,
71-75-12-39,0005-001-001,PUBLICATION,NO,,
71-75-12-39,0005-001-001,NEIGHBOUR,NO,,
71-75-12-39,0005-001-001,OTHER (SPECIFY),NO,,
98-53-45-06,0007-001-001,GOVERNMENT EXTENSION,NO,,
98-53-45-06,0007-001-001,NGO,NO,,
98-53-45-06,0007-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
98-53-45-06,0007-001-001,LARGE SCALE FARMER,NO,,
98-53-45-06,0007-001-001,RADIO,NO,,
98-53-45-06,0007-001-001,PUBLICATION,NO,,
98-53-45-06,0007-001-001,NEIGHBOUR,YES,NO,
98-53-45-06,0007-001-001,OTHER (SPECIFY),NO,,
20-72-78-84,0009-001-001,GOVERNMENT EXTENSION,NO,,
20-72-78-84,0009-001-001,NGO,NO,,
20-72-78-84,0009-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
20-72-78-84,0009-001-001,LARGE SCALE FARMER,NO,,
20-72-78-84,0009-001-001,RADIO,NO,,
20-72-78-84,0009-001-001,PUBLICATION,NO,,
20-72-78-84,0009-001-001,NEIGHBOUR,NO,,
20-72-78-84,0009-001-001,OTHER (SPECIFY),NO,,
90-18-72-04,0010-001-001,GOVERNMENT EXTENSION,NO,,
90-18-72-04,0010-001-001,NGO,NO,,
90-18-72-04,0010-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
90-18-72-04,0010-001-001,LARGE SCALE FARMER,NO,,
90-18-72-04,0010-001-001,RADIO,NO,,
90-18-72-04,0010-001-001,PUBLICATION,NO,,
90-18-72-04,0010-001-001,NEIGHBOUR,NO,,
90-18-72-04,0010-001-001,OTHER (SPECIFY),NO,,
85-64-65-42,0011-001-001,GOVERNMENT EXTENSION,NO,,
85-64-65-42,0011-001-001,NGO,NO,,
85-64-65-42,0011-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
85-64-65-42,0011-001-001,LARGE SCALE FARMER,NO,,
85-64-65-42,0011-001-001,RADIO,NO,,
85-64-65-42,0011-001-001,PUBLICATION,NO,,
85-64-65-42,0011-001-001,NEIGHBOUR,NO,,
85-64-65-42,0011-001-001,OTHER (SPECIFY),NO,,
52-32-57-20,0012-001-001,GOVERNMENT EXTENSION,NO,,
52-32-57-20,0012-001-001,NGO,NO,,
52-32-57-20,0012-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
52-32-57-20,0012-001-001,LARGE SCALE FARMER,NO,,
52-32-57-20,0012-001-001,RADIO,NO,,
52-32-57-20,0012-001-001,PUBLICATION,NO,,
52-32-57-20,0012-001-001,NEIGHBOUR,NO,,
52-32-57-20,0012-001-001,OTHER (SPECIFY),NO,,
15-20-64-14,0012-001-010,GOVERNMENT EXTENSION,,,
15-20-64-14,0012-001-010,NGO,,,
15-20-64-14,0012-001-010,COOPERATIVE/FARMER'S ASSOCIATION,,,
15-20-64-14,0012-001-010,LARGE SCALE FARMER,,,
15-20-64-14,0012-001-010,RADIO,,,
15-20-64-14,0012-001-010,PUBLICATION,,,
15-20-64-14,0012-001-010,NEIGHBOUR,,,
15-20-64-14,0012-001-010,OTHER (SPECIFY),,,
31-30-77-11,0012-003-001,GOVERNMENT EXTENSION,NO,,
31-30-77-11,0012-003-001,NGO,NO,,
31-30-77-11,0012-003-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
31-30-77-11,0012-003-001,LARGE SCALE FARMER,NO,,
31-30-77-11,0012-003-001,RADIO,NO,,
31-30-77-11,0012-003-001,PUBLICATION,NO,,
31-30-77-11,0012-003-001,NEIGHBOUR,YES,NO,
31-30-77-11,0012-003-001,OTHER (SPECIFY),NO,,
18-76-19-96,0013-001-001,GOVERNMENT EXTENSION,NO,,
18-76-19-96,0013-001-001,NGO,NO,,
18-76-19-96,0013-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
18-76-19-96,0013-001-001,LARGE SCALE FARMER,NO,,
18-76-19-96,0013-001-001,RADIO,NO,,
18-76-19-96,0013-001-001,PUBLICATION,NO,,
18-76-19-96,0013-001-001,NEIGHBOUR,YES,NO,
18-76-19-96,0013-001-001,OTHER (SPECIFY),NO,,
58-42-71-45,0015-001-001,GOVERNMENT EXTENSION,NO,,
58-42-71-45,0015-001-001,NGO,NO,,
58-42-71-45,0015-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
58-42-71-45,0015-001-001,LARGE SCALE FARMER,NO,,
58-42-71-45,0015-001-001,RADIO,NO,,
58-42-71-45,0015-001-001,PUBLICATION,NO,,
58-42-71-45,0015-001-001,NEIGHBOUR,NO,,
58-42-71-45,0015-001-001,OTHER (SPECIFY),YES,NO,
89-06-03-18,0016-001-001,GOVERNMENT EXTENSION,,,
89-06-03-18,0016-001-001,NGO,,,
89-06-03-18,0016-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
89-06-03-18,0016-001-001,LARGE SCALE FARMER,,,
89-06-03-18,0016-001-001,RADIO,,,
89-06-03-18,0016-001-001,PUBLICATION,,,
89-06-03-18,0016-001-001,NEIGHBOUR,,,
89-06-03-18,0016-001-001,OTHER (SPECIFY),,,
73-26-58-64,0016-001-002,GOVERNMENT EXTENSION,NO,,
73-26-58-64,0016-001-002,NGO,NO,,
73-26-58-64,0016-001-002,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
73-26-58-64,0016-001-002,LARGE SCALE FARMER,NO,,
73-26-58-64,0016-001-002,RADIO,NO,,
73-26-58-64,0016-001-002,PUBLICATION,NO,,
73-26-58-64,0016-001-002,NEIGHBOUR,NO,,
73-26-58-64,0016-001-002,OTHER (SPECIFY),NO,,
56-32-76-33,0017-001-001,GOVERNMENT EXTENSION,NO,,
56-32-76-33,0017-001-001,NGO,NO,,
56-32-76-33,0017-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
56-32-76-33,0017-001-001,LARGE SCALE FARMER,NO,,
56-32-76-33,0017-001-001,RADIO,NO,,
56-32-76-33,0017-001-001,PUBLICATION,NO,,
56-32-76-33,0017-001-001,NEIGHBOUR,YES,NO,
56-32-76-33,0017-001-001,OTHER (SPECIFY),NO,,
82-18-18-76,0017-002-001,GOVERNMENT EXTENSION,,,
82-18-18-76,0017-002-001,NGO,,,
82-18-18-76,0017-002-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
82-18-18-76,0017-002-001,LARGE SCALE FARMER,,,
82-18-18-76,0017-002-001,RADIO,,,
82-18-18-76,0017-002-001,PUBLICATION,,,
82-18-18-76,0017-002-001,NEIGHBOUR,,,
82-18-18-76,0017-002-001,OTHER (SPECIFY),,,
39-47-88-39,0018-001-001,GOVERNMENT EXTENSION,NO,,
39-47-88-39,0018-001-001,NGO,NO,,
