interview__key,sdd_hhid,plotnum,plotname,plotid_nps4,ag3a_desc,ag3a_02_1,ag3a_02_2,ag3a_02_3,ag3a_03,ag3a_04,ag3a_07,ag3a_08a_1,ag3a_08a_2,ag3a_08b_1,ag3a_08b_2,ag3a_08b_3,ag3a_08c1,ag3a_08c2,ag3a_09a_1,ag3a_09a_2,ag3a_09b_1,ag3a_09b_2,ag3a_09b_3,ag3a_09c1,ag3a_09c2,ag3a_10,ag3a_11,ag3a_12,ag3a_13,ag3a_14,ag3a_15,ag3a_16_1,ag3a_16_2,ag3a_17,ag3a_18,ag3a_19,ag3a_20,ag3a_21,ag3a_22,ag3a_23,ag3a_24,ag3a_25,ag3a_26_1,ag3a_26_2,ag3a_27,ag3a_28a,ag3a_28b,ag3a_28c,ag3a_28d,ag3a_29_1,ag3a_29_2,ag3a_30,ag3a_31_1,ag3a_31_2,ag3a_31a,ag3a_32_1,ag3a_32_2,ag3a_33,ag3a_34_1,ag3a_34_2,ag3a_35,ag3a_36_1,ag3a_36_2,ag3a_37_1,ag3a_37_2,ag3a_38,ag3a_38a,ag3a_39,ag3a_40,ag3a_41,ag3a_42,ag3a_43,ag3a_44,ag3a_45,ag3a_46_1,ag3a_46_2,ag3a_47,ag3a_48,ag3a_49,ag3a_51,ag3a_52,ag3a_53_1,ag3a_53_2,ag3a_54,ag3a_55,ag3a_56,ag3a_58,ag3a_59_1,ag3a_59_2,ag3a_60,ag3a_62_1,ag3a_62_2,ag3a_63,ag3a_64,ag3a_65_1,ag3a_65_2,ag3a_65a,ag3a_65b_1,ag3a_65b_2,ag3a_65c,ag3a_65d,ag3a_65e_1,ag3a_65e_2,ag3a_66,ag3a_67_1,ag3a_67_2,ag3a_67_3,ag3a_67_4,ag3a_68,ag3a_69,ag3a_70_1,ag3a_70_2,ag3a_71_1,ag3a_71_2,ag3a_71a,ag3a_71b,ag3a_72a,ag3a_72b_1,ag3a_72b_2,ag3a_72b_3,ag3a_72b_4,ag3a_72b_5,ag3a_72b_6,ag3a_72b_7,ag3a_72b_8,ag3a_72b_9,ag3a_72b_10,ag3a_72e,ag3a_72f_1,ag3a_72f_2,ag3a_72f_3,ag3a_72f_4,ag3a_72f_5,ag3a_72f_6,ag3a_72f_7,ag3a_72f_8,ag3a_72f_9,ag3a_72f_10,ag3a_72i,ag3a_72j_1,ag3a_72j_2,ag3a_72j_3,ag3a_72j_4,ag3a_72j_5,ag3a_72j_6,ag3a_72j_7,ag3a_72j_8,ag3a_72j_9,ag3a_72j_10,ag3a_73,ag3a_74_1a,ag3a_74_1b,ag3a_74_1c,ag3a_74_1d,ag3a_74_2a,ag3a_74_2b,ag3a_74_2c,ag3a_74_2d,ag3a_74_3a,ag3a_74_3b,ag3a_74_3c,ag3a_74_3d,ag3a_76,ag3a_77,ag3a_78,ag3a_79,ag3a_80,ag3a_81,ag3a_82,ag3a_83,ag3a_84,ag3a_85
69-04-74-63,0001-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,2,1,2,CULTIVATED,,4,YES,NO,2,,,,,YES,NO,2,,,,,SANDY,AVERAGE,OWN EXPERIENCE,YES,RAIN,NO,,,FLAT BOTTOM,NO,,,,2017,2,1000000,INHERITANCE,,,,NO CERTIFICATE,YES,NO,NO DOCUMENTATION,2,,NO,,,,,,,,,,,,,,2007,NO,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,2,,,,,,,,,,YES,2,,,,,,,,,,YES,2,,,,,,,,,,YES,0,8,0,0,0,0,0,0,0,0,0,0,,,,,,NO,,YES,,FALLOW
69-04-74-63,0001-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69-04-74-63,0001-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,1,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,1500000,BORROWING FROM FAMILY MEMBER,,,,,,,NO DOCUMENTATION,,,,,,,,,HAKUNA MALIPO YOYOTE,,,NONE,NDUGU YOYOTE (NDANI AU NJE YA KAYA),NDANI YA KIJIJI/MJI,1,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
89-47-56-17,0001-001-003,1,**CONFIDENTIAL**,,,2,0.5,4,CULTIVATED,,26,YES,NO,1,,,,,YES,NO,1,,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,FLAT BOTTOM,NO,,,,DON'T KNOW,,800000,RENTED IN,,,,,,,NO DOCUMENTATION,,,,,,,,,60000,12,MONTHS,NONE,JIRANI,NDANI YA KIJIJI/MJI,1,,,,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,,,,,,,,,,YES,1,,,,,,,,,,YES,1,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
89-47-56-17,0001-001-003,2,**CONFIDENTIAL**,,,0,0,2,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,800000,PURCHASED,,,,NO CERTIFICATE,YES,NO,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2018,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
04-61-05-31,0001-001-004,1,**CONFIDENTIAL**,,,0,0,3,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,0,RENTED IN,,,,,,,NO DOCUMENTATION,,,,,,,,,480000,1,YEARS,NONE,M/BIASHARA BINAFSI,KARIBU NA MJI,1,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
46-71-56-27,0001-004-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,1,3,3,FALLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,600000,PURCHASED,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2009,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
46-71-56-27,0001-004-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,1,3,3,FALLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,400000,PURCHASED,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2011,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
46-71-56-27,0001-004-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,1,3,3,FALLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,200000,PURCHASED,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2009,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
46-71-56-27,0001-004-001,4,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,3,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,1000000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2009,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
94-40-15-31,0001-004-002,1,**CONFIDENTIAL**,,,0,0,4,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,3000000,USED FREE OF CHARGE,,,,,,,NO DOCUMENTATION,,,,,,,,,,,,,JIRANI,NDANI YA KIJIJI/MJI,2,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NO,,
50-85-79-66,0003-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,5,0,5,CULTIVATED,,1,YES,NO,1,,,,,YES,NO,1,,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,FLAT BOTTOM,NO,,,,2017,1,1800000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,YES,1,2,NO,,,,,,,,,,,1999,NO,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,YES,NO,YES,1,4,6,9,,,,,,,YES,1,6,9,,,,,,,,YES,1,2,4,6,9,,,,,,YES,0,0,0,0,0,14,0,20000,0,0,0,0,,,,,,NO,,YES,,FALLOW
50-85-79-66,0003-001-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,0,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,30000000,PURCHASED,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,2,YES,1,2,NO,,,,,,,,,,,2013,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
50-85-79-66,0003-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,3,0,3,CULTIVATED,,1,YES,NO,1,,,,,YES,NO,1,,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,FLAT BOTTOM,NO,,,,NEVER,,500000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,2,YES,1,2,NO,,,,,,,,,,,1999,NO,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,6,9,,,,,,,,YES,1,6,9,,,,,,,,YES,1,4,9,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
98-30-81-51,0004-001-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,4,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,35000000,PURCHASED,,,,CERTIFICATE OF CUSTOMARY RIGHTS  OF OCCUPANCY,,,VILLAGE-GOVERNMENT-WITNESSED PURCHASE AGREEMENT,1,2,YES,1,2,NO,,,,,,,,,,,2011,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
71-75-12-39,0005-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
