"interview__key","sdd_hhid","plotnum","plotname","plotid_nps4","ag3a_72a","ag3a_72b_1","ag3a_72b_2","ag3a_72b_3","ag3a_72b_4","ag3a_72b_5","ag3a_72b_6","ag3a_72b_7","ag3a_72b_8","ag3a_72b_9","ag3a_72b_10","ag3a_72c_1","ag3a_72c_2","ag3a_72c_3","ag3a_72c_4","ag3a_72c_5","ag3a_72c_6","ag3a_72c_7","ag3a_72c_8","ag3a_72c_9","ag3a_72c_10","ag3a_72d_1","ag3a_72d_2","ag3a_72d_3","ag3a_72d_4","ag3a_72d_5","ag3a_72d_6","ag3a_72d_7","ag3a_72d_8","ag3a_72d_9","ag3a_72d_10","ag3a_72e","ag3a_72f_1","ag3a_72f_2","ag3a_72f_3","ag3a_72f_4","ag3a_72f_5","ag3a_72f_6","ag3a_72f_7","ag3a_72f_8","ag3a_72f_9","ag3a_72f_10","ag3a_72g_1","ag3a_72g_2","ag3a_72g_3","ag3a_72g_4","ag3a_72g_5","ag3a_72g_6","ag3a_72g_7","ag3a_72g_8","ag3a_72g_9","ag3a_72g_10","ag3a_72h_1","ag3a_72h_2","ag3a_72h_3","ag3a_72h_4","ag3a_72h_5","ag3a_72h_6","ag3a_72h_7","ag3a_72h_8","ag3a_72h_9","ag3a_72h_10","ag3a_72i","ag3a_72j_1","ag3a_72j_2","ag3a_72j_3","ag3a_72j_4","ag3a_72j_5","ag3a_72j_6","ag3a_72j_7","ag3a_72j_8","ag3a_72j_9","ag3a_72j_10","ag3a_72k_1","ag3a_72k_2","ag3a_72k_3","ag3a_72k_4","ag3a_72k_5","ag3a_72k_6","ag3a_72k_7","ag3a_72k_8","ag3a_72k_9","ag3a_72k_10","ag3a_72l_1","ag3a_72l_2","ag3a_72l_3","ag3a_72l_4","ag3a_72l_5","ag3a_72l_6","ag3a_72l_7","ag3a_72l_8","ag3a_72l_9","ag3a_72l_10"
"69-04-74-63","0001-001-001",1,"**CONFIDENTIAL**","M1",1,2,,,,,,,,,,24,,,,,,,,,,5,,,,,,,,,,1,2,,,,,,,,,,15,,,,,,,,,,5,,,,,,,,,,1,2,,,,,,,,,,6,,,,,,,,,,5,,,,,,,,,
"69-04-74-63","0001-001-001",2,"**CONFIDENTIAL**","M2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-04-74-63","0001-001-001",3,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"89-47-56-17","0001-001-003",1,"**CONFIDENTIAL**",,1,1,,,,,,,,,,14,,,,,,,,,,5,,,,,,,,,,1,1,,,,,,,,,,16,,,,,,,,,,6,,,,,,,,,,1,1,,,,,,,,,,12,,,,,,,,,,5,,,,,,,,,
"89-47-56-17","0001-001-003",2,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-61-05-31","0001-001-004",1,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46-71-56-27","0001-004-001",1,"**CONFIDENTIAL**","M1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46-71-56-27","0001-004-001",2,"**CONFIDENTIAL**","M2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46-71-56-27","0001-004-001",3,"**CONFIDENTIAL**","M3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46-71-56-27","0001-004-001",4,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-40-15-31","0001-004-002",1,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50-85-79-66","0003-001-001",1,"**CONFIDENTIAL**","M1",1,1,4,6,9,,,,,,,2,3,2,2,,,,,,,3,2,3,3,,,,,,,1,1,6,9,,,,,,,,7,7,7,,,,,,,,4,4,4,,,,,,,,1,1,2,4,6,9,,,,,,2,2,2,2,1,,,,,,5,5,5,3,2,,,,,
"50-85-79-66","0003-001-001",2,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50-85-79-66","0003-001-001",3,"**CONFIDENTIAL**",,1,1,6,9,,,,,,,,3,3,3,,,,,,,,4,5,5,,,,,,,,1,1,6,9,,,,,,,,6,6,4,,,,,,,,4,3,4,,,,,,,,1,1,4,9,,,,,,,,2,2,2,,,,,,,,2,2,2,,,,,,,
"98-30-81-51","0004-001-001",1,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-75-12-39","0005-001-001",1,"**CONFIDENTIAL**","M1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-75-12-39","0005-001-001",2,"**CONFIDENTIAL**","M2",1,1,2,3,,,,,,,,18,16,6,,,,,,,,5,5,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,,,,,,,,3,3,2,,,,,,,,5,5,4,,,,,,,
"71-75-12-39","0005-001-001",3,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"98-53-45-06","0007-001-001",1,"**CONFIDENTIAL**","M1",1,1,2,,,,,,,,,6,6,,,,,,,,,4,4,,,,,,,,,1,1,2,,,,,,,,,16,16,,,,,,,,,4,4,,,,,,,,,1,1,2,3,,,,,,,,7,7,3,,,,,,,,5,4,4,,,,,,,
"98-53-45-06","0007-001-001",2,"**CONFIDENTIAL**","M2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"98-53-45-06","0007-001-001",3,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20-72-78-84","0009-001-001",1,"**CONFIDENTIAL**","M1",1,1,2,5,,,,,,,,10,10,10,,,,,,,,7,7,7,,,,,,,,1,1,2,5,,,,,,,,10,10,10,,,,,,,,7,7,7,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20-72-78-84","0009-001-001",2,"**CONFIDENTIAL**","M2",1,1,2,,,,,,,,,2,2,,,,,,,,,3,3,,,,,,,,,1,1,2,,,,,,,,,1,1,,,,,,,,,3,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-18-72-04","0010-001-001",1,"**CONFIDENTIAL**","M1",1,1,2,,,,,,,,,5,5,,,,,,,,,6,6,,,,,,,,,1,1,2,,,,,,,,,6,6,,,,,,,,,6,6,,,,,,,,,1,1,2,,,,,,,,,3,3,,,,,,,,,6,6,,,,,,,,
"90-18-72-04","0010-001-001",2,"**CONFIDENTIAL**","M2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-18-72-04","0010-001-001",3,"**CONFIDENTIAL**","M3",1,1,2,,,,,,,,,2,2,,,,,,,,,3,3,,,,,,,,,1,1,2,,,,,,,,,4,4,,,,,,,,,6,6,,,,,,,,,1,1,2,,,,,,,,,2,2,,,,,,,,,5,5,,,,,,,,
"90-18-72-04","0010-001-001",4,"**CONFIDENTIAL**","M4",1,1,2,,,,,,,,,3,3,,,,,,,,,4,4,,,,,,,,,1,1,2,,,,,,,,,2,2,,,,,,,,,3,3,,,,,,,,,1,1,2,,,,,,,,,1,1,,,,,,,,,3,3,,,,,,,,
"85-64-65-42","0011-001-001",1,"**CONFIDENTIAL**","M1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"85-64-65-42","0011-001-001",2,"**CONFIDENTIAL**","M2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"85-64-65-42","0011-001-001",3,"**CONFIDENTIAL**",,1,1,,,,,,,,,,21,,,,,,,,,,10,,,,,,,,,,1,1,2,,,,,,,,,20,15,,,,,,,,,10,10,,,,,,,,,1,1,2,,,,,,,,,10,10,,,,,,,,,6,4,,,,,,,,
"85-64-65-42","0011-001-001",4,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52-32-57-20","0012-001-001",1,"**CONFIDENTIAL**","M1",1,1,2,3,4,12,,,,,,7,9,7,5,5,,,,,,6,6,6,6,5,,,,,,1,1,2,3,4,12,,,,,,5,4,3,4,4,,,,,,6,6,5,6,4,,,,,,1,1,2,3,4,12,,,,,,3,3,2,2,2,,,,,,6,5,6,5,4,,,,,
"52-32-57-20","0012-001-001",2,"**CONFIDENTIAL**","M2",1,1,2,3,4,12,,,,,,21,18,16,12,13,,,,,,6,6,6,6,6,,,,,,1,1,2,3,4,12,,,,,,14,12,10,8,7,,,,,,7,6,6,6,5,,,,,,1,1,2,3,4,12,,,,,,7,8,6,5,4,,,,,,6,5,5,5,5,,,,,
"52-32-57-20","0012-001-001",3,"**CONFIDENTIAL**","M3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15-20-64-14","0012-001-010",1,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-30-77-11","0012-003-001",1,"**CONFIDENTIAL**","M1",1,1,2,,,,,,,,,28,28,,,,,,,,,6,6,,,,,,,,,1,1,2,,,,,,,,,26,25,,,,,,,,,6,4,,,,,,,,,1,1,2,,,,,,,,,6,6,,,,,,,,,4,4,,,,,,,,
"18-76-19-96","0013-001-001",1,"**CONFIDENTIAL**","M1",1,1,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,1,1,,,,,,,,,,5,,,,,,,,,,6,,,,,,,,,,1,1,,,,,,,,,,2,,,,,,,,,,8,,,,,,,,,
"18-76-19-96","0013-001-001",2,"**CONFIDENTIAL**","M2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18-76-19-96","0013-001-001",3,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-42-71-45","0015-001-001",1,"**CONFIDENTIAL**","M1",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-42-71-45","0015-001-001",2,"**CONFIDENTIAL**","M2",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-42-71-45","0015-001-001",3,"**CONFIDENTIAL**","M3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-42-71-45","0015-001-001",4,"**CONFIDENTIAL**","M4",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,,,,,,,,,1,1,,,,,,,,,6,6,,,,,,,,
"58-42-71-45","0015-001-001",5,"**CONFIDENTIAL**","M5",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-42-71-45","0015-001-001",6,"**CONFIDENTIAL**","M6",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-42-71-45","0015-001-001",7,"**CONFIDENTIAL**","M7",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-42-71-45","0015-001-001",8,"**CONFIDENTIAL**","M8",1,2,8,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,2,8,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,2,8,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,
"89-06-03-18","0016-001-001",1,"**CONFIDENTIAL**","M1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"89-06-03-18","0016-001-001",2,"**CONFIDENTIAL**","M2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"73-26-58-64","0016-001-002",1,"**CONFIDENTIAL**",,1,1,,,,,,,,,,2,,,,,,,,,,5,,,,,,,,,,1,1,,,,,,,,,,2,,,,,,,,,,5,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,4,,,,,,,,,
"73-26-58-64","0016-001-002",2,"**CONFIDENTIAL**",,1,1,,,,,,,,,,6,,,,,,,,,,5,,,,,,,,,,1,1,,,,,,,,,,3,,,,,,,,,,4,,,,,,,,,,1,1,,,,,,,,,,3,,,,,,,,,,4,,,,,,,,,
"73-26-58-64","0016-001-002",3,"**CONFIDENTIAL**",,1,1,,,,,,,,,,8,,,,,,,,,,6,,,,,,,,,,1,1,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,1,1,,,,,,,,,,3,,,,,,,,,,4,,,,,,,,,
"56-32-76-33","0017-001-001",1,"**CONFIDENTIAL**","M1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
