interview__key,sdd_hhid,plotnum,cropid,ag4a_01,ag4a_02,ag4a_03,ag4a_04,ag4a_05,ag4a_06,ag4a_08,ag4a_10_1,ag4a_10_2,ag4a_10a_1,ag4a_10a_2,ag4a_10b,ag4a_10c_1,ag4a_10c_2,ag4a_12,ag4a_13_1,ag4a_13_2,ag4a_17,ag4a_18,ag4a_19,ag4a_20,ag4a_21,ag4a_22,ag4a_23,ag4a_24_1,ag4a_24_2,ag4a_25,ag4a_26,ag4a_27,ag4a_28,ag4a_29_1,ag4a_29_2
69-04-74-63,0001-001-001,1,4,NO,1/2,LACK OF TOOLS/EQUIPMENTS,NO,,UWELE ASILI,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,YES,BIRDS,YES,,0.75,YES,DROUGHT,JUNE,JUNE,,,80,48000,1,2
89-47-56-17,0001-001-003,1,1,NO,1/2,AG EQUIPMENTS,YES,MORE FERTILE FOR THE SOIL,MAHINDI KIENYEJI,TRADITIONAL,10,KG,HAKUNA,,,10,KG,12000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,YES,,0.7,YES,DROUGHT,JUNE,JULY,,,108,72000,1,
89-47-56-17,0001-001-003,1,18,NO,1/2,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,KUNDE NYEMBAMBA,TRADITIONAL,3,KG,HAKUNA,,,3,KG,5000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,YES,,0.5,YES,INSECTS,JULY,JULY,,,40,14000,1,
89-47-56-17,0001-001-003,1,20,NO,1/4,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,MBAAZI FUPI,TRADITIONAL,8,KG,HAKUNA,,,8,KG,5000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,YES,,0.3,YES,DROUGHT,SEPTEMBER,SEPTEMBER,,,30,22500,1,
89-47-56-17,0001-001-003,1,26,NO,3/4,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,ALIZETI NYEUSI,TRADITIONAL,10,KG,HAKUNA,,,10,KG,8000,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,1,YES,DROUGHT,JUNE,JUNE,,,48,20000,1,
50-85-79-66,0003-001-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,SEEDCO,IMPROVED,4,KG,HAKUNA,,,4,KG,32000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,YES,THEFT,YES,,1,YES,DROUGHT,JUNE,JUNE,,,452,70000,1,
50-85-79-66,0003-001-001,1,20,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MBAAZI,TRADITIONAL,2,KG,2,KG,TRADITIONAL,HAKUNA,,,,,YES,INSECTS,YES,,0.5,YES,INSECTS,AUGUST,SEPTEMBER,,,70,70000,1,
50-85-79-66,0003-001-001,1,26,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,NYEUSI,TRADITIONAL,12,KG,HAKUNA,,,12,KG,20000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,YES,DROUGHT,YES,,0.75,YES,DROUGHT,MAY,MAY,,,85,55000,1,2
50-85-79-66,0003-001-001,3,1,YES,,,YES,MORE FERTILE FOR THE SOIL,NDEFU,TRADITIONAL,2,KG,2,KG,TRADITIONAL,HAKUNA,,,,,YES,THEFT,YES,,0.4,YES,CROP THEFT,JUNE,JUNE,,,40,12000,1,
50-85-79-66,0003-001-001,3,26,YES,,,YES,MORE FERTILE FOR THE SOIL,NYEUSI,TRADITIONAL,3,KG,HAKUNA,,,3,KG,3,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,YES,DROUGHT,YES,,0.4,YES,DROUGHT,MAY,MAY,,,35,10000,1,
