interview__key,sdd_hhid,plotnum,cropid,ag4b_01,ag4b_02,ag4b_03,ag4b_04,ag4b_05,ag4b_06,ag4b_08,ag4b_10_1,ag4b_10_2,ag4b_10a_1,ag4b_10a_2,ag4b_10b,ag4b_10c_1,ag4b_10c_2,ag4b_12,ag4b_13_1,ag4b_13_2,ag4b_17,ag4b_18,ag4b_19,ag4b_20,ag4b_21,ag4b_22,ag4b_23,ag4b_24_1,ag4b_24_2,ag4b_25,ag4b_26,ag4b_27,ag4b_28,ag4b_29,ag4b_30_1,ag4b_30_2
97-60-31-67,0048-001-001,3,1,NO,1/4,WAS DIVIDED,NO,,YA MOSHI,TRADITIONAL,1,KG,1,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.2,NO,,JANUARY,FEBRUARY,YES,,,30,27000,1,
03-68-77-59,0049-001-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,ASILI,TRADITIONAL,6,KG,6,KG,TRADITIONAL,HAKUNA,,,,,YES,OTHER (SPECIFY),NO,OTHER (SPECIFY),,,,,,,,,,,,
03-68-77-59,0049-001-001,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,ASILI,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,YES,OTHER (SPECIFY),NO,OTHER (SPECIFY),,,,,,,,,,,,
88-71-20-70,0050-001-001,2,1,YES,,,YES,MORE FERTILE FOR THE SOIL,SEEDCO,IMPROVED,8,KG,HAKUNA,,,8,KG,48000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,YES,,0.5,NO,,MARCH,MARCH,YES,,,100,100000,1,
88-71-20-70,0050-001-001,2,17,YES,,,YES,MORE FERTILE FOR THE SOIL,ASILI,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,NO,,JUNE,JULY,YES,,,50,100000,1,2
62-93-39-20,0051-001-001,1,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,HYBRID F1,IMPROVED,1,KG,HAKUNA,,,1,KG,6500,DUKANI/MCHUUZI,KARIBU NA KIJIJI,NO,,YES,,0.5,NO,,FEBRUARY,FEBRUARY,YES,,,216,118000,1,
62-93-39-20,0051-001-001,3,1,YES,,,NO,,HYBRID F1,IMPROVED,1,KG,HAKUNA,,,1,KG,6500,DUKANI/MCHUUZI,KARIBU NA KIJIJI,NO,,YES,,0.3,NO,,FEBRUARY,FEBRUARY,YES,,,108,59400,1,
73-41-85-14,0056-001-001,1,1,NO,1/2,"OTHER, SPECIFY",NO,,MBEGU YA ASILI,TRADITIONAL,1,KG,HAKUNA,,,HAKUNA,,,,,NO,,YES,,0.1,YES,DROUGHT,FEBRUARY,FEBRUARY,YES,,,15,5000,1,
73-41-85-14,0056-001-001,2,1,YES,,,YES,MORE FERTILE FOR THE SOIL,MBEGU YA ASILI,TRADITIONAL,1,KG,HAKUNA,,,1,KG,800,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,NO,OTHER (SPECIFY),,,,,,,,,,,,
73-41-85-14,0056-001-001,2,26,YES,,,YES,MORE FERTILE FOR THE SOIL,MBEGU YA ASILI,TRADITIONAL,0.25,KG,HAKUNA,,,HAKUNA,,,,,NO,,NO,OTHER (SPECIFY),,,,,,,,,,,,
