interview__key,sdd_hhid,cropid,ag5a_01,ag5a_02,ag5a_03,ag5a_04_1,ag5a_04_2,ag5a_05,ag5a_06,ag5a_07_1,ag5a_07_2,ag5a_08,ag5a_09_1,ag5a_09_2,ag5a_10_1,ag5a_10_2,ag5a_11a,ag5a_11_1,ag5a_11_2,ag5a_12,ag5a_13,ag5a_14_1,ag5a_14_2,ag5a_15,ag5a_16_1,ag5a_16_2,ag5a_17_1,ag5a_17_2,ag5a_18,ag5a_19,ag5a_20,ag5a_21,ag5a_22,ag5a_23,ag5a_24,ag5a_25,ag5a_26,ag5a_27,ag5a_28,ag5a_29,ag5a_30,ag5a_31,ag5a_32,ag5a_32a,ag5a_32b,ag5a_32c,ag5a_32d,ag5a_32e,ag5a_33,ag5a_34,ag5a_35,ag5a_36_1a,ag5a_36_1b,ag5a_36_2a,ag5a_36_2b
69-04-74-63,0001-001-001,4,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,70,10,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
89-47-56-17,0001-001-003,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,108,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
89-47-56-17,0001-001-003,18,YES,20,10000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,20,10000,NOVEMBER,2018,1,1,,1,,HAPANA,,,,,,,,,,,,YES,2,1,ON FOOT,0,NO,,,,,,NO,,,,10,0,0,10,0,RESIDUE WAS LEFT IN FIELD,,,,,,
89-47-56-17,0001-001-003,20,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,10,0,0,20,0,RESIDUE WAS LEFT IN FIELD,,,,,,
89-47-56-17,0001-001-003,26,YES,48,20000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,48,20000,SEPTEMBER,2018,4,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,0,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
50-85-79-66,0003-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,252,32,0,200,0,RESIDUE WAS LEFT IN FIELD,,,,,,
50-85-79-66,0003-001-001,20,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,56,0,0,14,0,RESIDUE WAS LEFT IN FIELD,,,,,,
50-85-79-66,0003-001-001,26,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,60,20,0,40,0,RESIDUE WAS LEFT IN FIELD,,,,,,
71-75-12-39,0005-001-001,2,YES,210,140000,JIRANI,NDANI YA KIJIJI/MJI,210,140000,SEPTEMBER,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,810,30,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
98-53-45-06,0007-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,310,20,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
98-53-45-06,0007-001-001,4,YES,130,45000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,130,45000,SEPTEMBER,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,230,30,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
98-53-45-06,0007-001-001,20,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,120,5,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
98-53-45-06,0007-001-001,26,YES,135,75000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,135,75000,SEPTEMBER,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,60,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
90-18-72-04,0010-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,240,LOCALLY MADE TRADITIONAL STRUCTURE,NO,,FOOD FOR HOUSEHOLD,NO,,,,40,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
85-64-65-42,0011-001-001,1,YES,200,60000,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,200,60000,AUGUST,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,300,0,0,100,0,RESIDUE WAS LEFT IN FIELD,,,,,,
52-32-57-20,0012-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,324,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
