interview__key,sdd_hhid,plotnum,cropid,ag6a_02,ag6a_03,ag6a_04,ag6a_05,ag6a_06,ag6a_06a,ag6a_07_1,ag6a_07_2,ag6a_07_3,ag6a_07_4,ag6a_08_1,ag6a_08_2,ag6a_09,ag6a_10,ag6a_11
20-72-78-84,0009-001-001,2,57,1,2004,0,NO,,YES,2019,FEBRUARY,2019,FEBRUARY,1,2,100,NO,
52-32-57-20,0012-001-001,2,57,1,1988,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,APRIL,2019,APRIL,1,,140,YES,INSECTS
52-32-57-20,0012-001-001,2,88,2,1991,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
18-76-19-96,0013-001-001,1,55,4,2016,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,MAY,2019,JUNE,1,,12,NO,
06-46-18-18,0026-001-001,1,55,8,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,DECEMBER,2018,DECEMBER,2,,13,NO,
73-00-55-05,0028-001-001,1,88,1,2006,0,NO,,NO,,,,,,,,,
15-50-37-82,0036-001-001,3,56,3,2016,0,YES,OTHER (SPECIFY),NO,,,,,,,,,
15-50-37-82,0036-001-001,3,57,1,2010,0,YES,OTHER (SPECIFY),NO,,,,,,,,,
15-50-37-82,0036-001-001,3,60,2,2014,0,YES,OTHER (SPECIFY),NO,,,,,,,,,
15-50-37-82,0036-001-001,3,64,4,2015,0,YES,OTHER (SPECIFY),NO,,,,,,,,,
15-50-37-82,0036-001-001,3,88,2,2015,0,YES,OTHER (SPECIFY),NO,,,,,,,,,
15-50-37-82,0036-001-001,3,102,3,2014,0,YES,OTHER (SPECIFY),NO,,,,,,,,,
97-60-31-67,0048-001-001,3,55,423,1900,15,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,OCTOBER,2019,SEPTEMBER,1,,525,NO,
97-60-31-67,0048-001-001,3,56,16,1977,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,OCTOBER,2019,SEPTEMBER,1,,120,NO,
97-60-31-67,0048-001-001,3,58,4,2004,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,NOVEMBER,2019,OCTOBER,1,,35,NO,
03-68-77-59,0049-001-001,2,55,120,1981,24,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,JANUARY,2019,AUGUST,1,2,950,NO,
03-68-77-59,0049-001-001,2,56,5,1995,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JUNE,2019,OCTOBER,1,2,490,NO,
88-71-20-70,0050-001-001,1,55,95,1981,20,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,MAY,2019,JUNE,1,2,800,NO,
88-71-20-70,0050-001-001,1,56,12,1995,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,MAY,2019,SEPTEMBER,1,2,1300,YES,THEFT
88-71-20-70,0050-001-001,2,55,28,1999,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,APRIL,2019,JUNE,1,2,280,YES,BIRDS
88-71-20-70,0050-001-001,2,56,12,1995,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,FEBRUARY,2019,JULY,1,2,650,YES,THEFT
62-93-39-20,0051-001-001,1,55,120,2002,34,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,OCTOBER,2019,SEPTEMBER,1,,210,NO,
62-93-39-20,0051-001-001,1,56,5,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,JANUARY,2019,JULY,1,,1800,NO,
00-72-79-53,0055-001-001,1,55,65,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,OCTOBER,2019,SEPTEMBER,1,,160,NO,
00-72-79-53,0055-001-001,1,56,3,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,OCTOBER,2019,SEPTEMBER,1,,120,YES,DISEASES
73-41-85-14,0056-001-001,1,55,70,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,DECEMBER,2019,NOVEMBER,1,,800,NO,
73-41-85-14,0056-001-001,1,56,4,2005,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,DECEMBER,2019,NOVEMBER,1,,150,NO,
16-64-27-88,0057-001-001,1,55,68,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,NOVEMBER,2019,SEPTEMBER,2,,225,NO,
16-64-27-88,0057-001-001,1,56,3,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,JUNE,2019,JULY,2,,330,NO,
16-64-27-88,0057-001-001,1,57,1,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
34-42-58-96,0058-001-001,1,55,1586,1900,45,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,NOVEMBER,2019,OCTOBER,1,2,1200,NO,
34-42-58-96,0058-001-001,1,56,2,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,OCTOBER,2019,JUNE,1,2,130,NO,
34-42-58-96,0058-001-001,3,55,340,1900,0,NO,,YES,2018,NOVEMBER,2019,SEPTEMBER,1,2,480,NO,
77-68-44-59,0059-001-001,1,57,2,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,NOVEMBER,2019,FEBRUARY,1,2,480,YES,INSECTS
77-68-44-59,0059-001-001,2,57,1,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,DECEMBER,2019,FEBRUARY,1,2,1440,YES,INSECTS
44-35-85-32,0060-001-001,1,53,3,1980,0,NO,,NO,,,,,,,,,
44-35-85-32,0060-001-001,1,56,3,1980,0,NO,,YES,2018,JUNE,2018,JULY,1,,20,YES,THEFT
44-35-85-32,0060-001-001,1,57,2,1980,0,NO,,YES,2018,NOVEMBER,2019,JANUARY,1,2,20,YES,THEFT
44-35-85-32,0060-001-001,4,60,1,2015,0,NO,,YES,2018,JUNE,2018,JULY,1,2,20,NO,
47-61-12-15,0062-001-001,2,57,3,1900,0,NO,,NO,,,,,,,,,
47-27-42-34,0067-001-001,2,57,6,1966,0,NO,,YES,2018,OCTOBER,2019,JANUARY,1,4,540,NO,
13-42-14-49,0067-004-001,1,53,2,2012,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
13-42-14-49,0067-004-001,1,55,70,1900,30,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,SEPTEMBER,2019,AUGUST,1,,360,NO,
13-42-14-49,0067-004-001,1,56,5,2010,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
13-42-14-49,0067-004-001,1,57,2,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
13-42-14-49,0067-004-001,1,59,30,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,SEPTEMBER,2019,AUGUST,1,,60,NO,
13-42-14-49,0067-004-001,1,85,3,2012,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,JUNE,2019,JULY,1,,40,NO,
91-76-63-44,0071-001-001,1,53,3,1973,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,AUGUST,2019,SEPTEMBER,1,2,360,NO,
91-76-63-44,0071-001-001,1,55,33,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,MARCH,2019,AUGUST,1,2,90,NO,
91-76-63-44,0071-001-001,1,56,1,1973,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
91-76-63-44,0071-001-001,1,57,4,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,NOVEMBER,2019,FEBRUARY,1,,180,NO,
91-76-63-44,0071-001-001,1,64,3,1977,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,OCTOBER,2019,SEPTEMBER,1,2,50,NO,
28-76-80-54,0072-001-001,2,53,6,2016,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
28-76-80-54,0072-001-001,2,55,60,2016,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,SEPTEMBER,2019,AUGUST,1,,60,NO,
28-76-80-54,0072-001-001,2,56,4,2015,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
28-76-80-54,0072-001-001,2,57,5,2015,2,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
28-76-80-54,0072-001-001,2,63,1,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,APRIL,2019,JUNE,1,,20,YES,INSECTS
