interview__key,sdd_hhid,plotnum,cropid,ag6b_02,ag6b_03,ag6b_04,ag6b_05,ag6b_06,ag6b_06a,ag6b_07_1,ag6b_07_2,ag6b_07_3,ag6b_07_4,ag6b_08_1,ag6b_08_2,ag6b_09,ag6b_10,ag6b_11
52-32-57-20,0012-001-001,1,95,1,1900,0,NO,,NDIYO,2019,MAY,2019,JUNE,1,,60,NO,
38-25-71-90,0029-001-001,2,98,9,2007,1,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
38-25-71-90,0029-001-001,2,103,8,2007,0,NO,,HAPANA,,,,,,,,,
38-25-71-90,0029-001-001,3,98,26,2002,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
38-25-71-90,0029-001-001,3,103,20,2002,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,NOVEMBER,2018,NOVEMBER,1,,500,NO,
27-91-28-82,0033-001-001,1,98,2,2004,0,NO,,HAPANA,,,,,,,,,
27-91-28-82,0033-001-001,2,98,12,2019,12,NO,,HAPANA,,,,,,,,,
97-60-31-67,0048-001-001,3,38,28,1900,0,NO,,HAPANA,,,,,,,,,
03-68-77-59,0049-001-001,2,38,74,1986,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
88-71-20-70,0050-001-001,1,38,42,1994,0,NO,,NDIYO,2019,JANUARY,2019,MAY,1,,5,YES,DISEASES
88-71-20-70,0050-001-001,1,98,28,2000,0,NO,,HAPANA,,,,,,,,,
88-71-20-70,0050-001-001,2,98,20,2005,0,NO,,HAPANA,,,,,,,,,
62-93-39-20,0051-001-001,1,38,48,2006,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,OCTOBER,2018,OCTOBER,1,,40,NO,
62-93-39-20,0051-001-001,1,98,18,2006,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
00-72-79-53,0055-001-001,1,38,8,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
00-72-79-53,0055-001-001,1,98,4,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
73-41-85-14,0056-001-001,1,98,3,2005,0,NO,,HAPANA,,,,,,,,,
47-27-42-34,0067-001-001,2,30,26,1966,0,NO,,NDIYO,2018,SEPTEMBER,2019,JULY,1,4,160,NO,
13-42-14-49,0067-004-001,1,38,15,2007,0,NO,,NDIYO,2018,SEPTEMBER,2018,OCTOBER,1,,6,NO,
13-42-14-49,0067-004-001,1,44,45,2017,15,NO,,NDIYO,2018,SEPTEMBER,2019,AUGUST,1,,30,NO,
13-42-14-49,0067-004-001,1,98,10,1900,0,NO,,HAPANA,,,,,,,,,
13-42-14-49,0067-004-001,2,98,10,2015,0,NO,,HAPANA,,,,,,,,,
81-85-31-88,0069-002-001,3,10,1550,2018,200,NO,,NDIYO,2019,JANUARY,2019,MARCH,1,,85,NO,
91-76-63-44,0071-001-001,1,10,1886,2018,0,NO,,NDIYO,2019,AUGUST,2019,SEPTEMBER,1,2,400,NO,
91-76-63-44,0071-001-001,1,44,360,2017,0,NO,,NDIYO,2019,JULY,2019,SEPTEMBER,1,,140,NO,
28-76-80-54,0072-001-001,2,10,3600,2017,250,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2019,JUNE,2019,AUGUST,1,,240,NO,
28-76-80-54,0072-001-001,2,30,1,2016,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
28-76-80-54,0072-001-001,2,98,5,2015,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
82-54-53-99,0072-003-001,2,10,530,2018,80,NO,,NDIYO,2018,OCTOBER,2019,APRIL,1,2,250,NO,
