interview__key,sdd_hhid,cropid,ag7a_02,ag7a_03,ag7a_04,ag7a_05_1,ag7a_05_2,ag7a_06_1,ag7a_06_2,ag7a_07_1a,ag7a_07_1b,ag7a_07_2a,ag7a_07_2b,ag7a_08,ag7a_09,ag7a_10,ag7a_11,ag7a_12,ag7a_13,ag7a_14,ag7a_15,ag7a_16,ag7a_17,ag7a_18,ag7a_19,ag7a_20,ag7a_21
20-72-78-84,0009-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,60,0,0,40,0
52-32-57-20,0012-001-001,57,YES,120,45000,1,,1,,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,20,0,0,0,0
18-76-19-96,0013-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,12,0,0,0,0
06-46-18-18,0026-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,12,0,0,0,0
97-60-31-67,0048-001-001,55,YES,300,120000,1,,1,,SOKO,NDANI YA KIJIJI/MJI,SOKO,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,135,0,0,90,0
97-60-31-67,0048-001-001,56,YES,100,30000,1,,1,,SOKO,NDANI YA KIJIJI/MJI,SOKO,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,35,0,0,20,15
97-60-31-67,0048-001-001,58,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,15,0
03-68-77-59,0049-001-001,55,YES,700,480000,1,2,1,2,SOKO,NDANI YA KIJIJI/MJI,SOKO,KARIBU NA KIJIJI,NO,,,,,YES,ROTTING,2,160000,250,0,0,0,0
03-68-77-59,0049-001-001,56,YES,350,189500,1,2,1,2,SOKO,KARIBU NA KIJIJI,SOKO,KARIBU NA KIJIJI,NO,,,,,YES,ROTTING,2,65000,120,0,0,0,0
88-71-20-70,0050-001-001,55,YES,1000,850000,1,2,1,2,SOKO,NDANI YA KIJIJI/MJI,SOKO,NDANI YA KIJIJI/MJI,NO,,,,,YES,ROTTING,2,45000,400,0,0,0,0
88-71-20-70,0050-001-001,56,YES,1700,680000,1,2,1,2,SOKO,NDANI YA KIJIJI/MJI,SOKO,NDANI YA KIJIJI/MJI,NO,,,,,YES,ROTTING,2,35000,200,0,0,0,0
62-93-39-20,0051-001-001,55,YES,150,175000,1,,1,,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,60,0,0,0,0
62-93-39-20,0051-001-001,56,YES,1680,350000,1,,1,,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,30,0,0,60,30
00-72-79-53,0055-001-001,55,YES,80,80000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,64,0,16,0,0
00-72-79-53,0055-001-001,56,YES,60,20000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,YES,ROTTING,2,10000,20,0,0,20,0
73-41-85-14,0056-001-001,55,YES,400,350000,1,,1,,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,350,0,0,50,0
73-41-85-14,0056-001-001,56,YES,100,20000,1,,1,,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,40,0,0,10,0
16-64-27-88,0057-001-001,55,YES,105,56000,2,,2,,SOKO,NDANI YA KIJIJI/MJI,SOKO,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,120,0,0,0,0
16-64-27-88,0057-001-001,56,YES,300,48000,2,,2,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,30,0,0,0,0
34-42-58-96,0058-001-001,55,YES,1240,504000,1,,1,2,SOKO,NDANI YA KIJIJI/MJI,SOKO,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,440,0,0,0,0
34-42-58-96,0058-001-001,56,YES,80,15000,1,,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,40,0,0,10,0
77-68-44-59,0059-001-001,57,YES,1800,127500,1,2,1,2,M/BIASHARA BINAFSI,KARIBU NA MJI,M/BIASHARA BINAFSI,KARIBU NA MJI,NO,,,,,NO,,,,120,0,0,0,0
44-35-85-32,0060-001-001,56,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,0,0
44-35-85-32,0060-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
44-35-85-32,0060-001-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
47-27-42-34,0067-001-001,57,YES,490,70000,1,4,1,4,M/BIASHARA BINAFSI,KARIBU NA MJI,M/BIASHARA BINAFSI,KARIBU NA MJI,NO,,,,,NO,,,,30,0,0,20,0
13-42-14-49,0067-004-001,55,YES,120,80000,2,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,180,0,0,60,0
13-42-14-49,0067-004-001,59,NO,,,,,,,,,,,NO,,,,,NO,,,,40,0,5,0,0
13-42-14-49,0067-004-001,85,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,10,0
91-76-63-44,0071-001-001,53,YES,300,60000,2,,1,2,GULIO,KARIBU NA KIJIJI,GULIO,KARIBU NA KIJIJI,NO,,,,,NO,,,,35,0,0,25,0
91-76-63-44,0071-001-001,55,YES,30,3000,2,,1,2,JIRANI,NDANI YA KIJIJI/MJI,JIRANI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,60,0,0,0,0
91-76-63-44,0071-001-001,57,NO,,,,,,,,,,,NO,,,,,YES,ROTTING,3,20000,80,0,0,100,0
91-76-63-44,0071-001-001,64,NO,,,,,,,,,,,NO,,,,,NO,,,,40,0,0,10,0
28-76-80-54,0072-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,48,0,0,12,0
28-76-80-54,0072-001-001,63,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,10,0
82-54-53-99,0072-003-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,280,0,0,100,0
82-54-53-99,0072-003-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,95,0,0,65,0
86-08-97-34,0073-001-001,53,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,8,0
86-08-97-34,0073-001-001,55,YES,200,70000,6,,1,6,GULIO,KARIBU NA KIJIJI,GULIO,KARIBU NA KIJIJI,NO,,,,,NO,,,,60,0,0,20,0
86-08-97-34,0073-001-001,56,YES,40,15000,1,,1,6,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,20,0,0,0,0
64-01-68-39,0074-001-001,55,YES,120,60000,1,,1,,GULIO,KARIBU NA KIJIJI,GULIO,KARIBU NA KIJIJI,NO,,,,,NO,,,,60,0,0,0,0
