interview__key,sdd_hhid,cropid,ag7b_02,ag7b_03,ag7b_04,ag7b_05_1,ag7b_05_2,ag7b_06_1,ag7b_06_2,ag7b_07_1a,ag7b_07_1b,ag7b_07_2a,ag7b_07_2b,ag7b_08,ag7b_09,ag7b_10,ag7b_11,ag7b_12,ag7b_13,ag7b_14,ag7b_15,ag7b_16,ag7b_17,ag7b_18,ag7b_19,ag7b_20,ag7b_21
52-32-57-20,0012-001-001,95,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,40,0
38-25-71-90,0029-001-001,103,NO,,,,,,,,,,,NO,,,,,NO,,,,500,0,0,0,0
88-71-20-70,0050-001-001,38,YES,5,10000,1,2,1,2,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
62-93-39-20,0051-001-001,38,YES,40,100000,1,,1,,USHIRIKA,KARIBU NA KIJIJI,USHIRIKA,KARIBU NA KIJIJI,NO,,,,,NO,,,,0,0,0,0,0
47-27-42-34,0067-001-001,30,YES,140,75000,1,4,1,4,SOKO,KARIBU NA MJI,SOKO,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,12,0,0,8,0
13-42-14-49,0067-004-001,38,NO,,,,,,,,,,,NO,,,,,NO,,,,6,0,0,0,0
13-42-14-49,0067-004-001,44,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,10,0
81-85-31-88,0069-002-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,60,0,0,25,0
91-76-63-44,0071-001-001,10,YES,300,45000,2,,1,2,GULIO,KARIBU NA KIJIJI,GULIO,KARIBU NA KIJIJI,NO,,,,,NO,,,,80,0,0,20,0
91-76-63-44,0071-001-001,44,NO,,,,,,,,,,,NO,,,,,NO,,,,60,0,0,80,0
28-76-80-54,0072-001-001,10,NO,,,,,,,,,,,YES,120,SACKS/OPEN DRUM,NO,,NO,,,,120,0,0,0,0
82-54-53-99,0072-003-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,180,0,0,70,0
86-08-97-34,0073-001-001,10,NO,,,,,,,,,,,YES,50,LOCALLY MADE TRADITIONAL STRUCTURE,NO,,NO,,,,70,0,0,40,0
86-08-97-34,0073-001-001,44,YES,540,75000,1,6,1,6,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,20,0,0,10,0
64-01-68-39,0074-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,240,0,0,0,0
64-01-68-39,0074-001-001,45,YES,3,30000,1,,1,,GULIO,KARIBU NA KIJIJI,GULIO,KARIBU NA KIJIJI,NO,,,,,NO,,,,0,0,0,0,0
