interview__key,interview__id,id_01,id_02,id_03,id_04,id_05,cm_a05,cm_start,cm_gps__Latitude,cm_gps__Longitude,cm_gps__Accuracy,cm_gps__Altitude,cm_gps__Timestamp,cm_a17,cm_a18,cm_a19,cm_a20,cm_a21,cm_a22,cm_a23,cm_a24,cm_a25
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,RUVUMA,SONGEA RURAL,141,5,2,**CONFIDENTIAL**,2019-06-03T10:08:37,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,729,2019-06-03T07:13:05,"YES, SEEN & USED",NO,,"YES, SEEN & USED",NO,"YES, SEEN & USED","YES, SEEN & USED","YES, SEEN & USED",NO
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,SIMIYU,ITILIMA,151,55,2,**CONFIDENTIAL**,2019-03-19T04:35:26,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1273,2019-03-19T08:36:52,NO,NO,NO,NO,NO,NO,REPORTED BUT NOT SEEN,REPORTED BUT NOT SEEN,NO
02-89-18-75,e89465ad4ad14052b67a34227003ed04,SIMIYU,MASWA,71,0,2,**CONFIDENTIAL**,2019-03-16T04:27:40,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1266,2019-03-16T08:29:10,"YES, SEEN & USED",NO,NO,NO,NO,"YES, SEEN & USED",REPORTED BUT NOT SEEN,NO,NO
04-03-80-29,f7747305b77144cfa7b041a36bb5c6f3,DAR ES SALAAM,KINONDONI,202,2,2001,**CONFIDENTIAL**,2019-05-13T14:04:36,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,-3,2019-05-13T12:03:10,"YES, SEEN & USED","YES, SEEN & USED","YES, SEEN & USED","YES, SEEN & USED",NO,NO,REPORTED BUT NOT SEEN,"YES, SEEN & USED",NO
05-55-91-44,df4ee16f1172451f91d6fffcbf4d0f5b,MWANZA,MISUNGWI,171,1,2,**CONFIDENTIAL**,2019-05-10T11:12:24,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1168,2019-05-10T08:13:22,"YES, SEEN & USED","YES, SEEN & USED","YES, SEEN & USED","YES, SEEN & USED",NO,"YES, SEEN & USED","YES, SEEN & USED","YES, SEEN & USED","YES, SEEN & USED"
05-87-69-99,f621454e5014449c9bc657e0309c92fb,MTWARA,NEWALA,1,2,360,**CONFIDENTIAL**,2019-05-24T11:01:59,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,652,2019-05-24T08:05:34,"YES, SEEN & USED",NO,NO,"YES, SEEN & USED",NO,"YES, SEEN & USED","YES, SEEN & USED","YES, SEEN & USED",NO
06-97-07-65,70cee60cdbc8429aaad67568952024f5,SHINYANGA,KAHAMA RURAL,163,5,2,**CONFIDENTIAL**,2019-04-24T03:18:57,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1182,2019-04-24T07:19:07,"YES, SEEN & USED","YES, SEEN & USED","YES, SEEN & USED","YES, SEEN & USED","YES, SEEN & USED","YES, SEEN & USED","YES, SEEN & USED","YES, SEEN & USED",NO
07-10-13-64,1e471a9174f74534b818dee15615dd74,KAGERA,BUKOBA URBAN,82,4,16,**CONFIDENTIAL**,2019-07-26T11:22:31,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1174,2019-07-26T08:22:55,"YES, SEEN & USED","YES, SEEN & USED","YES, SEEN & USED","YES, SEEN & USED",NO,"YES, SEEN & USED",REPORTED BUT NOT SEEN,REPORTED BUT NOT SEEN,"YES, SEEN & USED"
07-11-34-82,31fb3bca6d3b43698db1957b398d77a0,TANGA,TANGA URBAN,1,1,1,**CONFIDENTIAL**,2019-04-27T04:16:23,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,66,2019-04-27T08:23:22,"YES, SEEN & USED","YES, SEEN & USED",NO,"YES, SEEN & USED",NO,NO,REPORTED BUT NOT SEEN,NO,NO
08-82-56-89,83d7b59d13cb4bb5b32accff1f9ea5d4,MJINI MAGHARIBI UNGUJA,MJINI,6,1,,**CONFIDENTIAL**,2019-04-18T03:59:39,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,55.20000076293945,2019-04-22T10:00:26,NO,NO,NO,REPORTED BUT NOT SEEN,"YES, SEEN & USED",NO,NO,NO,NO
