interview__key,interview__id,service_id,cm_b01,cm_b02,cm_b03,cm_b04
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,DISTANCE TO REGIONAL HEADQUARTERS,,5000,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,DISTANCE TO DISTRICT HEADQUARTERS,,5000,27,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,PRE-PRIMARY SCHOOL OR NURSERY SCHOOL - THE NEAREST,"YES, WITHIN VILLAGE/MTAA",,1,**CONFIDENTIAL**
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,GOVERNMENT PRIMARY SCHOOL - THE NEAREST,"YES, WITHIN VILLAGE/MTAA",,1,**CONFIDENTIAL**
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,PRIVATE PRIMARY SCHOOL - THE NEAREST,"NO, NOT WITHIN VILLAGE/MTAA",5000,27,**CONFIDENTIAL**
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,GOVERNMENT SECONDARY SCHOOL - THE NEAREST,"NO, NOT WITHIN VILLAGE/MTAA",10000,12,**CONFIDENTIAL**
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,PRIVATE SECONDARY SCHOOL - THE NEAREST,"NO, NOT WITHIN VILLAGE/MTAA",5000,27,**CONFIDENTIAL**
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,GOVERNMENT HEALTH CENTRE OR DISPENSARY - THE NEAREST,"YES, WITHIN VILLAGE/MTAA",,1,**CONFIDENTIAL**
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,GOVERNMENT HOSPITAL - THE NEAREST,"NO, NOT WITHIN VILLAGE/MTAA",5000,27,**CONFIDENTIAL**
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,PRIVATE HEALTH CENTRE OR CLINIC - THE NEAREST,"NO, NOT WITHIN VILLAGE/MTAA",4000,20,**CONFIDENTIAL**
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,PRIVATE HOSPITAL - THE NEAREST,"NO, NOT WITHIN VILLAGE/MTAA",6000,35,**CONFIDENTIAL**
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,MARKET (DAILY),"NO, NOT WITHIN VILLAGE/MTAA",5000,27,**CONFIDENTIAL**
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,MARKET (WEEKLY),"NO, NOT WITHIN VILLAGE/MTAA",2000,4,**CONFIDENTIAL**
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,MILLING MACHINE - THE NEAREST,"YES, WITHIN VILLAGE/MTAA",,1,**CONFIDENTIAL**
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,BANK - THE NEAREST,"NO, NOT WITHIN VILLAGE/MTAA",5000,27,**CONFIDENTIAL**
