interview__key,interview__id,project_id,cm_c01,cm_c02,cm_c03,cm_c04,cm_c04_os,cm_c05_1,cm_c05_2,cm_c05_3,cm_c05_4,cm_c05_5,cm_c05_6,cm_c05_7,cm_c05_8,cm_c05_os
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,"ROAD CONSTRUCTION, MAINTENANCE & REHABILITATION",YES,35000000,0,OTHER (SPECIFY),HAWAKUSHIRIKISHWA KWA KUCHANGIA,NO,NO,NO,NO,YES,NO,NO,NO,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,"MARKETS: CONSTRUCTION, MAINTENANCE & REHABILITATION",NO,,,,,,,,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,"WATER SUPPLY: DIGGING WELL, INSTALLING PUMP, ETC",NO,,,,,,,,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,SCHOOL CONSTRUCTION: PRE-PRIMARY,NO,,,,,,,,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,SCHOOL MAINTENANCE: PRE-PRIMARY,NO,,,,,,,,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,SCHOOL CONSTRUCTION: PRIMARY,YES,86600000,17320000,VOLUNTARY,,NO,NO,NO,NO,YES,NO,NO,NO,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,SCHOOL MAINTENANCE: PRIMARY,NO,,,,,,,,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,SCHOOL CONSTRUCTION: SECONDARY,NO,,,,,,,,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,SCHOOL MAINTENANCE: SECONDARY,NO,,,,,,,,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,HEALTH CENTRE OR DISPENSARY: CONSTRUCTION,NO,,,,,,,,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,HEALTH CENTRE OR DISPENSARY: MAINTENANCE,NO,,,,,,,,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,IRRIGATION SCHEMES,NO,,,,,,,,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,"LIVESTOCK INFRASTRUCTURE (VET CENTRE, DIP TANKS, ETC)",NO,,,,,,,,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,GRAIN STORAGE FACILITIES: COMMUNITY LEVEL,NO,,,,,,,,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,"ROAD CONSTRUCTION, MAINTENANCE & REHABILITATION",NO,,,,,,,,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,"MARKETS: CONSTRUCTION, MAINTENANCE & REHABILITATION",NO,,,,,,,,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,"WATER SUPPLY: DIGGING WELL, INSTALLING PUMP, ETC",NO,,,,,,,,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,SCHOOL CONSTRUCTION: PRE-PRIMARY,NO,,,,,,,,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,SCHOOL MAINTENANCE: PRE-PRIMARY,NO,,,,,,,,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,SCHOOL CONSTRUCTION: PRIMARY,YES,12000000,3000000,VOLUNTARY,,NO,NO,NO,NO,YES,NO,NO,NO,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,SCHOOL MAINTENANCE: PRIMARY,NO,,,,,,,,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,SCHOOL CONSTRUCTION: SECONDARY,NO,,,,,,,,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,SCHOOL MAINTENANCE: SECONDARY,NO,,,,,,,,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,HEALTH CENTRE OR DISPENSARY: CONSTRUCTION,NO,,,,,,,,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,HEALTH CENTRE OR DISPENSARY: MAINTENANCE,NO,,,,,,,,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,IRRIGATION SCHEMES,NO,,,,,,,,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,"LIVESTOCK INFRASTRUCTURE (VET CENTRE, DIP TANKS, ETC)",NO,,,,,,,,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,GRAIN STORAGE FACILITIES: COMMUNITY LEVEL,NO,,,,,,,,,,,,,
02-89-18-75,e89465ad4ad14052b67a34227003ed04,"ROAD CONSTRUCTION, MAINTENANCE & REHABILITATION",NO,,,,,,,,,,,,,
02-89-18-75,e89465ad4ad14052b67a34227003ed04,"MARKETS: CONSTRUCTION, MAINTENANCE & REHABILITATION",NO,,,,,,,,,,,,,
02-89-18-75,e89465ad4ad14052b67a34227003ed04,"WATER SUPPLY: DIGGING WELL, INSTALLING PUMP, ETC",NO,,,,,,,,,,,,,
02-89-18-75,e89465ad4ad14052b67a34227003ed04,SCHOOL CONSTRUCTION: PRE-PRIMARY,NO,,,,,,,,,,,,,
02-89-18-75,e89465ad4ad14052b67a34227003ed04,SCHOOL MAINTENANCE: PRE-PRIMARY,NO,,,,,,,,,,,,,
02-89-18-75,e89465ad4ad14052b67a34227003ed04,SCHOOL CONSTRUCTION: PRIMARY,NO,,,,,,,,,,,,,
