interview__key,interview__id,cm_d01a1,cm_d01a2,cm_d01b1,cm_d01b2,cm_d01c1,cm_d01c2,cm_d01d1,cm_d01d2,cm_d01e1,cm_d01e2,cm_d01f1,cm_d01f2,cm_d01g1,cm_d01g2,cm_d01h1,cm_d01h2,cm_d02,cm_d03m,cm_d03y
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,5648,92,0,0,120,2,0,0,0,0,353,6,0,0,0,0,NO,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,2880,88,0,0,0,0,0,0,0,0,360,11,0,0,15,1,YES,SEPTEMBER,2016
02-89-18-75,e89465ad4ad14052b67a34227003ed04,5339,94,0,0,0,0,0,0,0,0,101,2,0,0,205,4,NO,,
04-03-80-29,f7747305b77144cfa7b041a36bb5c6f3,0,0,0,0,0,0,0,0,0,0,350,100,0,0,0,0,NO,,
05-55-91-44,df4ee16f1172451f91d6fffcbf4d0f5b,,,,,,,,,,,,,,,,,YES,JANUARY,2000
05-87-69-99,f621454e5014449c9bc657e0309c92fb,0,0,0,0,0,0,0,0,0,0,416,80,0,0,84,16,NO,,
06-97-07-65,70cee60cdbc8429aaad67568952024f5,,,,,,,,,,,,,,,,,YES,JANUARY,2004
07-10-13-64,1e471a9174f74534b818dee15615dd74,,,,,,,,,,,,,,,,,YES,JANUARY,1980
07-11-34-82,31fb3bca6d3b43698db1957b398d77a0,50,6,0,0,0,0,0,0,0,0,200,85,0,0,75,9,NO,,
08-82-56-89,83d7b59d13cb4bb5b32accff1f9ea5d4,0,0,0,0,0,0,0,0,0,0,,,,,0,0,NO,,
09-53-95-80,7a966f4342544e5d8a4f509d93144d44,999,99,0,0,0,0,0,0,0,0,999,99,0,0,999,99,NO,,
09-89-32-62,7531dbe7719840a8958bd356c2ac5d39,0,0,0,0,0,0,0,0,0,0,127,81,0,0,0,0,NO,,
11-92-08-10,a5208d1d003448f9975ff600aa217c79,8640,59,0,0,3225,22,0,0,0,0,2855,19,0,0,0,0,YES,NOVEMBER,1986
12-62-55-70,6ecc3993ce624f11a56efeb6e8a6e46c,0,0,0,0,0,0,0,0,0,0,320,80,10,10,10,10,NO,,
13-02-30-20,a063448c8636444eae6aad2f848522dc,6000,14,300,1,18000,43,16000,38,300,1,500,1,100,1,200,1,NO,,
13-68-66-17,511c83e5e15046ed98e9060a37d41519,2400.3,,,,,,,,800,,,,,,,,YES,SEPTEMBER,2013
15-62-26-36,056d1807f1c14922844f31c04567b58c,,,,,,,,,,,,,,,,,,,
17-44-31-38,30299a0347684d85a081732dac2645c2,900,30,0,0,900,30,300,10,0,0,300,10,150,5,150,5,YES,JANUARY,1975
18-41-66-68,abba7aacf6bd430abdb799d7392b3263,2000,62,0,0,0,0,0,0,0,0,1240,38,0,0,0,0,NO,,
18-80-62-81,fc58f222acd34fdaaa10a4482f857b87,764,61,0,0,0,0,0,0,0,0,380,31,0,0,0,0,NO,,
20-30-71-22,e96e440ee21b4efb9693badf1a06045d,0,0,0,0,0,0,0,0,0,0,85,,100,0,0,0,NO,,
20-44-07-11,4de26cc5c5b94b939e9807733b799043,2000,9,0,0,8000,35,10000,43,2000,9,800,3,100,1,200,1,YES,MARCH,1986
20-54-88-99,191bac5effcc4e8eb4820a219f788298,60,70,0,0,0,0,0,0,0,0,35,30,0,0,0,0,YES,HAJUI,1979
22-13-17-39,ad3714adc3f848deb63b0052ab4cf851,0,0,0,0,500,50,0,0,10,1,280,30,120,20,0,0,YES,HAJUI,2009
22-36-82-20,690c7a7455b145ab8afffb004c17d093,,,,,,,,,,,,,,,,,,,
23-08-64-00,5231257adaae4f9e9402790e39f370da,2080,87,0,0,0,0,0,0,0,0,260,11,0,0,42,2,NO,,
23-50-18-07,67b1bda0005c474e8b1c556ecc9d979b,,,,,,,,,,,,,,,,,NO,,
26-01-35-71,1a89b01a018442de91019f2480210c16,15116.4,40,0,0,0,0,0,0,0,0,27634,60,0,0,0,0,YES,HAJUI,1972
27-76-57-67,6084a9b04f664329b70ef497dd86dce1,446,49,0,0,120,13,0,0,0,0,300,33,10,1,15,2,NO,,
28-24-52-85,990034e809fa48b0b4571f405a4432fc,1500,60,250,10,500,20,0,0,0,0,250,10,0,0,10,,NO,,
29-45-30-48,3097b1c11c524406985376a740850ef9,0,0,0,0,0,0,0,0,0,0,,,,,,,NO,,
30-09-51-13,f9be912d046349aea4ee3c4be9b4011f,420,75,0,0,70,15,0,0,0,1,273,9,0.5,0,0,0,YES,HAJUI,1974
30-33-90-95,e4840e64b0ba4c2f8a7aa0465b8f5a83,,,,,,,,,,,,,,,,,NO,,
30-62-06-20,200d18e6c0c549a18bf81f92f342d9af,35,12,0,0,0,0,0,0,0,0,250,88,0,0,0,0,NO,,
31-65-46-62,a2ad9a49773544a089ae7b0de1afb02e,3084,87,0,0,0,0,0,0,0,0,448,13,0,0,0,0,NO,,
31-85-38-91,cfb6c3921a0c490b850885db16c57eaa,1000,23,0,0,10,0,0,0,0,0,3300,89,0,0,20,0,NO,,
33-55-09-45,89de976d6cc34dbe94967d6e3e695790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,,
