interview__key,interview__id,village_gps__Latitude,village_gps__Longitude,village_gps__Accuracy,village_gps__Altitude,village_gps__Timestamp,village_source,village_source_os,district_cap,cm_f01,cm_f02,cm_f03,cm_f04,cm_f05,district_gps__Latitude,district_gps__Longitude,district_gps__Accuracy,district_gps__Altitude,district_gps__Timestamp,district_source,district_source_os
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,766,2019-06-03T11:00:07,SHOPS / STALLS,,NO,,,,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1083,2019-06-04T06:40:40,MARKETPLACE,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1264,2019-03-19T10:24:03,SHOPS / STALLS,,NO,,,,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1358,2019-03-19T11:25:44,MARKETPLACE,
02-89-18-75,e89465ad4ad14052b67a34227003ed04,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1283,2019-03-16T09:55:31,SHOPS / STALLS,,YES,SIMIYU,MASWA,161,13,111,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,
04-03-80-29,f7747305b77144cfa7b041a36bb5c6f3,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,2,2019-05-13T12:08:58,MARKETPLACE,,YES,DAR ES SALAAM,KINONDONI,24,1,1,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,
05-55-91-44,df4ee16f1172451f91d6fffcbf4d0f5b,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1171,2019-05-10T08:55:15,SHOPS / STALLS,,NO,,,,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1157,2019-05-09T13:51:02,MARKETPLACE,
05-87-69-99,f621454e5014449c9bc657e0309c92fb,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,705,2019-05-24T10:45:09,SHOPS / STALLS,,NO,,,,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,682,2019-05-25T06:29:35,MARKETPLACE,
06-97-07-65,70cee60cdbc8429aaad67568952024f5,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1130,2019-04-24T08:20:39,SHOPS / STALLS,,YES,SHINYANGA,KAHAMA RURAL,21,4,2,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,
07-10-13-64,1e471a9174f74534b818dee15615dd74,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,1151,2019-07-28T06:02:07,SHOPS / STALLS,,YES,KAGERA,BUKOBA URBAN,331,2,1,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,
07-11-34-82,31fb3bca6d3b43698db1957b398d77a0,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,99,2019-04-27T09:21:12,SHOPS / STALLS,,NO,,,,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,-25,2019-04-28T09:06:08,MARKETPLACE,
08-82-56-89,83d7b59d13cb4bb5b32accff1f9ea5d4,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,-26.299999237060547,2019-04-22T09:58:39,SHOPS / STALLS,,NO,,,,,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,-28.100000381469727,2019-04-23T12:04:29,MARKETPLACE,
