interview__key,interview__id,item_id,cm_f061,cm_f062,cm_f063,cm_f064,cm_f065,cm_f066
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,RICE (PADDY),,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,RICE (HUSKED),KILOGRAMS,1,2000,KILOGRAMS,1,1800
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,"MAIZE (GREEN, COB)",,,,GRAMS,158,700
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,MAIZE (GRAIN),KILOGRAMS,1,250,KILOGRAMS,1,1000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,MAIZE (FLOUR),,,,KILOGRAMS,1,1200
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,MILLET (GRAIN),,,,KILOGRAMS,1,2000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,SORGHUM (GRAIN),,,,KILOGRAMS,1,2000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,MILLET (FLOUR),,,,KILOGRAMS,1,3000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,SORGHUM (FLOUR),,,,KILOGRAMS,1,2000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,BREAD,GRAMS,1000,1800,GRAMS,800,1200
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,BUNS,GRAMS,36,200,GRAMS,163,200
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,CASSAVA FRESH,,,,GRAMS,1640,1000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,CASSAVA (DRY),,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,CASSAVA FLOUR,,,,KILOGRAMS,1,1500
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,SWEET POTATOES,,,,GRAMS,2122,1000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,COCOYAMS,,,,GRAMS,1668,1500
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,YAMS,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,IRISH POTATOES,,,,KILOGRAMS,1,1000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,COOKING BANANAS,,,,GRAMS,2618,2000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,SUGAR,KILOGRAMS,1,2800,KILOGRAMS,1,2600
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,MAHARAGE,KILOGRAMS,1,1500,KILOGRAMS,1,2000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,KUNDE,,,,KILOGRAMS,1,2000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,KARANGA,,,,KILOGRAMS,1,2500
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,MAZI,,,,GRAMS,427,700
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,KAROTI,,,,GRAMS,631,1000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,TOMATOES,GRAMS,24,200,KILOGRAMS,1,2000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,ONIONS,GRAMS,275,500,KILOGRAMS,1,2000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,SPINACH,,,,GRAMS,42,200
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,CABBAGE,,,,GRAMS,1406,1000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,RIPE BANANAS,GRAMS,114,1000,GRAMS,149,500
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,CITRUS FRUITS,,,,GRAMS,33,200
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,PAPAYA,,,,GRAMS,1380,1000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,MANGOES,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,GOAT MEAT,PIECES,1,55000,PIECES,1,75000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,BEEF,KILOGRAMS,1,7000,KILOGRAMS,1,6000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,CHICKEN (LIVE),PIECES,1,15000,PIECES,1,15000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,EGGS,PIECES,1,400,PIECES,1,400
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,FRESH FISH,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,DAGAA,GRAMS,250,1500,GRAMS,250,1500
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,FRESH MILK,LITRES,1,1000,LITRES,1,1500
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,CANNED MILK/POWDER,,,,GRAMS,400,14000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,COOKING OIL,MILLILITRES,250,700,LITRES,1,3500
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,SALT,GRAMS,500,500,GRAMS,500,500
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,TEA (DRY),GRAMS,50,600,GRAMS,50,500
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,LOCAL BREWS,LITRES,1,500,LITRES,1,500
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,KEROSINE,LITRES,1,3000,LITRES,1,2500
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,CHARCOAL,GRAMS,1672,1000,GRAMS,1230,700
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,MAIZE GRINDING COSTS,KILOGRAMS,20,1000,KILOGRAMS,20,1500
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,FIREWOOD,,,,GRAMS,7426,2000
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,MATCHES,PIECES,1,100,PIECES,1,100
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,CIGARETTES,PIECES,1,100,PIECES,1,100
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,BATTERIES,PIECES,1,500,PIECES,1,500
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,RICE (PADDY),,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,RICE (HUSKED),KILOGRAMS,1,2000,KILOGRAMS,1,2000
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,"MAIZE (GREEN, COB)",,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,MAIZE (GRAIN),,,,KILOGRAMS,20,11000
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,MAIZE (FLOUR),,,,KILOGRAMS,1,1300
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,MILLET (GRAIN),,,,KILOGRAMS,1,2000
