interview__key,interview__id,item_id,obs_id,vil_item_avail,vil_unit_start,vil_loc_unit,vil_loc_unit_os,vil_loc_weight,vil_loc_price,vil_loc_photo,dist_item_avail,dist_unit_start,dist_loc_unit,dist_loc_unit_os,dist_loc_weight,dist_loc_price,dist_loc_photo
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,1,OBSERVATION 1,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,1,OBSERVATION 2,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,1,OBSERVATION 3,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,2,OBSERVATION 1,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,2,OBSERVATION 2,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,2,OBSERVATION 3,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,3,OBSERVATION 1,NO,,,,,,,YES,YES,Heap (Fungu),,718,1000,** PHOTO **
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,3,OBSERVATION 2,NO,,,,,,,YES,YES,Heap (Fungu),,386,500,** PHOTO **
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,3,OBSERVATION 3,NO,,,,,,,YES,NO,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,4,OBSERVATION 1,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,4,OBSERVATION 2,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,4,OBSERVATION 3,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,5,OBSERVATION 1,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,5,OBSERVATION 2,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,5,OBSERVATION 3,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,6,OBSERVATION 1,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,6,OBSERVATION 2,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,6,OBSERVATION 3,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,7,OBSERVATION 1,NO,,,,,,,YES,YES,Heap (Fungu),,0.93,100,** PHOTO **
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,7,OBSERVATION 2,NO,,,,,,,YES,NO,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,7,OBSERVATION 3,NO,,,,,,,YES,NO,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,8,OBSERVATION 1,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,8,OBSERVATION 2,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,8,OBSERVATION 3,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,9,OBSERVATION 1,NO,,,,,,,YES,YES,Piece (Idadi),,0.39,500,** PHOTO **
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,9,OBSERVATION 2,NO,,,,,,,YES,NO,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,9,OBSERVATION 3,NO,,,,,,,YES,NO,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,10,OBSERVATION 1,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,10,OBSERVATION 2,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,10,OBSERVATION 3,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,11,OBSERVATION 1,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,11,OBSERVATION 2,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,11,OBSERVATION 3,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,12,OBSERVATION 1,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,12,OBSERVATION 2,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,12,OBSERVATION 3,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,13,OBSERVATION 1,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,13,OBSERVATION 2,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,13,OBSERVATION 3,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,14,OBSERVATION 1,NO,,,,,,,YES,YES,Heap (Fungu),,1,1000,** PHOTO **
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,14,OBSERVATION 2,NO,,,,,,,YES,NO,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,14,OBSERVATION 3,NO,,,,,,,YES,NO,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,15,OBSERVATION 1,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,15,OBSERVATION 2,NO,,,,,,,NO,,,,,,
00-38-24-76,0ce0fcb13c7345d8945eb2f302740929,15,OBSERVATION 3,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,1,OBSERVATION 1,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,1,OBSERVATION 2,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,1,OBSERVATION 3,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,2,OBSERVATION 1,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,2,OBSERVATION 2,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,2,OBSERVATION 3,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,3,OBSERVATION 1,NO,,,,,,,YES,YES,Heap (Fungu),,0.7,500,** PHOTO **
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,3,OBSERVATION 2,NO,,,,,,,YES,NO,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,3,OBSERVATION 3,NO,,,,,,,YES,NO,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,4,OBSERVATION 1,NO,,,,,,,YES,YES,Piece (Idadi),,1,200,** PHOTO **
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,4,OBSERVATION 2,NO,,,,,,,YES,NO,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,4,OBSERVATION 3,NO,,,,,,,YES,NO,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,5,OBSERVATION 1,NO,,,,,,,YES,YES,Piece (Idadi),,1,100,** PHOTO **
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,5,OBSERVATION 2,NO,,,,,,,YES,YES,Heap (Fungu),,1,500,** PHOTO **
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,5,OBSERVATION 3,NO,,,,,,,YES,NO,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,6,OBSERVATION 1,NO,,,,,,,YES,YES,Cup (Kikombe),,1,500,** PHOTO **
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,6,OBSERVATION 2,NO,,,,,,,YES,NO,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,6,OBSERVATION 3,NO,,,,,,,YES,NO,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,7,OBSERVATION 1,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,7,OBSERVATION 2,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,7,OBSERVATION 3,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,8,OBSERVATION 1,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,8,OBSERVATION 2,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,8,OBSERVATION 3,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,9,OBSERVATION 1,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,9,OBSERVATION 2,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,9,OBSERVATION 3,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,10,OBSERVATION 1,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,10,OBSERVATION 2,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,10,OBSERVATION 3,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,11,OBSERVATION 1,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,11,OBSERVATION 2,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,11,OBSERVATION 3,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,12,OBSERVATION 1,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,12,OBSERVATION 2,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,12,OBSERVATION 3,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,13,OBSERVATION 1,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,13,OBSERVATION 2,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,13,OBSERVATION 3,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,14,OBSERVATION 1,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,14,OBSERVATION 2,NO,,,,,,,NO,,,,,,
02-02-79-43,37d2707d4ec14e69947bfb16aa2b2ff6,14,OBSERVATION 3,NO,,,,,,,NO,,,,,,
