interview__key,sdd_hhid,sdd_indid,hh_f01,hh_f02,hh_f03,hh_f04,hh_f05,hh_f06,hh_f07,hh_f08,hh_f09,hh_f10,hh_f11,hh_f12,hh_f13,hh_f14,hh_f15
69-04-74-63,0001-001-001,1,NO,,,,,,,,,,,,,,
69-04-74-63,0001-001-001,2,NO,,,,,,,,,,,,,,
89-47-56-17,0001-001-003,1,YES,NO,,NO,,YES,2000,NO,,NO,,NO,,NO,
04-61-05-31,0001-001-004,1,YES,YES,24000,NO,,NO,,NO,,YES,6000,NO,,NO,
46-71-56-27,0001-004-001,1,NO,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,4,NO,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,5,NO,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,2,NO,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,1,YES,YES,3000,NO,,NO,,NO,,NO,,NO,,NO,
50-85-79-66,0003-001-001,2,NO,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,4,NO,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,6,NO,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,8,NO,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,9,YES,YES,6000,NO,,NO,,NO,,YES,2000,NO,,NO,
98-30-81-51,0004-001-001,1,YES,YES,35000,NO,,NO,,NO,,YES,1500,NO,,NO,
98-30-81-51,0004-001-001,2,NO,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,3,YES,NO,,NO,,NO,,NO,,NO,,YES,2500,NO,
98-30-81-51,0004-001-001,4,YES,YES,15000,NO,,NO,,NO,,YES,2000,NO,,NO,
98-30-81-51,0004-001-001,5,YES,YES,5000,NO,,NO,,NO,,YES,1500,NO,,NO,
71-75-12-39,0005-001-001,1,NO,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,2,YES,YES,1000,NO,,NO,,NO,,YES,1500,NO,,YES,1000
71-75-12-39,0005-001-001,3,NO,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,4,NO,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,5,NO,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,7,NO,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,1,YES,YES,6600,NO,,NO,,NO,,NO,,NO,,NO,
98-53-45-06,0007-001-001,2,NO,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,3,YES,YES,20000,NO,,NO,,NO,,NO,,NO,,NO,
98-53-45-06,0007-001-001,4,NO,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,5,NO,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,6,NO,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,7,NO,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,1,NO,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,2,NO,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,3,NO,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,4,NO,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,5,NO,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,1,NO,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,2,NO,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,1,NO,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,2,NO,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,1,NO,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,2,NO,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,3,NO,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,4,YES,NO,,NO,,NO,,NO,,YES,500,NO,,YES,600
52-32-57-20,0012-001-001,8,NO,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,9,NO,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,11,NO,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,12,NO,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,13,NO,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,14,NO,,,,,,,,,,,,,,
15-20-64-14,0012-001-010,1,NO,,,,,,,,,,,,,,
31-30-77-11,0012-003-001,1,NO,,,,,,,,,,,,,,
31-30-77-11,0012-003-001,2,NO,,,,,,,,,,,,,,
31-30-77-11,0012-003-001,3,NO,,,,,,,,,,,,,,
31-30-77-11,0012-003-001,4,NO,,,,,,,,,,,,,,
18-76-19-96,0013-001-001,1,YES,YES,4000,NO,,YES,2000,NO,,NO,,NO,,NO,
58-42-71-45,0015-001-001,1,NO,,,,,,,,,,,,,,
58-42-71-45,0015-001-001,2,NO,,,,,,,,,,,,,,
58-42-71-45,0015-001-001,3,NO,,,,,,,,,,,,,,
58-42-71-45,0015-001-001,4,NO,,,,,,,,,,,,,,
58-42-71-45,0015-001-001,5,NO,,,,,,,,,,,,,,
58-42-71-45,0015-001-001,6,NO,,,,,,,,,,,,,,
58-42-71-45,0015-001-001,7,NO,,,,,,,,,,,,,,
58-42-71-45,0015-001-001,8,NO,,,,,,,,,,,,,,
58-42-71-45,0015-001-001,9,NO,,,,,,,,,,,,,,
89-06-03-18,0016-001-001,1,NO,,,,,,,,,,,,,,
73-26-58-64,0016-001-002,1,NO,,,,,,,,,,,,,,
73-26-58-64,0016-001-002,2,,,,,,,,,,,,,,,
73-26-58-64,0016-001-002,3,,,,,,,,,,,,,,,
73-26-58-64,0016-001-002,4,YES,YES,15000,NO,,NO,,NO,,NO,,NO,,NO,
73-26-58-64,0016-001-002,5,,,,,,,,,,,,,,,
56-32-76-33,0017-001-001,1,YES,YES,1000,NO,,NO,,NO,,NO,,NO,,NO,
56-32-76-33,0017-001-001,2,NO,,,,,,,,,,,,,,
56-32-76-33,0017-001-001,3,NO,,,,,,,,,,,,,,
56-32-76-33,0017-001-001,4,NO,,,,,,,,,,,,,,
56-32-76-33,0017-001-001,5,NO,,,,,,,,,,,,,,
82-18-18-76,0017-002-001,1,NO,,,,,,,,,,,,,,
82-18-18-76,0017-002-001,3,YES,YES,6000,NO,,NO,,NO,,NO,,NO,,NO,
82-18-18-76,0017-002-001,4,NO,,,,,,,,,,,,,,
82-18-18-76,0017-002-001,5,NO,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,1,YES,YES,10000,NO,,NO,,NO,,YES,2000,NO,,NO,
39-47-88-39,0018-001-001,2,NO,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,3,NO,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,5,NO,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,6,NO,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,7,NO,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,1,YES,YES,6000,NO,,NO,,NO,,NO,,NO,,YES,1000
40-73-12-41,0020-001-001,2,NO,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,3,NO,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,4,NO,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,5,NO,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,6,NO,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,7,NO,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,2,NO,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,3,YES,YES,21000,NO,,NO,,NO,,NO,,NO,,NO,
91-29-35-18,0021-001-002,4,NO,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,5,NO,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,6,NO,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,7,YES,YES,14000,NO,,NO,,NO,,NO,,NO,,NO,
52-25-14-40,0023-001-001,1,YES,YES,70000,YES,50000,NO,,YES,50000,YES,20000,NO,,NO,
52-25-14-40,0023-001-001,2,YES,YES,95000,NO,,NO,,NO,,YES,7000,NO,,NO,
52-25-14-40,0023-001-001,3,YES,YES,45500,NO,,NO,,NO,,YES,3000,NO,,NO,
52-25-14-40,0023-001-001,5,YES,YES,25000,NO,,NO,,NO,,YES,3000,NO,,NO,
96-43-78-97,0024-001-001,1,YES,YES,12000,NO,,NO,,YES,15000,YES,1000,NO,,NO,
96-43-78-97,0024-001-001,2,YES,YES,4500,YES,3000,NO,,NO,,YES,2500,NO,,YES,5000
96-43-78-97,0024-001-001,3,NO,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,4,YES,NO,,YES,4500,NO,,NO,,NO,,YES,1000,NO,
96-43-78-97,0024-001-001,5,YES,NO,,NO,,NO,,NO,,YES,3000,YES,1000,NO,
