interview__key,sdd_hhid,sdd_indid,plot_id_x,plot_name_x,hh_g1x01_1,hh_g1x01_2,hh_g1x01_3_1,hh_g1x01_3_2,hh_g1x01_3_3,hh_g1x02,hh_g1x03,hh_g1x04_1,hh_g1x04_2,hh_g1x04_3,hh_g1x05,hh_g1x06a,hh_g1x06b,hh_g1x07,hh_g1x08,hh_g1x09,hh_g1x10,hh_g1x11_1,hh_g1x11_2,hh_g1x11_3,hh_g1x12a,hh_g1x13a,hh_g1x13b
96-40-12-40,0138-002-001,1,1,**CONFIDENTIAL**,YES,YES,,,,,,,,,,,,,,,,,,,,,
75-24-28-19,0403-001-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
75-24-28-19,0403-001-001,3,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
75-24-28-19,0403-001-001,4,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
23-48-39-75,0404-001-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
29-39-31-65,0420-001-001,1,1,**CONFIDENTIAL**,YES,NO,2,,,YES,YES,2,,,NO,,,NO,,,,,,,,,
19-76-84-95,0428-001-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
19-76-84-95,0428-001-001,2,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
19-76-84-95,0428-001-001,5,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
86-47-16-30,0447-001-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
86-47-16-30,0447-001-001,3,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
64-78-61-03,0452-001-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
64-78-61-03,0452-001-001,1,2,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
80-39-97-04,0455-001-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
80-39-97-04,0455-001-001,2,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
80-39-97-04,0455-001-001,3,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
68-73-60-31,0491-003-001,2,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
82-44-68-41,0565-003-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
82-44-68-41,0565-003-001,2,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
82-44-68-41,0565-003-001,4,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
34-81-69-35,0565-005-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
34-81-69-35,0565-005-001,2,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
38-87-96-66,0568-001-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
38-87-96-66,0568-001-001,2,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
83-04-78-20,0569-001-001,3,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
94-08-85-82,0583-001-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
94-08-85-82,0583-001-001,2,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
94-08-85-82,0583-001-001,4,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
21-37-46-84,0584-001-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
21-37-46-84,0584-001-001,2,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
59-91-83-15,0592-001-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
59-91-83-15,0592-001-001,4,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
59-91-83-15,0592-001-001,8,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
32-15-87-86,0611-001-001,1,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,,,,
32-15-87-86,0611-001-001,2,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,,,,
82-79-20-90,0743-001-002,1,1,**CONFIDENTIAL**,YES,YES,,,,,,,,,,,,,,,,,,,,,
82-79-20-90,0743-001-002,2,1,**CONFIDENTIAL**,YES,YES,,,,,,,,,,,,,,,,,,,,,
36-12-98-96,0775-001-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
36-12-98-96,0775-001-001,2,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
05-60-96-11,0777-001-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
05-60-96-11,0777-001-001,2,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
77-42-27-12,0785-001-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
77-42-27-12,0785-001-001,2,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
77-42-27-12,0785-001-001,2,2,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
77-42-27-12,0785-001-001,3,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
77-42-27-12,0785-001-001,8,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
04-62-05-39,0785-001-004,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
92-08-19-67,0785-001-006,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
92-08-19-67,0785-001-006,2,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
92-08-19-67,0785-001-006,2,2,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
92-61-39-32,0785-008-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
92-61-39-32,0785-008-001,3,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
25-16-84-50,0787-001-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
25-16-84-50,0787-001-001,1,2,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
25-16-84-50,0787-001-001,2,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
25-16-84-50,0787-001-001,2,2,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
41-94-97-33,0788-001-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
60-74-36-34,0789-001-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
60-74-36-34,0789-001-001,2,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
60-74-36-34,0789-001-001,2,2,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
60-74-36-34,0789-001-001,9,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
42-31-29-16,0839-002-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
42-31-29-16,0839-002-001,1,2,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
34-83-13-34,0840-001-002,2,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
34-83-13-34,0840-001-002,4,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
70-81-71-72,0840-001-003,2,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
50-33-65-85,0841-001-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
50-33-65-85,0841-001-001,2,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
50-33-65-85,0841-001-001,4,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
27-07-45-94,0842-001-001,1,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
27-07-45-94,0842-001-001,1,2,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
27-07-45-94,0842-001-001,2,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
27-07-45-94,0842-001-001,2,2,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
27-07-45-94,0842-001-001,5,1,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
27-07-45-94,0842-001-001,5,2,**CONFIDENTIAL**,NO,,,,,,,,,,,,,,,,,,,,,,
