interview__key,sdd_hhid,sdd_indid,plot_id_x,plot_name_x,hh_g1cx_11,hh_g1cx_12,hh_g1cx_13_1,hh_g1cx_13_2,hh_g1cx_13_3,hh_g1cx_14,hh_g1cx_15,hh_g1cx_16,hh_g1cx_17,hh_g1cx_18,hh_g1cx_19,hh_g1cx_20,hh_g1cx_21,hh_g1cx_22_1,hh_g1cx_22_2,hh_g1cx_22_3,hh_g1cx_23,hh_g1cx_24,hh_g1cx_25,hh_g1cx_26
96-40-12-40,0138-002-001,1,1,**CONFIDENTIAL**,NO,NO,,,,NO,,,NO LAND TRANSACTIONS,,50000,YES,NO,,,,YES,2,3,SLIGHTLY LIKELY
75-24-28-19,0403-001-001,1,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
75-24-28-19,0403-001-001,3,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
75-24-28-19,0403-001-001,4,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
23-48-39-75,0404-001-001,1,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
29-39-31-65,0420-001-001,1,1,**CONFIDENTIAL**,YES,YES,2,,,NO,,,"YES, LAND OWNERS RENT/SELL",INFORMED OF TRANSACTIONS,300000,YES,YES,2,,,NO,,,NOT AT ALL LIKELY
19-76-84-95,0428-001-001,1,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
19-76-84-95,0428-001-001,2,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
19-76-84-95,0428-001-001,5,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
86-47-16-30,0447-001-001,1,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
86-47-16-30,0447-001-001,3,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
64-78-61-03,0452-001-001,1,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
64-78-61-03,0452-001-001,1,2,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
80-39-97-04,0455-001-001,1,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
80-39-97-04,0455-001-001,2,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
80-39-97-04,0455-001-001,3,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
68-73-60-31,0491-003-001,2,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
82-44-68-41,0565-003-001,1,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
82-44-68-41,0565-003-001,2,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
82-44-68-41,0565-003-001,4,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
34-81-69-35,0565-005-001,1,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
34-81-69-35,0565-005-001,2,1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,
