interview__key,sdd_hhid,sdd_indid,asset_id,hh_g201,asset_no,hh_g202,hh_g203,hh_g204,hh_g205,hh_g206_1,hh_g206_2,hh_g206_3,hh_g207,hh_g208a,hh_g208b,hh_g209_1,hh_g209_2,hh_g209_3,hh_g210a,hh_g210b,hh_g211,hh_g212,hh_g213,hh_g214_1,hh_g214_2,hh_g214_3
98-30-81-51,0004-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,REFUSE TO ANSWER,NO,,,,
98-30-81-51,0004-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,4,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,4,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,4,,,0,0,32000,NO,,,,
98-30-81-51,0004-001-001,4,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,4,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,4,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
58-42-71-45,0015-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
