interview__key,sdd_hhid,sdd_indid,hh_g301,hh_g302
69-04-74-63,0001-001-001,1,NO,
69-04-74-63,0001-001-001,2,YES,1
89-47-56-17,0001-001-003,1,NO,
04-61-05-31,0001-001-004,1,YES,1
46-71-56-27,0001-004-001,1,YES,1
46-71-56-27,0001-004-001,4,NO,
46-71-56-27,0001-004-001,5,,
94-40-15-31,0001-004-002,2,NO,
50-85-79-66,0003-001-001,1,,
50-85-79-66,0003-001-001,2,YES,1
50-85-79-66,0003-001-001,4,YES,1
50-85-79-66,0003-001-001,6,,
50-85-79-66,0003-001-001,8,,
50-85-79-66,0003-001-001,9,YES,1
98-30-81-51,0004-001-001,1,YES,1
98-30-81-51,0004-001-001,2,YES,1
98-30-81-51,0004-001-001,3,,
98-30-81-51,0004-001-001,4,YES,1
98-30-81-51,0004-001-001,5,,
71-75-12-39,0005-001-001,1,NO,
71-75-12-39,0005-001-001,2,YES,1
71-75-12-39,0005-001-001,3,,
71-75-12-39,0005-001-001,4,,
71-75-12-39,0005-001-001,5,,
71-75-12-39,0005-001-001,7,,
98-53-45-06,0007-001-001,1,,
98-53-45-06,0007-001-001,2,NO,
98-53-45-06,0007-001-001,3,,
98-53-45-06,0007-001-001,4,,
98-53-45-06,0007-001-001,5,,
98-53-45-06,0007-001-001,6,,
98-53-45-06,0007-001-001,7,,
20-72-78-84,0009-001-001,1,,
20-72-78-84,0009-001-001,2,NO,
20-72-78-84,0009-001-001,3,,
20-72-78-84,0009-001-001,4,,
20-72-78-84,0009-001-001,5,,
90-18-72-04,0010-001-001,1,YES,1
90-18-72-04,0010-001-001,2,YES,1
85-64-65-42,0011-001-001,1,YES,1
85-64-65-42,0011-001-001,2,NO,
52-32-57-20,0012-001-001,1,NO,
52-32-57-20,0012-001-001,2,YES,1
52-32-57-20,0012-001-001,3,YES,1
52-32-57-20,0012-001-001,4,NO,
52-32-57-20,0012-001-001,8,,
52-32-57-20,0012-001-001,9,,
52-32-57-20,0012-001-001,11,,
52-32-57-20,0012-001-001,12,,
52-32-57-20,0012-001-001,13,,
52-32-57-20,0012-001-001,14,,
15-20-64-14,0012-001-010,1,NO,
31-30-77-11,0012-003-001,1,NO,
31-30-77-11,0012-003-001,2,NO,
31-30-77-11,0012-003-001,3,,
31-30-77-11,0012-003-001,4,,
18-76-19-96,0013-001-001,1,NO,
58-42-71-45,0015-001-001,1,YES,1
58-42-71-45,0015-001-001,2,YES,1
58-42-71-45,0015-001-001,3,,
58-42-71-45,0015-001-001,4,,
58-42-71-45,0015-001-001,5,,
58-42-71-45,0015-001-001,6,,
58-42-71-45,0015-001-001,7,,
58-42-71-45,0015-001-001,8,NO,
58-42-71-45,0015-001-001,9,,
89-06-03-18,0016-001-001,1,NO,
73-26-58-64,0016-001-002,1,NO,
73-26-58-64,0016-001-002,2,,
73-26-58-64,0016-001-002,3,,
73-26-58-64,0016-001-002,4,,
73-26-58-64,0016-001-002,5,,
56-32-76-33,0017-001-001,1,YES,1
56-32-76-33,0017-001-001,2,YES,1
56-32-76-33,0017-001-001,3,,
56-32-76-33,0017-001-001,4,,
56-32-76-33,0017-001-001,5,,
82-18-18-76,0017-002-001,1,YES,1
82-18-18-76,0017-002-001,3,YES,2
82-18-18-76,0017-002-001,4,,
82-18-18-76,0017-002-001,5,,
39-47-88-39,0018-001-001,1,YES,1
39-47-88-39,0018-001-001,2,YES,1
39-47-88-39,0018-001-001,3,,
39-47-88-39,0018-001-001,5,,
39-47-88-39,0018-001-001,6,,
39-47-88-39,0018-001-001,7,,
40-73-12-41,0020-001-001,1,YES,1
40-73-12-41,0020-001-001,2,NO,
40-73-12-41,0020-001-001,3,,
40-73-12-41,0020-001-001,4,,
40-73-12-41,0020-001-001,5,,
40-73-12-41,0020-001-001,6,,
40-73-12-41,0020-001-001,7,,
91-29-35-18,0021-001-002,2,YES,1
91-29-35-18,0021-001-002,3,YES,1
91-29-35-18,0021-001-002,4,,
91-29-35-18,0021-001-002,5,YES,2
91-29-35-18,0021-001-002,6,,
91-29-35-18,0021-001-002,7,,
52-25-14-40,0023-001-001,1,YES,2
52-25-14-40,0023-001-001,2,,
52-25-14-40,0023-001-001,3,,
