interview__key,sdd_hhid,hh_i01,hh_i02,hh_i03,hh_i04,hh_i05,hh_i06,hh_i07_1,hh_i07_2,hh_i08,hh_i09,hh_i10,hh_i11,hh_i12,hh_i12a,hh_i12b,hh_i12c,hh_i12d_1,hh_i12d_2,hh_i12d_3,hh_i13,hh_i14,hh_i15,hh_i16,hh_i16_1,hh_i17,hh_i18,hh_i19,hh_i20,hh_i21,hh_i22,hh_i23,hh_i24_1,hh_i24_2,hh_i25,hh_i26,hh_i27,hh_i28,hh_i29,hh_i30,hh_i31,hh_i32,hh_i33,hh_i34_1,hh_i34_2,hh_i35,hh_i36
69-04-74-63,0001-001-001,FREE,,,10000,0,0,3,3,MUD BRICKS,METAL SHEETS (GCI),EARTH,BURIED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,NO CHILDREN,FIREWOOD,STONE/OPEN FIRE STOVE,TORCH,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,2,32,2,LET IT STAND AND SETTLE,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0,NO,AVAILABILITY,PIPED WATER,ELSWHERE,2,60,15,NONE,,PIPED WATER,1000
89-47-56-17,0001-001-003,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,10000,0,0,3,0,MUD BRICKS,OTHER (SPECIFY),EARTH,BURNT IN COMPOUND,NO TOILET,,,,,,,,,NO CHILDREN,FIREWOOD,STONE/OPEN FIRE STOVE,TORCH,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,1,35,5,NONE,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0,NO,AVAILABILITY,PIPED WATER,ELSWHERE,1,60,20,NONE,,PIPED WATER,500
04-61-05-31,0001-001-004,RENTED,,40000,,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",TAKEN TO GOVT/MUNICIPAL BIN,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,YES,6,NO CHILDREN,PARAFFIN,,ELECTRICITY,TANESCO,BOTTLED WATER,ELSWHERE,1,2,1,NONE,,CART WITH SMALL TANK/DRUM,1100,YES,,,,,,,,,,
46-71-56-27,0001-004-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,3000,0,0,2,0,POLES AND MUD/MUD AND STONES,MUD AND GRASS,EARTH,BURIED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,FIREWOOD,OTHER SELF-BUILT STOVE,SOLAR,SOLAR PANELS,UNPROTECTED DUGWELL,ELSWHERE,4,30,10,NONE,,UNPROTECTED DUGWELL,0,YES,,,,,,,,,,
94-40-15-31,0001-004-002,FREE,,,5000,0,0,1,0,MUD BRICKS,METAL SHEETS (GCI),EARTH,BURIED IN COMPOUND,PIT LATRINE WITH SLAB (WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,YES,1,NO CHILDREN,FIREWOOD,STONE/OPEN FIRE STOVE,TORCH,,TUBEWELL/BOREHOLE,ELSWHERE,2,10,2,NONE,,TUBEWELL/BOREHOLE,5000,YES,,,,,,,,,,
50-85-79-66,0003-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,60000,0,0,4,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURNT ELSEWHERE,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,NO CHILDREN,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,ELSWHERE,4,15,5,BOIL,,PIPED WATER,2100,YES,,,,,,,,,,
98-30-81-51,0004-001-001,OWNER OCCUPIED,LAND SALE AGREEMENT,,50000,150000,280000,3,2,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURIED IN COMPOUND,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,CHARCOAL,OTHER SELF-BUILT STOVE,ELECTRICITY,TANESCO,PROTECTED DUGWELL,IN NEIGHBOR'S COMPOUND,2,10,3,NONE,,PIPED WATER,5000,YES,,,,,,,,,,
71-75-12-39,0005-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,60000,0,0,4,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURIED IN COMPOUND,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,PIPED WATER,ELSWHERE,2,30,10,NONE,,RAINWATER COLLECTION,500,YES,,,,,,,,,,
98-53-45-06,0007-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,20000,160000,0,3,0,MUD BRICKS,MUD AND GRASS,EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,2,60,5,NONE,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0,NO,AVAILABILITY,PIPED WATER,ELSWHERE,2,130,10,NONE,,PIPED WATER,300
20-72-78-84,0009-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,5000,0,0,2,0,POLES AND MUD/MUD AND STONES,"GRASS, LEAVES, BAMBOO",EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,TUBEWELL/BOREHOLE,ELSWHERE,2,50,10,NONE,,RAINWATER COLLECTION,500,YES,,,,,,,,,,
