interview__key,sdd_hhid,itemcode,hh_j08
69-04-74-63,0001-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
69-04-74-63,0001-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",1
69-04-74-63,0001-001-001,C. NUTS AND PULSES,0
69-04-74-63,0001-001-001,D. VEGETABLES,5
69-04-74-63,0001-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",1
69-04-74-63,0001-001-001,F. FRUITS,0
69-04-74-63,0001-001-001,G. MILK/MILK PRODUCTS,0
69-04-74-63,0001-001-001,H. FATS/OIL,7
69-04-74-63,0001-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,5
69-04-74-63,0001-001-001,J. SPICES/CONDIMENTS,7
89-47-56-17,0001-001-003,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
89-47-56-17,0001-001-003,"B. ROOTS, TUBERS, AND PLANTAINS",2
89-47-56-17,0001-001-003,C. NUTS AND PULSES,2
89-47-56-17,0001-001-003,D. VEGETABLES,7
89-47-56-17,0001-001-003,"E. MEAT, FISH AND ANIMAL PRODUCTS",6
89-47-56-17,0001-001-003,F. FRUITS,0
89-47-56-17,0001-001-003,G. MILK/MILK PRODUCTS,1
89-47-56-17,0001-001-003,H. FATS/OIL,7
89-47-56-17,0001-001-003,I. SUGAR/SUGAR PRODUCTS/HONEY,0
89-47-56-17,0001-001-003,J. SPICES/CONDIMENTS,7
04-61-05-31,0001-001-004,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
04-61-05-31,0001-001-004,"B. ROOTS, TUBERS, AND PLANTAINS",3
04-61-05-31,0001-001-004,C. NUTS AND PULSES,3
04-61-05-31,0001-001-004,D. VEGETABLES,3
04-61-05-31,0001-001-004,"E. MEAT, FISH AND ANIMAL PRODUCTS",3
04-61-05-31,0001-001-004,F. FRUITS,2
04-61-05-31,0001-001-004,G. MILK/MILK PRODUCTS,1
04-61-05-31,0001-001-004,H. FATS/OIL,7
04-61-05-31,0001-001-004,I. SUGAR/SUGAR PRODUCTS/HONEY,7
04-61-05-31,0001-001-004,J. SPICES/CONDIMENTS,7
46-71-56-27,0001-004-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
46-71-56-27,0001-004-001,"B. ROOTS, TUBERS, AND PLANTAINS",5
46-71-56-27,0001-004-001,C. NUTS AND PULSES,3
46-71-56-27,0001-004-001,D. VEGETABLES,5
46-71-56-27,0001-004-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",2
46-71-56-27,0001-004-001,F. FRUITS,0
46-71-56-27,0001-004-001,G. MILK/MILK PRODUCTS,5
46-71-56-27,0001-004-001,H. FATS/OIL,7
46-71-56-27,0001-004-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
46-71-56-27,0001-004-001,J. SPICES/CONDIMENTS,7
94-40-15-31,0001-004-002,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
94-40-15-31,0001-004-002,"B. ROOTS, TUBERS, AND PLANTAINS",0
94-40-15-31,0001-004-002,C. NUTS AND PULSES,0
94-40-15-31,0001-004-002,D. VEGETABLES,7
94-40-15-31,0001-004-002,"E. MEAT, FISH AND ANIMAL PRODUCTS",3
94-40-15-31,0001-004-002,F. FRUITS,0
94-40-15-31,0001-004-002,G. MILK/MILK PRODUCTS,0
94-40-15-31,0001-004-002,H. FATS/OIL,7
94-40-15-31,0001-004-002,I. SUGAR/SUGAR PRODUCTS/HONEY,0
94-40-15-31,0001-004-002,J. SPICES/CONDIMENTS,7
50-85-79-66,0003-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
50-85-79-66,0003-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",2
50-85-79-66,0003-001-001,C. NUTS AND PULSES,7
50-85-79-66,0003-001-001,D. VEGETABLES,7
50-85-79-66,0003-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",5
50-85-79-66,0003-001-001,F. FRUITS,0
50-85-79-66,0003-001-001,G. MILK/MILK PRODUCTS,7
