interview__key,sdd_hhid,itemcode,hh_k01,hh_k02
69-04-74-63,0001-001-001,CIGARETTES OR TOBACCO,NO,
69-04-74-63,0001-001-001,MATCHES,YES,100
69-04-74-63,0001-001-001,PUBLIC TRANSPORT,NO,
69-04-74-63,0001-001-001,KEROSENE,NO,
69-04-74-63,0001-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
69-04-74-63,0001-001-001,GAS (FOR LIGHTING/COOKING),NO,
69-04-74-63,0001-001-001,WATER,YES,2000
69-04-74-63,0001-001-001,PETROL OR DIESEL,NO,
69-04-74-63,0001-001-001,CELL PHONE VOUCHER,NO,
69-04-74-63,0001-001-001,CHARCOAL,NO,
69-04-74-63,0001-001-001,"MILLING FEES, GRAIN",YES,1000
69-04-74-63,0001-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,2000
69-04-74-63,0001-001-001,CLOTHES SOAP (POWDER),NO,
69-04-74-63,0001-001-001,"TOOTHPASTE, TOOTHBRUSH",NO,
69-04-74-63,0001-001-001,TOILET PAPER,NO,
69-04-74-63,0001-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",NO,
69-04-74-63,0001-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,100
69-04-74-63,0001-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
69-04-74-63,0001-001-001,LIGHT BULBS,NO,
69-04-74-63,0001-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
69-04-74-63,0001-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
69-04-74-63,0001-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
69-04-74-63,0001-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
69-04-74-63,0001-001-001,WAGES PAID TO SERVANTS,NO,
69-04-74-63,0001-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
69-04-74-63,0001-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
89-47-56-17,0001-001-003,CIGARETTES OR TOBACCO,YES,500
89-47-56-17,0001-001-003,MATCHES,YES,100
89-47-56-17,0001-001-003,PUBLIC TRANSPORT,NO,
89-47-56-17,0001-001-003,KEROSENE,NO,
89-47-56-17,0001-001-003,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
89-47-56-17,0001-001-003,GAS (FOR LIGHTING/COOKING),NO,
89-47-56-17,0001-001-003,WATER,YES,2000
89-47-56-17,0001-001-003,PETROL OR DIESEL,NO,
89-47-56-17,0001-001-003,CELL PHONE VOUCHER,NO,
89-47-56-17,0001-001-003,CHARCOAL,NO,
89-47-56-17,0001-001-003,"MILLING FEES, GRAIN",YES,500
89-47-56-17,0001-001-003,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,1000
89-47-56-17,0001-001-003,CLOTHES SOAP (POWDER),NO,
89-47-56-17,0001-001-003,"TOOTHPASTE, TOOTHBRUSH",NO,
89-47-56-17,0001-001-003,TOILET PAPER,NO,
89-47-56-17,0001-001-003,"GLYCERINE, VASELINE, SKIN CREAMS",NO,
89-47-56-17,0001-001-003,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,200
89-47-56-17,0001-001-003,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
89-47-56-17,0001-001-003,LIGHT BULBS,NO,
89-47-56-17,0001-001-003,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
89-47-56-17,0001-001-003,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
89-47-56-17,0001-001-003,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
89-47-56-17,0001-001-003,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
89-47-56-17,0001-001-003,WAGES PAID TO SERVANTS,NO,
89-47-56-17,0001-001-003,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
89-47-56-17,0001-001-003,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
04-61-05-31,0001-001-004,CIGARETTES OR TOBACCO,NO,
04-61-05-31,0001-001-004,MATCHES,YES,200
04-61-05-31,0001-001-004,PUBLIC TRANSPORT,YES,4800
04-61-05-31,0001-001-004,KEROSENE,YES,10400
04-61-05-31,0001-001-004,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",YES,10000
04-61-05-31,0001-001-004,GAS (FOR LIGHTING/COOKING),NO,
04-61-05-31,0001-001-004,WATER,YES,4400
04-61-05-31,0001-001-004,PETROL OR DIESEL,NO,
04-61-05-31,0001-001-004,CELL PHONE VOUCHER,YES,30000
04-61-05-31,0001-001-004,CHARCOAL,YES,8000
04-61-05-31,0001-001-004,"MILLING FEES, GRAIN",NO,
04-61-05-31,0001-001-004,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,3000
04-61-05-31,0001-001-004,CLOTHES SOAP (POWDER),YES,2000
04-61-05-31,0001-001-004,"TOOTHPASTE, TOOTHBRUSH",YES,3000
04-61-05-31,0001-001-004,TOILET PAPER,NO,
04-61-05-31,0001-001-004,"GLYCERINE, VASELINE, SKIN CREAMS",YES,2000
04-61-05-31,0001-001-004,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
04-61-05-31,0001-001-004,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
04-61-05-31,0001-001-004,LIGHT BULBS,NO,
04-61-05-31,0001-001-004,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
04-61-05-31,0001-001-004,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",YES,2500
04-61-05-31,0001-001-004,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
04-61-05-31,0001-001-004,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
04-61-05-31,0001-001-004,WAGES PAID TO SERVANTS,NO,
04-61-05-31,0001-001-004,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
04-61-05-31,0001-001-004,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
46-71-56-27,0001-004-001,CIGARETTES OR TOBACCO,YES,3500
46-71-56-27,0001-004-001,MATCHES,YES,200
46-71-56-27,0001-004-001,PUBLIC TRANSPORT,YES,2000
46-71-56-27,0001-004-001,KEROSENE,NO,
46-71-56-27,0001-004-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
46-71-56-27,0001-004-001,GAS (FOR LIGHTING/COOKING),NO,
46-71-56-27,0001-004-001,WATER,NO,
46-71-56-27,0001-004-001,PETROL OR DIESEL,NO,
46-71-56-27,0001-004-001,CELL PHONE VOUCHER,YES,8000
46-71-56-27,0001-004-001,CHARCOAL,NO,
46-71-56-27,0001-004-001,"MILLING FEES, GRAIN",YES,2000
46-71-56-27,0001-004-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,4000
46-71-56-27,0001-004-001,CLOTHES SOAP (POWDER),YES,1000
46-71-56-27,0001-004-001,"TOOTHPASTE, TOOTHBRUSH",NO,
46-71-56-27,0001-004-001,TOILET PAPER,NO,
46-71-56-27,0001-004-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,2000
46-71-56-27,0001-004-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,4000
46-71-56-27,0001-004-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
46-71-56-27,0001-004-001,LIGHT BULBS,NO,
46-71-56-27,0001-004-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
46-71-56-27,0001-004-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
46-71-56-27,0001-004-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
46-71-56-27,0001-004-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
46-71-56-27,0001-004-001,WAGES PAID TO SERVANTS,NO,
46-71-56-27,0001-004-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
46-71-56-27,0001-004-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
94-40-15-31,0001-004-002,CIGARETTES OR TOBACCO,NO,
94-40-15-31,0001-004-002,MATCHES,YES,100
94-40-15-31,0001-004-002,PUBLIC TRANSPORT,NO,
94-40-15-31,0001-004-002,KEROSENE,NO,
94-40-15-31,0001-004-002,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
94-40-15-31,0001-004-002,GAS (FOR LIGHTING/COOKING),NO,
94-40-15-31,0001-004-002,WATER,YES,4000
94-40-15-31,0001-004-002,PETROL OR DIESEL,NO,
94-40-15-31,0001-004-002,CELL PHONE VOUCHER,NO,
94-40-15-31,0001-004-002,CHARCOAL,NO,
94-40-15-31,0001-004-002,"MILLING FEES, GRAIN",NO,
94-40-15-31,0001-004-002,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,1000
94-40-15-31,0001-004-002,CLOTHES SOAP (POWDER),YES,500
94-40-15-31,0001-004-002,"TOOTHPASTE, TOOTHBRUSH",NO,
94-40-15-31,0001-004-002,TOILET PAPER,NO,
94-40-15-31,0001-004-002,"GLYCERINE, VASELINE, SKIN CREAMS",YES,500
94-40-15-31,0001-004-002,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
94-40-15-31,0001-004-002,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
94-40-15-31,0001-004-002,LIGHT BULBS,NO,
94-40-15-31,0001-004-002,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
94-40-15-31,0001-004-002,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
94-40-15-31,0001-004-002,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
94-40-15-31,0001-004-002,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
94-40-15-31,0001-004-002,WAGES PAID TO SERVANTS,NO,
94-40-15-31,0001-004-002,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
94-40-15-31,0001-004-002,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
50-85-79-66,0003-001-001,CIGARETTES OR TOBACCO,NO,
50-85-79-66,0003-001-001,MATCHES,YES,500
50-85-79-66,0003-001-001,PUBLIC TRANSPORT,YES,25000
50-85-79-66,0003-001-001,KEROSENE,NO,
50-85-79-66,0003-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",YES,5000
50-85-79-66,0003-001-001,GAS (FOR LIGHTING/COOKING),NO,
50-85-79-66,0003-001-001,WATER,YES,9000
50-85-79-66,0003-001-001,PETROL OR DIESEL,NO,
50-85-79-66,0003-001-001,CELL PHONE VOUCHER,YES,12000
50-85-79-66,0003-001-001,CHARCOAL,YES,30000
50-85-79-66,0003-001-001,"MILLING FEES, GRAIN",YES,500
50-85-79-66,0003-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,2500
50-85-79-66,0003-001-001,CLOTHES SOAP (POWDER),YES,3000
50-85-79-66,0003-001-001,"TOOTHPASTE, TOOTHBRUSH",YES,1500
50-85-79-66,0003-001-001,TOILET PAPER,NO,
50-85-79-66,0003-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,5000
50-85-79-66,0003-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,1000
50-85-79-66,0003-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",YES,1500
50-85-79-66,0003-001-001,LIGHT BULBS,NO,
50-85-79-66,0003-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
50-85-79-66,0003-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",YES,4000
50-85-79-66,0003-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
50-85-79-66,0003-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
50-85-79-66,0003-001-001,WAGES PAID TO SERVANTS,NO,
50-85-79-66,0003-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
50-85-79-66,0003-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
98-30-81-51,0004-001-001,CIGARETTES OR TOBACCO,NO,
98-30-81-51,0004-001-001,MATCHES,NO,
98-30-81-51,0004-001-001,PUBLIC TRANSPORT,YES,25000
98-30-81-51,0004-001-001,KEROSENE,NO,
98-30-81-51,0004-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",YES,9200
98-30-81-51,0004-001-001,GAS (FOR LIGHTING/COOKING),YES,48000
98-30-81-51,0004-001-001,WATER,YES,25000
98-30-81-51,0004-001-001,PETROL OR DIESEL,YES,60000
98-30-81-51,0004-001-001,CELL PHONE VOUCHER,YES,65000
98-30-81-51,0004-001-001,CHARCOAL,YES,30000
98-30-81-51,0004-001-001,"MILLING FEES, GRAIN",NO,
98-30-81-51,0004-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,6000
98-30-81-51,0004-001-001,CLOTHES SOAP (POWDER),YES,7000
98-30-81-51,0004-001-001,"TOOTHPASTE, TOOTHBRUSH",YES,2500
98-30-81-51,0004-001-001,TOILET PAPER,NO,
98-30-81-51,0004-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,1500
98-30-81-51,0004-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,1000
98-30-81-51,0004-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",YES,1500
98-30-81-51,0004-001-001,LIGHT BULBS,NO,
98-30-81-51,0004-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
98-30-81-51,0004-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
98-30-81-51,0004-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",YES,10000
98-30-81-51,0004-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
98-30-81-51,0004-001-001,WAGES PAID TO SERVANTS,NO,
98-30-81-51,0004-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
98-30-81-51,0004-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
71-75-12-39,0005-001-001,CIGARETTES OR TOBACCO,NO,
71-75-12-39,0005-001-001,MATCHES,YES,200
71-75-12-39,0005-001-001,PUBLIC TRANSPORT,YES,4000
71-75-12-39,0005-001-001,KEROSENE,NO,
71-75-12-39,0005-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
71-75-12-39,0005-001-001,GAS (FOR LIGHTING/COOKING),NO,
71-75-12-39,0005-001-001,WATER,YES,8000
71-75-12-39,0005-001-001,PETROL OR DIESEL,NO,
71-75-12-39,0005-001-001,CELL PHONE VOUCHER,YES,4000
71-75-12-39,0005-001-001,CHARCOAL,NO,
71-75-12-39,0005-001-001,"MILLING FEES, GRAIN",YES,1000
71-75-12-39,0005-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,3500
71-75-12-39,0005-001-001,CLOTHES SOAP (POWDER),YES,2800
71-75-12-39,0005-001-001,"TOOTHPASTE, TOOTHBRUSH",YES,1200
71-75-12-39,0005-001-001,TOILET PAPER,NO,
71-75-12-39,0005-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,1500
71-75-12-39,0005-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,1800
71-75-12-39,0005-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
71-75-12-39,0005-001-001,LIGHT BULBS,NO,
71-75-12-39,0005-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
71-75-12-39,0005-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
71-75-12-39,0005-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
71-75-12-39,0005-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",YES,10000
71-75-12-39,0005-001-001,WAGES PAID TO SERVANTS,NO,
71-75-12-39,0005-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
71-75-12-39,0005-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
98-53-45-06,0007-001-001,CIGARETTES OR TOBACCO,NO,
98-53-45-06,0007-001-001,MATCHES,NO,
98-53-45-06,0007-001-001,PUBLIC TRANSPORT,NO,
98-53-45-06,0007-001-001,KEROSENE,NO,
98-53-45-06,0007-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
98-53-45-06,0007-001-001,GAS (FOR LIGHTING/COOKING),NO,
98-53-45-06,0007-001-001,WATER,YES,1200
98-53-45-06,0007-001-001,PETROL OR DIESEL,NO,
98-53-45-06,0007-001-001,CELL PHONE VOUCHER,YES,5000
98-53-45-06,0007-001-001,CHARCOAL,NO,
98-53-45-06,0007-001-001,"MILLING FEES, GRAIN",YES,1500
98-53-45-06,0007-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,2400
98-53-45-06,0007-001-001,CLOTHES SOAP (POWDER),YES,2800
98-53-45-06,0007-001-001,"TOOTHPASTE, TOOTHBRUSH",NO,
98-53-45-06,0007-001-001,TOILET PAPER,NO,
98-53-45-06,0007-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,1500
98-53-45-06,0007-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,200
98-53-45-06,0007-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
98-53-45-06,0007-001-001,LIGHT BULBS,NO,
98-53-45-06,0007-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
98-53-45-06,0007-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
98-53-45-06,0007-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
98-53-45-06,0007-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
98-53-45-06,0007-001-001,WAGES PAID TO SERVANTS,NO,
98-53-45-06,0007-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
98-53-45-06,0007-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
20-72-78-84,0009-001-001,CIGARETTES OR TOBACCO,NO,
20-72-78-84,0009-001-001,MATCHES,NO,
20-72-78-84,0009-001-001,PUBLIC TRANSPORT,NO,
20-72-78-84,0009-001-001,KEROSENE,NO,
20-72-78-84,0009-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
20-72-78-84,0009-001-001,GAS (FOR LIGHTING/COOKING),NO,
20-72-78-84,0009-001-001,WATER,YES,2000
20-72-78-84,0009-001-001,PETROL OR DIESEL,NO,
20-72-78-84,0009-001-001,CELL PHONE VOUCHER,YES,3000
20-72-78-84,0009-001-001,CHARCOAL,NO,
20-72-78-84,0009-001-001,"MILLING FEES, GRAIN",YES,1600
20-72-78-84,0009-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,1000
20-72-78-84,0009-001-001,CLOTHES SOAP (POWDER),YES,2800
20-72-78-84,0009-001-001,"TOOTHPASTE, TOOTHBRUSH",NO,
20-72-78-84,0009-001-001,TOILET PAPER,NO,
20-72-78-84,0009-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",NO,
20-72-78-84,0009-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
20-72-78-84,0009-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
20-72-78-84,0009-001-001,LIGHT BULBS,NO,
20-72-78-84,0009-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
20-72-78-84,0009-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
20-72-78-84,0009-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
20-72-78-84,0009-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
20-72-78-84,0009-001-001,WAGES PAID TO SERVANTS,NO,
20-72-78-84,0009-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
20-72-78-84,0009-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
90-18-72-04,0010-001-001,CIGARETTES OR TOBACCO,NO,
90-18-72-04,0010-001-001,MATCHES,YES,100
90-18-72-04,0010-001-001,PUBLIC TRANSPORT,NO,
90-18-72-04,0010-001-001,KEROSENE,YES,4000
90-18-72-04,0010-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
90-18-72-04,0010-001-001,GAS (FOR LIGHTING/COOKING),NO,
90-18-72-04,0010-001-001,WATER,NO,
90-18-72-04,0010-001-001,PETROL OR DIESEL,NO,
90-18-72-04,0010-001-001,CELL PHONE VOUCHER,YES,6000
90-18-72-04,0010-001-001,CHARCOAL,NO,
