interview__key,sdd_hhid,itemcode,hh_l01,hh_l02a,hh_l02b,hh_l03
69-04-74-63,0001-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
69-04-74-63,0001-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",YES,6000,,
69-04-74-63,0001-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,YES,12000,,
69-04-74-63,0001-001-001,MOSQUITO NET,YES,5000,,
69-04-74-63,0001-001-001,MATTRESS,YES,170000,,
69-04-74-63,0001-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
69-04-74-63,0001-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
69-04-74-63,0001-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
69-04-74-63,0001-001-001,COUNCIL RATES,NO,,,
69-04-74-63,0001-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
69-04-74-63,0001-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
69-04-74-63,0001-001-001,FINES OR LEGAL FEES,NO,,,
69-04-74-63,0001-001-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
69-04-74-63,0001-001-001,FUNERAL COSTS,YES,5000,,
69-04-74-63,0001-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
69-04-74-63,0001-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
69-04-74-63,0001-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
69-04-74-63,0001-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
69-04-74-63,0001-001-001,GARMENTS FOR MEN,NO,,,
69-04-74-63,0001-001-001,GARMENTS FOR WOMEN,NO,,,
69-04-74-63,0001-001-001,GARMENTS FOR CHILDREN & BABIES,NO,,,
69-04-74-63,0001-001-001,FOOTWEAR FOR MEN,YES,5000,,
69-04-74-63,0001-001-001,FOOTWEAR FOR WOMEN,YES,5000,,
69-04-74-63,0001-001-001,FOOTWEAR FOR CHILDREN AND BABIES,NO,,,
69-04-74-63,0001-001-001,"WOOD POLES, BAMBOO",YES,,60000,60000
69-04-74-63,0001-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
89-47-56-17,0001-001-003,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
89-47-56-17,0001-001-003,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
89-47-56-17,0001-001-003,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
89-47-56-17,0001-001-003,MOSQUITO NET,NO,,,
89-47-56-17,0001-001-003,MATTRESS,NO,,,
89-47-56-17,0001-001-003,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
89-47-56-17,0001-001-003,"FILM, FILM PROCESSING, CAMERA",NO,,,
89-47-56-17,0001-001-003,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
89-47-56-17,0001-001-003,COUNCIL RATES,NO,,,
89-47-56-17,0001-001-003,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
89-47-56-17,0001-001-003,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
89-47-56-17,0001-001-003,FINES OR LEGAL FEES,NO,,,
89-47-56-17,0001-001-003,BRIDE PRICE /MARRIAGE COSTS,NO,,,
89-47-56-17,0001-001-003,FUNERAL COSTS,YES,3000,,
89-47-56-17,0001-001-003,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
89-47-56-17,0001-001-003,REPAIRS TO CONSUMER DURABLES,NO,,,
89-47-56-17,0001-001-003,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
89-47-56-17,0001-001-003,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
89-47-56-17,0001-001-003,GARMENTS FOR MEN,NO,,,
89-47-56-17,0001-001-003,GARMENTS FOR WOMEN,NO,,,
89-47-56-17,0001-001-003,GARMENTS FOR CHILDREN & BABIES,NO,,,
89-47-56-17,0001-001-003,FOOTWEAR FOR MEN,YES,2000,,
89-47-56-17,0001-001-003,FOOTWEAR FOR WOMEN,NO,,,
89-47-56-17,0001-001-003,FOOTWEAR FOR CHILDREN AND BABIES,NO,,,
89-47-56-17,0001-001-003,"WOOD POLES, BAMBOO",YES,,48000,48000
89-47-56-17,0001-001-003,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
04-61-05-31,0001-001-004,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
04-61-05-31,0001-001-004,"LINEN - TOWELS, SHEETS, BLANKETS",YES,25000,,
04-61-05-31,0001-001-004,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,YES,15000,,
04-61-05-31,0001-001-004,MOSQUITO NET,NO,,,
04-61-05-31,0001-001-004,MATTRESS,YES,190000,,
04-61-05-31,0001-001-004,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
04-61-05-31,0001-001-004,"FILM, FILM PROCESSING, CAMERA",NO,,,
04-61-05-31,0001-001-004,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
04-61-05-31,0001-001-004,COUNCIL RATES,NO,,,
04-61-05-31,0001-001-004,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
04-61-05-31,0001-001-004,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
04-61-05-31,0001-001-004,FINES OR LEGAL FEES,NO,,,
04-61-05-31,0001-001-004,BRIDE PRICE /MARRIAGE COSTS,YES,30000,,
04-61-05-31,0001-001-004,FUNERAL COSTS,YES,10000,,
04-61-05-31,0001-001-004,OTHER COSTS NOT STATED ELSEWHERE,YES,4000,,
04-61-05-31,0001-001-004,REPAIRS TO CONSUMER DURABLES,NO,,,
04-61-05-31,0001-001-004,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
04-61-05-31,0001-001-004,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
04-61-05-31,0001-001-004,GARMENTS FOR MEN,YES,50000,,
04-61-05-31,0001-001-004,GARMENTS FOR WOMEN,NO,,,
04-61-05-31,0001-001-004,GARMENTS FOR CHILDREN & BABIES,NO,,,
04-61-05-31,0001-001-004,FOOTWEAR FOR MEN,YES,15000,,
04-61-05-31,0001-001-004,FOOTWEAR FOR WOMEN,NO,,,
04-61-05-31,0001-001-004,FOOTWEAR FOR CHILDREN AND BABIES,NO,,,
04-61-05-31,0001-001-004,"WOOD POLES, BAMBOO",YES,,96000,96000
04-61-05-31,0001-001-004,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
46-71-56-27,0001-004-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
46-71-56-27,0001-004-001,"LINEN - TOWELS, SHEETS, BLANKETS",YES,12000,,
46-71-56-27,0001-004-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,YES,5000,,
46-71-56-27,0001-004-001,MOSQUITO NET,NO,,,
46-71-56-27,0001-004-001,MATTRESS,NO,,,
46-71-56-27,0001-004-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
46-71-56-27,0001-004-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
46-71-56-27,0001-004-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
46-71-56-27,0001-004-001,COUNCIL RATES,NO,,,
46-71-56-27,0001-004-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
46-71-56-27,0001-004-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
46-71-56-27,0001-004-001,FINES OR LEGAL FEES,NO,,,
46-71-56-27,0001-004-001,BRIDE PRICE /MARRIAGE COSTS,YES,50000,,
46-71-56-27,0001-004-001,FUNERAL COSTS,YES,24000,,
46-71-56-27,0001-004-001,OTHER COSTS NOT STATED ELSEWHERE,YES,35000,,
46-71-56-27,0001-004-001,REPAIRS TO CONSUMER DURABLES,NO,,,
46-71-56-27,0001-004-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
46-71-56-27,0001-004-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
46-71-56-27,0001-004-001,GARMENTS FOR MEN,YES,250000,,
