interview__key,sdd_hhid,hh_n01a,enterprise_id,hh_n02_2,hh_n02_3a,hh_n02_3,hh_n03_1,hh_n03_2,hh_n03_3,hh_n03_4,hh_n03_5,hh_n03_6,hh_n04a,hh_n04b,hh_n04_1,hh_n04_2,hh_n04_3,hh_n05_1,hh_n05_2,hh_n06,hh_n07_1,hh_n07_2,hh_n08_1,hh_n08_2,hh_n08_3,hh_n09_1,hh_n09_2,hh_n10,hh_n11,hh_n12,hh_n13_1,hh_n13_2,hh_n14_1,hh_n14_2,hh_n15,hh_n16,hh_n17,hh_n18,hh_n19,hh_n20,hh_n21_1,hh_n21_2,hh_n21_3,hh_n21_4
69-04-74-63,0001-001-001,YES,1,UKUSANYAJI WA KUNI NA KUUZA,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE NOT IN STORES, STALLS OR MARKETS",2,,,,,,2,,2,YES,,2,,OTHER TEMPORARY STRUCTURE,4,0,NO START-UP COST,,,FINAL CONSUMERS,,2000,0,0,MONTH,20000,MONTH,20000,0,0,0,0,6,15000,NO,NO,NO,NO
89-47-56-17,0001-001-003,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,YES,1,KUCHOMA NA KUUZA TOFALI,"Wholesale and retail trade, repair of motor vehicles and motorcycles","WHOLESALE TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",1,,,,,,1,,1,YES,,1,,OTHER TEMPORARY STRUCTURE,0,9,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,40000,0,980000,MONTH,980000,MONTH,700000,0,0,0,280000,8,600000,NO,NO,YES,NO
94-40-15-31,0001-004-002,YES,1,KUFUMA KOFIA,Manufacturing,MANUFACTURE OF TEXTILES,2,,,,,,2,,2,YES,,2,,NO FIXED LOCATION/MOBILE,3,0,OWN SAVINGS,,,FINAL CONSUMERS,,2000,6000,0,MONTH,30000,MONTH,20000,0,0,0,0,12,20000,NO,NO,NO,NO
50-85-79-66,0003-001-001,YES,1,KUUZA NGUO,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE NOT IN STORES, STALLS OR MARKETS",2,,,,,,2,,2,YES,,2,,NO FIXED LOCATION/MOBILE,8,4,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,15000,0,51000,MONTH,1500000,MONTH,500000,0,0,1000000,0,4,600000,NO,NO,NO,NO
98-30-81-51,0004-001-001,YES,1,KUUZA  MITUMBA,"Wholesale and retail trade, repair of motor vehicles and motorcycles",RETAIL SALE VIA STALLS AND MARKETS,1,,,,,,1,,1,YES,,1,,PERMANENT BLDG. OTHER THAN HOME,13,8,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,350000,0,500000,MONTH,800000,MONTH,300000,0,0,480000,20000,12,320000,NO,NO,YES,NO
71-75-12-39,0005-001-001,YES,1,UUZAJI WA VIAZI NA MIHOGO YA KUCHEMSHA AU KUKAANGA,"Wholesale and retail trade, repair of motor vehicles and motorcycles",RETAIL SALE IN NON-SPECIALIZED STORES,1,2,,,,,2,,2,YES,,2,,NO FIXED LOCATION/MOBILE,6,0,PROCEEDS FROM ANOTHER AGRICULTURAL BUSINESS,,,FINAL CONSUMERS,,40000,0,0,MONTH,600000,MONTH,240000,0,0,0,90000,7,150000,NO,NO,NO,NO
98-53-45-06,0007-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,YES,1,FUNDI SELEMALA,Manufacturing,"MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CORK, EXCEPT FURNITURE; MANUFACTURE OF ARTICLES OF STRAW AND PLAITING MATERIALS",1,,,,,,1,,1,YES,,1,,W/IN OWN OR BUS. PARTNER'S HOME - WITH SPECIAL BUS. SPACE,15,3,PROCEEDS FROM ANOTHER AGRICULTURAL BUSINESS,,,FINAL CONSUMERS,,300000,0,0,MONTH,50000,MONTH,20000,0,0,0,0,12,20000,NO,NO,NO,NO
85-64-65-42,0011-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-20-64-14,0012-001-010,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-30-77-11,0012-003-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-76-19-96,0013-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58-42-71-45,0015-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89-06-03-18,0016-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73-26-58-64,0016-001-002,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-32-76-33,0017-001-001,YES,1,KUPONDA NA KUUZA KOKOTO,Mining and quarrying,OTHER MINING AND QUARRYING,1,2,,,,,1,,1,YES,,1,,OTHER TEMPORARY STRUCTURE,3,3,OWN SAVINGS,,,FINAL CONSUMERS,,12000,0,0,MONTH,100000,MONTH,100000,0,0,0,0,8,50000,NO,NO,NO,NO
