interview__key,sdd_hhid,hh_q14,sourceid,hh_q15,hh_q16,hh_q17,hh_q18,hh_q19,hh_q20,hh_q21_1,hh_q21_2,hh_q22_1,hh_q22_2,hh_q22_3,hh_q23,hh_q25_1,hh_q25_2,hh_q26,hh_q27_1,hh_q27_2,hh_q24_1,hh_q24_2,hh_q24_3
69-04-74-63,0001-001-001,YES,1,**CONFIDENTIAL**,SON,33,MALE,D5,DAR ES SALAAM,YEARS,4,TIGO PESA,,,50000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
89-47-56-17,0001-001-003,NO,,,,,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,NO,,,,,,,,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,NO,,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,YES,1,**CONFIDENTIAL**,OTHER RELATIVE,80,MALE,D4,DODOMA,YEARS,80,FRIENDS/RELATIVES,,,50000,2,,130000,2,,HOUSEHOLD CONSUMPTION,,
50-85-79-66,0003-001-001,NO,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,YES,1,**CONFIDENTIAL**,OTHER RELATIVE,57,MALE,DIPLOMA,DODOMA,YEARS,32,TIGO PESA,,,50000,1,2,45000,1,2,HOUSEHOLD CONSUMPTION,,
71-75-12-39,0005-001-001,NO,,,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,YES,1,**CONFIDENTIAL**,SISTER,29,FEMALE,D7,ARUSHA,YEARS,8,TIGO PESA,,,60000,1,2,NONE,,,HOUSEHOLD CONSUMPTION,,
20-72-78-84,0009-001-001,NO,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,NO,,,,,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,YES,1,**CONFIDENTIAL**,BROTHER,40,MALE,D7,MOROGORO,YEARS,40,FRIENDS/RELATIVES,,,100000,1,,200000,1,,HOUSEHOLD CONSUMPTION,,
52-32-57-20,0012-001-001,NO,,,,,,,,,,,,,,,,,,,,,
15-20-64-14,0012-001-010,YES,1,**CONFIDENTIAL**,SPOUSE,50,MALE,NO EDUCATION,DODOMA,YEARS,50,OTHER (SPECIFY),,,300000,1,,150000,1,,HOUSEHOLD CONSUMPTION,,
31-30-77-11,0012-003-001,NO,,,,,,,,,,,,,,,,,,,,,
18-76-19-96,0013-001-001,NO,,,,,,,,,,,,,,,,,,,,,
58-42-71-45,0015-001-001,NO,,,,,,,,,,,,,,,,,,,,,
89-06-03-18,0016-001-001,NO,,,,,,,,,,,,,,,,,,,,,
73-26-58-64,0016-001-002,NO,,,,,,,,,,,,,,,,,,,,,
56-32-76-33,0017-001-001,YES,1,**CONFIDENTIAL**,OTHER RELATIVE,80,FEMALE,NO EDUCATION,MOROGORO,YEARS,75,FRIENDS/RELATIVES,OTHER (SPECIFY),,0,,,2500,1,2,,,
56-32-76-33,0017-001-001,YES,2,**CONFIDENTIAL**,IN-LAW,56,FEMALE,D7,MOROGORO,YEARS,12,OTHER (SPECIFY),,,0,,,1000,2,,,,
82-18-18-76,0017-002-001,NO,,,,,,,,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,NO,,,,,,,,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,NO,,,,,,,,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,NO,,,,,,,,,,,,,,,,,,,,,
52-25-14-40,0023-001-001,YES,1,**CONFIDENTIAL**,OTHER RELATIVE,55,FEMALE,F4,IRINGA,YEARS,20,OTHER (SPECIFY),,,0,,,120000,1,2,,,
96-43-78-97,0024-001-001,YES,1,**CONFIDENTIAL**,BROTHER,48,MALE,'O'+COURSE,MANYARA,YEARS,16,BANK ACCOUNT,,,1500000,1,,NONE,,,EDUCATION,,
06-46-18-18,0026-001-001,NO,,,,,,,,,,,,,,,,,,,,,
73-00-55-05,0028-001-001,NO,,,,,,,,,,,,,,,,,,,,,
38-25-71-90,0029-001-001,NO,,,,,,,,,,,,,,,,,,,,,
28-47-21-26,0030-001-001,YES,1,**CONFIDENTIAL**,SON,30,MALE,F4,MBEYA,YEARS,2,M-PESA,,,960000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
71-57-66-15,0031-001-001,YES,1,**CONFIDENTIAL**,SPOUSE,49,MALE,D7,ARUSHA,YEARS,49,OTHER (SPECIFY),,,700000,1,,200000,1,,HOUSEHOLD CONSUMPTION,EDUCATION,
71-57-66-15,0031-001-001,YES,2,**CONFIDENTIAL**,BROTHER,35,MALE,D7,ARUSHA,YEARS,35,OTHER (SPECIFY),,,240000,2,,NONE,,,EDUCATION,,
59-86-17-13,0032-001-001,NO,,,,,,,,,,,,,,,,,,,,,
27-91-28-82,0033-001-001,YES,1,**CONFIDENTIAL**,DAUGHTER,31,FEMALE,F3,ARUSHA,YEARS,2,AIRTEL MONEY,,,250000,1,,100000,1,,HOUSEHOLD CONSUMPTION,BUSINESS,
27-91-28-82,0033-001-001,YES,2,**CONFIDENTIAL**,DAUGHTER,37,FEMALE,D7,ARUSHA,YEARS,8,AIRTEL MONEY,M-PESA,,180000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
96-66-16-43,0034-001-001,NO,,,,,,,,,,,,,,,,,,,,,
15-50-37-82,0036-001-001,NO,,,,,,,,,,,,,,,,,,,,,
52-00-18-35,0038-001-001,NO,,,,,,,,,,,,,,,,,,,,,
48-91-62-56,0039-001-001,YES,1,**CONFIDENTIAL**,OTHER (SPECIFY),70,MALE,D6,ARUSHA,YEARS,70,OTHER (SPECIFY),,,50000,1,,650000,1,,HOUSEHOLD CONSUMPTION,,
48-91-62-56,0039-001-001,YES,2,**CONFIDENTIAL**,SISTER,44,FEMALE,F2,ARUSHA,YEARS,12,FRIENDS/RELATIVES,,,100000,1,,250000,1,,HOUSEHOLD CONSUMPTION,,
69-55-32-84,0040-001-001,YES,1,**CONFIDENTIAL**,SON,22,MALE,F4,ARUSHA,YEARS,1,AIRTEL MONEY,,,200000,1,,70000,1,,HOUSEHOLD CONSUMPTION,,
96-09-76-36,0041-001-001,NO,,,,,,,,,,,,,,,,,,,,,
67-96-69-36,0041-004-001,YES,1,**CONFIDENTIAL**,OTHER (SPECIFY),35,MALE,DIPLOMA,26,YEARS,3,M-PESA,,,1000000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
25-80-02-40,0042-001-001,NO,,,,,,,,,,,,,,,,,,,,,
63-16-88-22,0042-001-002,YES,1,**CONFIDENTIAL**,OTHER (SPECIFY),30,MALE,D7,PWANI,YEARS,12,M-PESA,TIGO PESA,,350000,1,,240000,1,,HOUSEHOLD CONSUMPTION,HEALTH,
13-15-52-70,0043-001-001,NO,,,,,,,,,,,,,,,,,,,,,
22-43-84-51,0044-001-001,NO,,,,,,,,,,,,,,,,,,,,,
73-81-30-49,0045-001-001,NO,,,,,,,,,,,,,,,,,,,,,
43-77-98-27,0046-001-001,NO,,,,,,,,,,,,,,,,,,,,,
24-75-61-52,0047-001-001,NO,,,,,,,,,,,,,,,,,,,,,
97-60-31-67,0048-001-001,YES,1,**CONFIDENTIAL**,SON,46,MALE,D7,DODOMA,YEARS,20,M-PESA,,,60000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
97-60-31-67,0048-001-001,YES,2,**CONFIDENTIAL**,SON,40,MALE,D7,DODOMA,YEARS,12,M-PESA,,,150000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
03-68-77-59,0049-001-001,YES,1,**CONFIDENTIAL**,SON,30,MALE,D7,DAR ES SALAAM,YEARS,5,M-PESA,,,350000,1,2,170000,1,2,HOUSEHOLD CONSUMPTION,HEALTH,
88-71-20-70,0050-001-001,NO,,,,,,,,,,,,,,,,,,,,,
62-93-39-20,0051-001-001,YES,1,**CONFIDENTIAL**,SON,35,MALE,U3,DAR ES SALAAM,YEARS,6,M-PESA,,,800000,1,,NONE,,,HOUSEHOLD CONSUMPTION,FARMING,
92-89-07-22,0051-001-002,NO,,,,,,,,,,,,,,,,,,,,,
28-71-87-26,0051-001-003,NO,,,,,,,,,,,,,,,,,,,,,
00-72-79-53,0055-001-001,YES,1,**CONFIDENTIAL**,SON,36,MALE,D7,DAR ES SALAAM,YEARS,5,FRIENDS/RELATIVES,,,40000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
00-72-79-53,0055-001-001,YES,2,**CONFIDENTIAL**,SON,44,MALE,D7,KILIMANJARO,YEARS,6,FRIENDS/RELATIVES,,,20000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
72-59-54-68,0055-003-001,NO,,,,,,,,,,,,,,,,,,,,,
73-41-85-14,0056-001-001,YES,1,**CONFIDENTIAL**,SON,44,MALE,F4,DODOMA,YEARS,2,TIGO PESA,,,300000,1,,50000,1,,HOUSEHOLD CONSUMPTION,,
73-41-85-14,0056-001-001,YES,2,**CONFIDENTIAL**,DAUGHTER,41,FEMALE,U3,MOROGORO,YEARS,5,TIGO PESA,,,350000,1,,20000,1,,HOUSEHOLD CONSUMPTION,EDUCATION,
73-41-85-14,0056-001-001,YES,3,**CONFIDENTIAL**,SON,38,MALE,D7,DAR ES SALAAM,YEARS,8,TIGO PESA,FRIENDS/RELATIVES,,100000,1,,200000,1,,HOUSEHOLD CONSUMPTION,EDUCATION,
16-64-27-88,0057-001-001,NO,,,,,,,,,,,,,,,,,,,,,
34-42-58-96,0058-001-001,NO,,,,,,,,,,,,,,,,,,,,,
77-68-44-59,0059-001-001,NO,,,,,,,,,,,,,,,,,,,,,
44-35-85-32,0060-001-001,NO,,,,,,,,,,,,,,,,,,,,,
45-55-29-47,0061-001-001,NO,,,,,,,,,,,,,,,,,,,,,
47-61-12-15,0062-001-001,YES,1,**CONFIDENTIAL**,SON,24,MALE,F4,MOROGORO,YEARS,4,TIGO PESA,,,300000,1,2,NONE,,,HOUSEHOLD CONSUMPTION,,
47-61-12-15,0062-001-001,YES,2,**CONFIDENTIAL**,SON,28,MALE,F4,MBEYA,YEARS,1,TIGO PESA,,,200000,1,2,NONE,,,HOUSEHOLD CONSUMPTION,,
47-61-12-15,0062-001-001,YES,3,**CONFIDENTIAL**,DAUGHTER,26,FEMALE,F4,KILIMANJARO,YEARS,2,FRIENDS/RELATIVES,,,20000,1,2,80000,2,8,HOUSEHOLD CONSUMPTION,,
35-43-12-92,0062-001-003,NO,,,,,,,,,,,,,,,,,,,,,
53-26-19-17,0062-001-004,YES,1,**CONFIDENTIAL**,OTHER (SPECIFY),24,MALE,F4,MOROGORO,YEARS,2,TIGO PESA,,,20000,2,,NONE,,,HOUSEHOLD CONSUMPTION,,
56-72-41-10,0062-001-005,NO,,,,,,,,,,,,,,,,,,,,,
20-34-21-50,0062-004-001,YES,1,**CONFIDENTIAL**,SPOUSE,38,MALE,U3,DAR ES SALAAM,YEARS,8,M-PESA,,,1800000,1,,NONE,,,HOUSEHOLD CONSUMPTION,EDUCATION,HEALTH
67-14-39-51,0063-001-003,NO,,,,,,,,,,,,,,,,,,,,,
47-38-96-20,0065-001-001,YES,1,**CONFIDENTIAL**,SON,30,MALE,D7,ARUSHA,YEARS,4,M-PESA,,,120000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
47-38-96-20,0065-001-001,YES,2,**CONFIDENTIAL**,SON,32,MALE,D7,MOROGORO,YEARS,13,M-PESA,,,140000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
47-38-96-20,0065-001-001,YES,3,**CONFIDENTIAL**,SON,21,MALE,D7,ARUSHA,YEARS,8,M-PESA,,,75000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
47-38-96-20,0065-001-001,YES,4,**CONFIDENTIAL**,SON,30,MALE,D7,ARUSHA,YEARS,4,M-PESA,,,50000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
47-38-96-20,0065-001-001,YES,5,**CONFIDENTIAL**,SISTER,19,MALE,D7,ARUSHA,YEARS,2,M-PESA,,,20000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
47-38-96-20,0065-001-001,YES,6,**CONFIDENTIAL**,DAUGHTER,28,FEMALE,D7,KILIMANJARO,YEARS,5,FRIENDS/RELATIVES,,,10000,1,,50000,1,,HOUSEHOLD CONSUMPTION,,
