interview__key,sdd_hhid,shock_id,hh_r01,hh_r02,hh_r03,hh_r04_1,hh_r04_2
46-71-56-27,0001-004-001,DROUGHT OR FLOODS,YES,MOST SEVERE,LOSS OF BOTH,RELIED ON OWN-SAVINGS,
46-71-56-27,0001-004-001,CROP DISEASE OR CROP PESTS,NO,,,,
46-71-56-27,0001-004-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
46-71-56-27,0001-004-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
46-71-56-27,0001-004-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
46-71-56-27,0001-004-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
46-71-56-27,0001-004-001,LARGE RISE IN PRICE OF FOOD,NO,,,,
46-71-56-27,0001-004-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
46-71-56-27,0001-004-001,SEVERE WATER SHORTAGE,YES,SECOND MOST SEVERE,NEITHER,DID NOT DO ANYTHING,
46-71-56-27,0001-004-001,LOSS OF LAND,NO,,,,
46-71-56-27,0001-004-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
46-71-56-27,0001-004-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
46-71-56-27,0001-004-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
46-71-56-27,0001-004-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
46-71-56-27,0001-004-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
46-71-56-27,0001-004-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
46-71-56-27,0001-004-001,OTHER (SPECIFY),NO,,,,
71-75-12-39,0005-001-001,DROUGHT OR FLOODS,YES,MOST SEVERE,INCOME LOSS,SOLD LIVESTOCK,RECEIVED UNCONDITIONAL HELP FROM RELATIVES/FRIENDS
71-75-12-39,0005-001-001,CROP DISEASE OR CROP PESTS,YES,SECOND MOST SEVERE,INCOME LOSS,DID NOT DO ANYTHING,
71-75-12-39,0005-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
71-75-12-39,0005-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
71-75-12-39,0005-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
71-75-12-39,0005-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
71-75-12-39,0005-001-001,LARGE RISE IN PRICE OF FOOD,YES,THIRD MOST SEVERE,INCOME LOSS,DID NOT DO ANYTHING,
71-75-12-39,0005-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
71-75-12-39,0005-001-001,SEVERE WATER SHORTAGE,NO,,,,
71-75-12-39,0005-001-001,LOSS OF LAND,NO,,,,
71-75-12-39,0005-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
71-75-12-39,0005-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
71-75-12-39,0005-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
71-75-12-39,0005-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
71-75-12-39,0005-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
71-75-12-39,0005-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
71-75-12-39,0005-001-001,OTHER (SPECIFY),NO,,,,
98-53-45-06,0007-001-001,DROUGHT OR FLOODS,YES,MOST SEVERE,INCOME LOSS,RECEIVED UNCONDITIONAL HELP FROM RELATIVES/FRIENDS,RELIED ON OWN-SAVINGS
98-53-45-06,0007-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
98-53-45-06,0007-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
98-53-45-06,0007-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
98-53-45-06,0007-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
98-53-45-06,0007-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
98-53-45-06,0007-001-001,LARGE RISE IN PRICE OF FOOD,NO,,,,
98-53-45-06,0007-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
98-53-45-06,0007-001-001,SEVERE WATER SHORTAGE,NO,,,,
98-53-45-06,0007-001-001,LOSS OF LAND,NO,,,,
98-53-45-06,0007-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
98-53-45-06,0007-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
98-53-45-06,0007-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
98-53-45-06,0007-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
98-53-45-06,0007-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
98-53-45-06,0007-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
98-53-45-06,0007-001-001,OTHER (SPECIFY),NO,,,,
20-72-78-84,0009-001-001,DROUGHT OR FLOODS,YES,MOST SEVERE,LOSS OF BOTH,EMPLOYED HOUSEHOLD MEMBERS TOOK ON MORE EMPLOYMENT,
20-72-78-84,0009-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
20-72-78-84,0009-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
20-72-78-84,0009-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
20-72-78-84,0009-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
20-72-78-84,0009-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
20-72-78-84,0009-001-001,LARGE RISE IN PRICE OF FOOD,NO,,,,
