interview__key,sdd_hhid,wqt_selection,wqt_prob,wqt_blank_s,wqt_blank_p,wqt_01,wqt_02,wqt_03,wqt_04,wqt_05,wqt_06,wqt_07_1,wqt_07_2,wqt_07_3,wqt_08,wqt_09,wqt_10,wqt_11,wqt_12,wqt_13__Latitude,wqt_13__Longitude,wqt_13__Accuracy,wqt_13__Altitude,wqt_13__Timestamp,wqt_14,wqt_15,wqt_16,wqt_17,wqt_18,wqt_19a,wqt_19,wqt_20,wqr_01a,wqr_01,wqr_02,wqr_03,wqr_04,wqr_05,wqr_06,wqr_07a,wqr_07,wqr_08,wqr_09,wqr_10,wqr_11,wqr_12,wqr_13,wqr_14,wqr_15,wqr_16,wqr_17,wqr_18
69-04-74-63,0001-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89-47-56-17,0001-001-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,YES,0.60000002,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,
