interview__key,sdd_hhid,lvstckid,lf03_01,lf03_02_1,lf03_02_2,lf03_02_3,lf03_02_4,lf03_03,lf03_04,lf03_05_1,lf03_05_2,lf03_05_3,lf03_05_4,lf03_06,lf03_07,lf03_08,lf03_09,lf03_10,lf03_11,lf03_12,lf03_13,lf03_14
69-04-74-63,0001-001-001,LARGE RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
69-04-74-63,0001-001-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
69-04-74-63,0001-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
69-04-74-63,0001-001-001,POULTRY,YES,NOT SICK,,,,"YES, ALL ANIMALS AT LEAST ONCE",PRIVATE CLINIC,NEW CASTLE DISEASE (KIDELI/MDONDO),,,,NO,,,,,,NO,,2000
69-04-74-63,0001-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
69-04-74-63,0001-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
89-47-56-17,0001-001-003,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
89-47-56-17,0001-001-003,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
89-47-56-17,0001-001-003,PIGS,,,,,,,,,,,,,,,,,,,,
89-47-56-17,0001-001-003,POULTRY,,,,,,,,,,,,,,,,,,,,
89-47-56-17,0001-001-003,DONKEYS,,,,,,,,,,,,,,,,,,,,
89-47-56-17,0001-001-003,DOGS,,,,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,PIGS,,,,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,POULTRY,,,,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,DONKEYS,,,,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,DOGS,,,,,,,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,LARGE RUMINANTS,YES,LUMPY SKIN DISEASE (MAPELENGOZI),,,,"YES, ALL ANIMALS AT LEAST ONCE",DISTRICT VET CLINIC,LUMPY SKIN DISEASE (MAPELENGOZI),,,,"YES, ALL ANIMALS AT LEAST ONCE",DISTRICT VET CLINIC,"YES, ALL ANIMALS AT LEAST ONCE",DIPPING / DIP TANK,"YES, ALL ANIMALS AT LEAST ONCE",DISTRICT VET CLINIC,"YES, ALL ANIMALS AT LEAST ONCE",DISTRICT VET CLINIC,110000
46-71-56-27,0001-004-001,SMALL RUMINANTS,YES,LUMPY SKIN DISEASE (MAPELENGOZI),,,,"YES, ALL ANIMALS AT LEAST ONCE",DISTRICT VET CLINIC,LUMPY SKIN DISEASE (MAPELENGOZI),,,,"YES, ALL ANIMALS AT LEAST ONCE",DISTRICT VET CLINIC,"YES, ALL ANIMALS AT LEAST ONCE",DIPPING / DIP TANK,"YES, ALL ANIMALS AT LEAST ONCE",DISTRICT VET CLINIC,"YES, ALL ANIMALS AT LEAST ONCE",DISTRICT VET CLINIC,17000
46-71-56-27,0001-004-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,POULTRY,YES,NEW CASTLE DISEASE (KIDELI/MDONDO),,,,"YES, ALL ANIMALS AT LEAST ONCE",DISTRICT VET CLINIC,NEW CASTLE DISEASE (KIDELI/MDONDO),,,,"YES, ALL ANIMALS AT LEAST ONCE",DISTRICT VET CLINIC,,,,,"YES, ALL ANIMALS AT LEAST ONCE",DISTRICT VET CLINIC,4000
46-71-56-27,0001-004-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,PIGS,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,POULTRY,,,,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,DONKEYS,,,,,,,,,,,,,,,,,,,,
