interview__key,sdd_hhid,lvstckid,lf06_01,lf06_02,lf06_03,lf06_04_1,lf06_04_2,lf06_05_1,lf06_05_2,lf06_06,lf06_07,lf06_08,lf06_09,lf06_10,lf06_11,lf06_12a,lf06_12b,lf06_13_1,lf06_13_2
69-04-74-63,0001-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
69-04-74-63,0001-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
89-47-56-17,0001-001-003,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
89-47-56-17,0001-001-003,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
04-61-05-31,0001-001-004,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
46-71-56-27,0001-004-001,LARGE RUMINANTS,3,1,6,AUGUST,3,AUGUST,6,LIMITED SUCKLING,0,0,HAKUNA,,,,,,
46-71-56-27,0001-004-001,SMALL RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
94-40-15-31,0001-004-002,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
50-85-79-66,0003-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
98-30-81-51,0004-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
71-75-12-39,0005-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,LARGE RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
98-53-45-06,0007-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,LARGE RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
20-72-78-84,0009-001-001,SMALL RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
90-18-72-04,0010-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
85-64-65-42,0011-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,LARGE RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
52-32-57-20,0012-001-001,SMALL RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
15-20-64-14,0012-001-010,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
15-20-64-14,0012-001-010,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
31-30-77-11,0012-003-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
31-30-77-11,0012-003-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
18-76-19-96,0013-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
18-76-19-96,0013-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
58-42-71-45,0015-001-001,LARGE RUMINANTS,5,12,5,FEBRUARY,6,JANUARY,7,LIMITED SUCKLING,0,0,HAKUNA,,,,,,
58-42-71-45,0015-001-001,SMALL RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
89-06-03-18,0016-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
89-06-03-18,0016-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
73-26-58-64,0016-001-002,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
73-26-58-64,0016-001-002,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
56-32-76-33,0017-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
56-32-76-33,0017-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
82-18-18-76,0017-002-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
82-18-18-76,0017-002-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
39-47-88-39,0018-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
40-73-12-41,0020-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
91-29-35-18,0021-001-002,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
52-25-14-40,0023-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
52-25-14-40,0023-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
96-43-78-97,0024-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
06-46-18-18,0026-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
06-46-18-18,0026-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
73-00-55-05,0028-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
73-00-55-05,0028-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
38-25-71-90,0029-001-001,LARGE RUMINANTS,1,9,3,MARCH,3,DECEMBER,1,NO SUCKLING,1,0,HAKUNA,,,,,1,
38-25-71-90,0029-001-001,SMALL RUMINANTS,HAPANA,,,,,,,,,,,,,,,1,
28-47-21-26,0030-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
28-47-21-26,0030-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
71-57-66-15,0031-001-001,LARGE RUMINANTS,1,3,1,NOVEMBER,3,JANUARY,1,LIMITED SUCKLING,1,0,0.5,0,0,NYINGINE (TAJA),,1,
71-57-66-15,0031-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
59-86-17-13,0032-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
59-86-17-13,0032-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
27-91-28-82,0033-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
27-91-28-82,0033-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
96-66-16-43,0034-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
96-66-16-43,0034-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
15-50-37-82,0036-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
15-50-37-82,0036-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
52-00-18-35,0038-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
52-00-18-35,0038-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
48-91-62-56,0039-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
48-91-62-56,0039-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
69-55-32-84,0040-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
69-55-32-84,0040-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
96-09-76-36,0041-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
96-09-76-36,0041-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
67-96-69-36,0041-004-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
67-96-69-36,0041-004-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
25-80-02-40,0042-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
25-80-02-40,0042-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
63-16-88-22,0042-001-002,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
63-16-88-22,0042-001-002,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
13-15-52-70,0043-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
13-15-52-70,0043-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
22-43-84-51,0044-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
22-43-84-51,0044-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
73-81-30-49,0045-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
73-81-30-49,0045-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
43-77-98-27,0046-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
43-77-98-27,0046-001-001,SMALL RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
24-75-61-52,0047-001-001,LARGE RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
24-75-61-52,0047-001-001,SMALL RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
97-60-31-67,0048-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
97-60-31-67,0048-001-001,SMALL RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
03-68-77-59,0049-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
03-68-77-59,0049-001-001,SMALL RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
88-71-20-70,0050-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
88-71-20-70,0050-001-001,SMALL RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
62-93-39-20,0051-001-001,LARGE RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
62-93-39-20,0051-001-001,SMALL RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
92-89-07-22,0051-001-002,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
92-89-07-22,0051-001-002,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
28-71-87-26,0051-001-003,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
28-71-87-26,0051-001-003,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
00-72-79-53,0055-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
00-72-79-53,0055-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
72-59-54-68,0055-003-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
72-59-54-68,0055-003-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
73-41-85-14,0056-001-001,LARGE RUMINANTS,1,6,1,APRIL,1.5,OCTOBER,0.7,LIMITED SUCKLING,0,0,1,0,0,NYINGINE (TAJA),NDANI YA KIJIJI AU MJI,1,
73-41-85-14,0056-001-001,SMALL RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
16-64-27-88,0057-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
16-64-27-88,0057-001-001,SMALL RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
34-42-58-96,0058-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
34-42-58-96,0058-001-001,SMALL RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
77-68-44-59,0059-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
77-68-44-59,0059-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
44-35-85-32,0060-001-001,LARGE RUMINANTS,1,3,2,MAY,2,AUGUST,1,LIMITED SUCKLING,2,0,1,0,0,,,,
44-35-85-32,0060-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
45-55-29-47,0061-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
45-55-29-47,0061-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
47-61-12-15,0062-001-001,LARGE RUMINANTS,3,8,1,MARCH,1,AUGUST,0.5,LIMITED SUCKLING,1,1,1,0,1000,JIRANI,NDANI YA KIJIJI AU MJI,1,2
47-61-12-15,0062-001-001,SMALL RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
