interview__key,sdd_hhid,lvstckid,lf07_01,lf07_02_1,lf07_02_2,lf07_03,lf07_04_1,lf07_04_2,lf07_05,lf07_06
69-04-74-63,0001-001-001,LARGE RUMINANTS,,,,,,,,
69-04-74-63,0001-001-001,SMALL RUMINANTS,,,,,,,,
69-04-74-63,0001-001-001,PIGS,,,,,,,,
69-04-74-63,0001-001-001,POULTRY,NO,,,,,,,
69-04-74-63,0001-001-001,DONKEYS,,,,,,,,
69-04-74-63,0001-001-001,OTHER ANIMALS,,,,,,,,
89-47-56-17,0001-001-003,LARGE RUMINANTS,,,,,,,,
89-47-56-17,0001-001-003,SMALL RUMINANTS,,,,,,,,
89-47-56-17,0001-001-003,PIGS,,,,,,,,
89-47-56-17,0001-001-003,POULTRY,,,,,,,,
89-47-56-17,0001-001-003,DONKEYS,,,,,,,,
89-47-56-17,0001-001-003,OTHER ANIMALS,,,,,,,,
04-61-05-31,0001-001-004,LARGE RUMINANTS,,,,,,,,
04-61-05-31,0001-001-004,SMALL RUMINANTS,,,,,,,,
04-61-05-31,0001-001-004,PIGS,,,,,,,,
04-61-05-31,0001-001-004,POULTRY,,,,,,,,
04-61-05-31,0001-001-004,DONKEYS,,,,,,,,
04-61-05-31,0001-001-004,OTHER ANIMALS,,,,,,,,
46-71-56-27,0001-004-001,LARGE RUMINANTS,NO,,,,,,NO,NO
46-71-56-27,0001-004-001,SMALL RUMINANTS,NO,,,,,,,
46-71-56-27,0001-004-001,PIGS,,,,,,,,
46-71-56-27,0001-004-001,POULTRY,NO,,,,,,,
46-71-56-27,0001-004-001,DONKEYS,,,,,,,,
46-71-56-27,0001-004-001,OTHER ANIMALS,,,,,,,,
94-40-15-31,0001-004-002,LARGE RUMINANTS,,,,,,,,
94-40-15-31,0001-004-002,SMALL RUMINANTS,,,,,,,,
94-40-15-31,0001-004-002,PIGS,,,,,,,,
94-40-15-31,0001-004-002,POULTRY,,,,,,,,
94-40-15-31,0001-004-002,DONKEYS,,,,,,,,
94-40-15-31,0001-004-002,OTHER ANIMALS,,,,,,,,
50-85-79-66,0003-001-001,LARGE RUMINANTS,,,,,,,,
50-85-79-66,0003-001-001,SMALL RUMINANTS,,,,,,,,
50-85-79-66,0003-001-001,PIGS,,,,,,,,
50-85-79-66,0003-001-001,POULTRY,,,,,,,,
50-85-79-66,0003-001-001,DONKEYS,,,,,,,,
50-85-79-66,0003-001-001,OTHER ANIMALS,,,,,,,,
98-30-81-51,0004-001-001,LARGE RUMINANTS,,,,,,,,
98-30-81-51,0004-001-001,SMALL RUMINANTS,,,,,,,,
98-30-81-51,0004-001-001,PIGS,,,,,,,,
98-30-81-51,0004-001-001,POULTRY,,,,,,,,
98-30-81-51,0004-001-001,DONKEYS,,,,,,,,
98-30-81-51,0004-001-001,OTHER ANIMALS,,,,,,,,
71-75-12-39,0005-001-001,LARGE RUMINANTS,,,,,,,,
71-75-12-39,0005-001-001,SMALL RUMINANTS,,,,,,,,
71-75-12-39,0005-001-001,PIGS,,,,,,,,
71-75-12-39,0005-001-001,POULTRY,NO,,,,,,,
71-75-12-39,0005-001-001,DONKEYS,,,,,,,,
71-75-12-39,0005-001-001,OTHER ANIMALS,,,,,,,,
98-53-45-06,0007-001-001,LARGE RUMINANTS,NO,,,,,,NO,NO
98-53-45-06,0007-001-001,SMALL RUMINANTS,,,,,,,,
98-53-45-06,0007-001-001,PIGS,,,,,,,,
98-53-45-06,0007-001-001,POULTRY,YES,MANURE,,,28,KG,,
98-53-45-06,0007-001-001,DONKEYS,,,,,,,,
98-53-45-06,0007-001-001,OTHER ANIMALS,,,,,,,,
20-72-78-84,0009-001-001,LARGE RUMINANTS,NO,,,,,,NO,NO
20-72-78-84,0009-001-001,SMALL RUMINANTS,NO,,,,,,,
20-72-78-84,0009-001-001,PIGS,,,,,,,,
20-72-78-84,0009-001-001,POULTRY,,,,,,,,
20-72-78-84,0009-001-001,DONKEYS,,,,,,,,
20-72-78-84,0009-001-001,OTHER ANIMALS,,,,,,,,
90-18-72-04,0010-001-001,LARGE RUMINANTS,,,,,,,,
90-18-72-04,0010-001-001,SMALL RUMINANTS,,,,,,,,
90-18-72-04,0010-001-001,PIGS,,,,,,,,
90-18-72-04,0010-001-001,POULTRY,,,,,,,,
90-18-72-04,0010-001-001,DONKEYS,,,,,,,,
90-18-72-04,0010-001-001,OTHER ANIMALS,,,,,,,,
85-64-65-42,0011-001-001,LARGE RUMINANTS,,,,,,,,
85-64-65-42,0011-001-001,SMALL RUMINANTS,,,,,,,,
85-64-65-42,0011-001-001,PIGS,,,,,,,,
85-64-65-42,0011-001-001,POULTRY,,,,,,,,
85-64-65-42,0011-001-001,DONKEYS,,,,,,,,
85-64-65-42,0011-001-001,OTHER ANIMALS,,,,,,,,
52-32-57-20,0012-001-001,LARGE RUMINANTS,NO,,,,,,NO,NO
52-32-57-20,0012-001-001,SMALL RUMINANTS,NO,,,,,,,
52-32-57-20,0012-001-001,PIGS,NO,,,,,,,
52-32-57-20,0012-001-001,POULTRY,NO,,,,,,,
52-32-57-20,0012-001-001,DONKEYS,,,,,,,,
52-32-57-20,0012-001-001,OTHER ANIMALS,,,,,,,,
15-20-64-14,0012-001-010,LARGE RUMINANTS,,,,,,,,
15-20-64-14,0012-001-010,SMALL RUMINANTS,,,,,,,,
15-20-64-14,0012-001-010,PIGS,,,,,,,,
15-20-64-14,0012-001-010,POULTRY,,,,,,,,
15-20-64-14,0012-001-010,DONKEYS,,,,,,,,
15-20-64-14,0012-001-010,OTHER ANIMALS,,,,,,,,
31-30-77-11,0012-003-001,LARGE RUMINANTS,,,,,,,,
31-30-77-11,0012-003-001,SMALL RUMINANTS,,,,,,,,
31-30-77-11,0012-003-001,PIGS,,,,,,,,
31-30-77-11,0012-003-001,POULTRY,,,,,,,,
31-30-77-11,0012-003-001,DONKEYS,,,,,,,,
31-30-77-11,0012-003-001,OTHER ANIMALS,,,,,,,,
18-76-19-96,0013-001-001,LARGE RUMINANTS,,,,,,,,
18-76-19-96,0013-001-001,SMALL RUMINANTS,,,,,,,,
18-76-19-96,0013-001-001,PIGS,,,,,,,,
18-76-19-96,0013-001-001,POULTRY,,,,,,,,
18-76-19-96,0013-001-001,DONKEYS,,,,,,,,
18-76-19-96,0013-001-001,OTHER ANIMALS,,,,,,,,
58-42-71-45,0015-001-001,LARGE RUMINANTS,YES,MANURE,,,3000,KG,YES,YES
58-42-71-45,0015-001-001,SMALL RUMINANTS,YES,MANURE,,,500,KG,,
58-42-71-45,0015-001-001,PIGS,,,,,,,,
58-42-71-45,0015-001-001,POULTRY,NO,,,,,,,
58-42-71-45,0015-001-001,DONKEYS,,,,,,,,
58-42-71-45,0015-001-001,OTHER ANIMALS,,,,,,,,
89-06-03-18,0016-001-001,LARGE RUMINANTS,,,,,,,,
89-06-03-18,0016-001-001,SMALL RUMINANTS,,,,,,,,
89-06-03-18,0016-001-001,PIGS,,,,,,,,
89-06-03-18,0016-001-001,POULTRY,,,,,,,,
89-06-03-18,0016-001-001,DONKEYS,,,,,,,,
89-06-03-18,0016-001-001,OTHER ANIMALS,,,,,,,,
73-26-58-64,0016-001-002,LARGE RUMINANTS,,,,,,,,
73-26-58-64,0016-001-002,SMALL RUMINANTS,,,,,,,,
73-26-58-64,0016-001-002,PIGS,,,,,,,,
73-26-58-64,0016-001-002,POULTRY,,,,,,,,
73-26-58-64,0016-001-002,DONKEYS,,,,,,,,
73-26-58-64,0016-001-002,OTHER ANIMALS,,,,,,,,
56-32-76-33,0017-001-001,LARGE RUMINANTS,,,,,,,,
56-32-76-33,0017-001-001,SMALL RUMINANTS,,,,,,,,
56-32-76-33,0017-001-001,PIGS,,,,,,,,
56-32-76-33,0017-001-001,POULTRY,,,,,,,,
56-32-76-33,0017-001-001,DONKEYS,,,,,,,,
56-32-76-33,0017-001-001,OTHER ANIMALS,,,,,,,,
82-18-18-76,0017-002-001,LARGE RUMINANTS,,,,,,,,
82-18-18-76,0017-002-001,SMALL RUMINANTS,,,,,,,,
82-18-18-76,0017-002-001,PIGS,,,,,,,,
82-18-18-76,0017-002-001,POULTRY,,,,,,,,
82-18-18-76,0017-002-001,DONKEYS,,,,,,,,
82-18-18-76,0017-002-001,OTHER ANIMALS,,,,,,,,
39-47-88-39,0018-001-001,LARGE RUMINANTS,,,,,,,,
39-47-88-39,0018-001-001,SMALL RUMINANTS,,,,,,,,
39-47-88-39,0018-001-001,PIGS,,,,,,,,
39-47-88-39,0018-001-001,POULTRY,NO,,,,,,,
39-47-88-39,0018-001-001,DONKEYS,,,,,,,,
39-47-88-39,0018-001-001,OTHER ANIMALS,,,,,,,,
40-73-12-41,0020-001-001,LARGE RUMINANTS,,,,,,,,
40-73-12-41,0020-001-001,SMALL RUMINANTS,,,,,,,,
40-73-12-41,0020-001-001,PIGS,,,,,,,,
40-73-12-41,0020-001-001,POULTRY,NO,,,,,,,
40-73-12-41,0020-001-001,DONKEYS,,,,,,,,
40-73-12-41,0020-001-001,OTHER ANIMALS,,,,,,,,
91-29-35-18,0021-001-002,LARGE RUMINANTS,,,,,,,,
91-29-35-18,0021-001-002,SMALL RUMINANTS,,,,,,,,
91-29-35-18,0021-001-002,PIGS,,,,,,,,
91-29-35-18,0021-001-002,POULTRY,,,,,,,,
91-29-35-18,0021-001-002,DONKEYS,,,,,,,,
91-29-35-18,0021-001-002,OTHER ANIMALS,,,,,,,,
52-25-14-40,0023-001-001,LARGE RUMINANTS,,,,,,,,
52-25-14-40,0023-001-001,SMALL RUMINANTS,,,,,,,,
52-25-14-40,0023-001-001,PIGS,,,,,,,,
52-25-14-40,0023-001-001,POULTRY,,,,,,,,
52-25-14-40,0023-001-001,DONKEYS,,,,,,,,
52-25-14-40,0023-001-001,OTHER ANIMALS,,,,,,,,
96-43-78-97,0024-001-001,LARGE RUMINANTS,,,,,,,,
96-43-78-97,0024-001-001,SMALL RUMINANTS,,,,,,,,
96-43-78-97,0024-001-001,PIGS,,,,,,,,
96-43-78-97,0024-001-001,POULTRY,NO,,,,,,,
96-43-78-97,0024-001-001,DONKEYS,,,,,,,,
96-43-78-97,0024-001-001,OTHER ANIMALS,,,,,,,,
06-46-18-18,0026-001-001,LARGE RUMINANTS,,,,,,,,
06-46-18-18,0026-001-001,SMALL RUMINANTS,,,,,,,,
06-46-18-18,0026-001-001,PIGS,,,,,,,,
06-46-18-18,0026-001-001,POULTRY,,,,,,,,
06-46-18-18,0026-001-001,DONKEYS,,,,,,,,
06-46-18-18,0026-001-001,OTHER ANIMALS,,,,,,,,
73-00-55-05,0028-001-001,LARGE RUMINANTS,,,,,,,,
73-00-55-05,0028-001-001,SMALL RUMINANTS,,,,,,,,
73-00-55-05,0028-001-001,PIGS,,,,,,,,
73-00-55-05,0028-001-001,POULTRY,,,,,,,,
73-00-55-05,0028-001-001,DONKEYS,,,,,,,,
73-00-55-05,0028-001-001,OTHER ANIMALS,,,,,,,,
38-25-71-90,0029-001-001,LARGE RUMINANTS,NO,,,,,,NO,NO
38-25-71-90,0029-001-001,SMALL RUMINANTS,NO,,,,,,,
38-25-71-90,0029-001-001,PIGS,,,,,,,,
38-25-71-90,0029-001-001,POULTRY,NO,,,,,,,
38-25-71-90,0029-001-001,DONKEYS,,,,,,,,
38-25-71-90,0029-001-001,OTHER ANIMALS,,,,,,,,
28-47-21-26,0030-001-001,LARGE RUMINANTS,,,,,,,,
28-47-21-26,0030-001-001,SMALL RUMINANTS,,,,,,,,
28-47-21-26,0030-001-001,PIGS,,,,,,,,
28-47-21-26,0030-001-001,POULTRY,NO,,,,,,,
28-47-21-26,0030-001-001,DONKEYS,,,,,,,,
28-47-21-26,0030-001-001,OTHER ANIMALS,,,,,,,,
71-57-66-15,0031-001-001,LARGE RUMINANTS,NO,,,,,,NO,NO
71-57-66-15,0031-001-001,SMALL RUMINANTS,,,,,,,,
