interview__key,sdd_hhid,productid,lf08_01,lf08_02,lf08_03_1,lf08_03_2,lf08_04,lf08_05_1,lf08_05_2,lf08_06,lf08_07_a,lf08_07_b,lf08_07_c,lf08_08_1,lf08_08_2
69-04-74-63,0001-001-001,EGGS,NO,,,,,,,,,,,,
69-04-74-63,0001-001-001,HONEY,NO,,,,,,,,,,,,
69-04-74-63,0001-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
89-47-56-17,0001-001-003,EGGS,,,,,,,,,,,,,
89-47-56-17,0001-001-003,HONEY,,,,,,,,,,,,,
89-47-56-17,0001-001-003,SKIN/HIDES,,,,,,,,,,,,,
04-61-05-31,0001-001-004,EGGS,,,,,,,,,,,,,
04-61-05-31,0001-001-004,HONEY,,,,,,,,,,,,,
04-61-05-31,0001-001-004,SKIN/HIDES,,,,,,,,,,,,,
46-71-56-27,0001-004-001,EGGS,YES,2,28,PIECES,NO,,,,,,,,
46-71-56-27,0001-004-001,HONEY,YES,2,5,KGs,NO,,,,,,,,
46-71-56-27,0001-004-001,SKIN/HIDES,NO,,,,,,,,,,,,
94-40-15-31,0001-004-002,EGGS,,,,,,,,,,,,,
94-40-15-31,0001-004-002,HONEY,,,,,,,,,,,,,
94-40-15-31,0001-004-002,SKIN/HIDES,,,,,,,,,,,,,
50-85-79-66,0003-001-001,EGGS,,,,,,,,,,,,,
50-85-79-66,0003-001-001,HONEY,,,,,,,,,,,,,
50-85-79-66,0003-001-001,SKIN/HIDES,,,,,,,,,,,,,
98-30-81-51,0004-001-001,EGGS,,,,,,,,,,,,,
98-30-81-51,0004-001-001,HONEY,,,,,,,,,,,,,
98-30-81-51,0004-001-001,SKIN/HIDES,,,,,,,,,,,,,
71-75-12-39,0005-001-001,EGGS,YES,4,24,PIECES,NO,,,,,,,,
71-75-12-39,0005-001-001,HONEY,NO,,,,,,,,,,,,
71-75-12-39,0005-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
98-53-45-06,0007-001-001,EGGS,YES,4,16,PIECES,NO,,,,,,,,
98-53-45-06,0007-001-001,HONEY,NO,,,,,,,,,,,,
98-53-45-06,0007-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
20-72-78-84,0009-001-001,EGGS,NO,,,,,,,,,,,,
20-72-78-84,0009-001-001,HONEY,NO,,,,,,,,,,,,
20-72-78-84,0009-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
90-18-72-04,0010-001-001,EGGS,,,,,,,,,,,,,
90-18-72-04,0010-001-001,HONEY,,,,,,,,,,,,,
90-18-72-04,0010-001-001,SKIN/HIDES,,,,,,,,,,,,,
85-64-65-42,0011-001-001,EGGS,,,,,,,,,,,,,
85-64-65-42,0011-001-001,HONEY,,,,,,,,,,,,,
85-64-65-42,0011-001-001,SKIN/HIDES,,,,,,,,,,,,,
52-32-57-20,0012-001-001,EGGS,YES,2,10,PIECES,NO,,,,,,,,
52-32-57-20,0012-001-001,HONEY,NO,,,,,,,,,,,,
52-32-57-20,0012-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
15-20-64-14,0012-001-010,EGGS,,,,,,,,,,,,,
15-20-64-14,0012-001-010,HONEY,,,,,,,,,,,,,
15-20-64-14,0012-001-010,SKIN/HIDES,,,,,,,,,,,,,
31-30-77-11,0012-003-001,EGGS,,,,,,,,,,,,,
31-30-77-11,0012-003-001,HONEY,,,,,,,,,,,,,
31-30-77-11,0012-003-001,SKIN/HIDES,,,,,,,,,,,,,
18-76-19-96,0013-001-001,EGGS,,,,,,,,,,,,,
18-76-19-96,0013-001-001,HONEY,,,,,,,,,,,,,
18-76-19-96,0013-001-001,SKIN/HIDES,,,,,,,,,,,,,
58-42-71-45,0015-001-001,EGGS,YES,3,40,PIECES,NO,,,,,,,,
58-42-71-45,0015-001-001,HONEY,NO,,,,,,,,,,,,
58-42-71-45,0015-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
89-06-03-18,0016-001-001,EGGS,,,,,,,,,,,,,
89-06-03-18,0016-001-001,HONEY,,,,,,,,,,,,,
89-06-03-18,0016-001-001,SKIN/HIDES,,,,,,,,,,,,,
73-26-58-64,0016-001-002,EGGS,,,,,,,,,,,,,
73-26-58-64,0016-001-002,HONEY,,,,,,,,,,,,,
73-26-58-64,0016-001-002,SKIN/HIDES,,,,,,,,,,,,,
56-32-76-33,0017-001-001,EGGS,,,,,,,,,,,,,
56-32-76-33,0017-001-001,HONEY,,,,,,,,,,,,,
56-32-76-33,0017-001-001,SKIN/HIDES,,,,,,,,,,,,,
82-18-18-76,0017-002-001,EGGS,,,,,,,,,,,,,
82-18-18-76,0017-002-001,HONEY,,,,,,,,,,,,,
82-18-18-76,0017-002-001,SKIN/HIDES,,,,,,,,,,,,,
39-47-88-39,0018-001-001,EGGS,NO,,,,,,,,,,,,
39-47-88-39,0018-001-001,HONEY,NO,,,,,,,,,,,,
39-47-88-39,0018-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
40-73-12-41,0020-001-001,EGGS,YES,3,12,PIECES,NO,,,,,,,,
40-73-12-41,0020-001-001,HONEY,NO,,,,,,,,,,,,
40-73-12-41,0020-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
91-29-35-18,0021-001-002,EGGS,,,,,,,,,,,,,
91-29-35-18,0021-001-002,HONEY,,,,,,,,,,,,,
91-29-35-18,0021-001-002,SKIN/HIDES,,,,,,,,,,,,,
52-25-14-40,0023-001-001,EGGS,,,,,,,,,,,,,
52-25-14-40,0023-001-001,HONEY,,,,,,,,,,,,,
52-25-14-40,0023-001-001,SKIN/HIDES,,,,,,,,,,,,,
96-43-78-97,0024-001-001,EGGS,YES,3,24,PIECES,NO,,,,,,,,
96-43-78-97,0024-001-001,HONEY,NO,,,,,,,,,,,,
96-43-78-97,0024-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
06-46-18-18,0026-001-001,EGGS,,,,,,,,,,,,,
06-46-18-18,0026-001-001,HONEY,,,,,,,,,,,,,
06-46-18-18,0026-001-001,SKIN/HIDES,,,,,,,,,,,,,
