sdd_hhid,foodbev,alctob,foodIN,foodOUT,utilities,clothing,hhexpenses,health,transport,communic,recreat,educa,other,expm,fisherb4c4,foodbevR,alctobR,foodINR,foodOUTR,utilitiesR,clothingR,hhexpensesR,healthR,transportR,communicR,recreatR,educaR,otherR,expmR,region,quarter,urban,area,mainland,hhsize,adulteq
0001-001-001,934266.625,0,934266.625,0,29200,10000,205000,1391000,0,0,0,0,25200,2584666.5,0.969407081604004,963750.5625,0,963750.5625,0,30121.50390625,10315.583984375,211469.46875,1434897.75,0,0,0,0,25995.271484375,2666234.5,1,Jul-Sep 2019,Rural,Rural,Mainland,2,1.600000023841858
0001-001-003,990228.5625,130000,1016228.5625,104000,29200,2000,6000,65000,0,0,0,0,14400,1234828.5,0.969407081604004,1021478.5625,134102.59375,1048299.0625,107282.0703125,30121.50390625,2063.11669921875,6189.35009765625,67051.296875,0,0,0,0,14854.4404296875,1273797.75,1,Jul-Sep 2019,Rural,Rural,Mainland,1,1
0001-001-004,3128008,0,1568008,1560000,404000,65000,230000,663000,249600,360000,0,0,124000,5158608,1.09796249866486,2848920.5,0,1428107.125,1420813.5,367954.28125,59200.56640625,209478.921875,603845.75,227330.171875,327880.0625,0,0,112936.4609375,4698346.5,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,1,1
0001-004-001,1669200,182000,1851200,0,10400,540000,41000,0,104000,96000,0,0,167000,2269600,0.969407081604004,1721877.25,187743.625,1909620.875,0,10728.20703125,557041.5,42293.89453125,0,107282.0703125,99029.6015625,0,0,172270.25,2341225,1,Jul-Sep 2019,Rural,Rural,Mainland,3,2.280000001192093
0001-004-002,442000,0,442000,0,53200,32000,0,0,0,0,0,0,24000,519200,1.03654038906097,426418.5,0,426418.5,0,51324.578125,30871.927734375,0,0,0,0,0,0,23153.9453125,500897.03125,1,Oct-Dec 2019,Urban,Rest of urban,Mainland,1,0.8799999952316284
0003-001-001,5263700,0,4691700,572000,554000,669000,49000,195000,1300000,144000,0,231500,156000,7893200,0.969407081604004,5429814,0,4839762.5,590051.375,571483.3125,690112.5625,50546.359375,201153.890625,1341025.875,148544.40625,0,238805.765625,160923.109375,8142296.5,1,Jul-Sep 2019,Rural,Rural,Mainland,6,5.960000038146973
0004-001-001,8345901,0,5095901,3250000,1346400,294000,72000,236000,2140000,780000,22000,165000,216000,13323301,0.972517251968384,8581751,0,5239908,3341843,1384448.5,302308.25,74034.6796875,242669.21875,2200475,802042.3125,22621.70703125,169662.796875,222104.03125,13699809,6,Apr-Jun 2019,Rural,Rural,Mainland,5,3.9999999701976776
0005-001-001,2652478.75,0,2470478.75,182000,106400,270000,230000,0,328000,48000,0,231400,129600,3725878.75,0.969407081604004,2736186.75,0,2548443,187743.625,109757.8125,278520.75,237258.421875,0,338351.15625,49514.80078125,0,238702.609375,133689.96875,3843461.5,1,Jul-Sep 2019,Rural,Rural,Mainland,6,5.200000047683716
0007-001-001,3350285.75,0,1967085.75,1383200,14400,152000,18000,0,0,60000,0,98600,82800,3624085.75,0.969407081604004,3456015.25,0,2029163.75,1426851.5,14854.4404296875,156796.875,18568.05078125,0,0,61893.50390625,0,101711.65625,85413.03125,3738456,1,Jul-Sep 2019,Rural,Rural,Mainland,7,5.4799999594688416
0009-001-001,1730733.25,0,1730733.25,0,24000,0,19200,0,0,36000,0,30000,45600,1885533.25,1.01817429065704,1699839.875,0,1699839.875,0,23571.603515625,0,18857.283203125,0,0,35357.40234375,0,29464.50390625,44786.046875,1851876.75,1,Oct-Dec 2019,Rural,Rural,Mainland,5,4.960000038146973
