UPI,y1_hhid,indidy1,y2_hhid,indidy2,y3_hhid,indidy3,y4_hhid,indidy4,sdd_hhid,sdd_indid
1,55020180210078,1,5502018021007801,1,3924-001,1,0860-001,1,0860-001-001,1
2,55020180210068,1,5502018021006801,1,3922-001,1,0857-001,1,0857-001-001,1
3,55020180210068,2,5502018021006801,2,3922-001,2,0857-001,2,,
4,55020180210068,3,5502018021006801,3,3922-001,3,0857-001,3,0857-001-001,3
5,55020180210068,4,,,,,,,,
6,55020180210068,5,5502018021006801,4,3922-001,4,0857-001,4,0857-001-001,4
7,55020180210068,6,5502018021006801,5,3922-001,5,,,,
8,55020180210068,7,5502018021006807,4,3923-001,4,,,,
9,55020180210068,8,,,3922-108,7,,,,
10,55020180210068,9,5502018021006801,6,3922-001,6,0857-001,5,0857-001-001,5
11,55020180210059,1,,,,,,,,
12,55020180210059,2,5502018021005902,1,3920-001,1,0855-001,1,0855-001-001,1
13,55020180210059,3,5502018021005902,4,3920-001,4,0855-001,4,0855-001-001,4
14,55020180210059,4,5502018021005902,2,3920-001,2,0855-001,2,0855-001-001,2
15,55020180210059,5,5502018021005905,8,3921-001,8,0856-001,8,0856-001-001,8
16,55020180210058,1,5502018021005801,1,3919-001,1,0854-001,1,0854-001-001,1
17,55020180210058,2,5502018021005801,2,3919-001,2,0854-001,2,0854-001-001,2
18,55020180210058,3,5502018021005801,3,3919-001,3,0854-001,3,0854-001-001,3
19,55020180210058,4,5502018021005801,4,3919-001,4,0854-001,4,0854-001-001,4
20,55020180210058,5,5502018021005801,5,3919-005,10,,,,
21,55020180210058,6,5502018021005801,6,3919-005,3,,,,
22,55020180210058,7,,,,,,,,
23,55020180210058,8,5502018021005801,7,3919-001,5,0854-001,5,0854-001-001,5
24,55020180210058,9,,,,,,,,
25,55020180210054,1,5502018021005401,1,3918-001,1,0852-001,1,0852-001-001,1
26,55020180210054,2,5502018021005401,2,3918-001,2,0852-001,2,0852-001-002,2
27,55020180210054,3,5502018021005401,3,3918-001,3,0852-001,3,0852-001-001,3
28,55020180210054,4,5502018021005401,4,3918-001,4,0852-001,4,0852-001-001,4
29,55020180210042,1,5502018021004201,1,3917-001,1,0851-001,1,0851-001-001,1
30,55020180210042,2,5502018021004201,2,3917-001,2,0851-001,2,0851-001-001,2
31,55020180210042,3,5502018021004201,3,,,0851-001,4,,
32,55020180210034,1,5502018021003401,1,3916-001,1,0850-001,1,,
