hh_a01_1,technology per household
ARUSHA,4.0
DAR ES SALAAM,5.271739130434782
DODOMA,4.0
GEITA,2.411764705882353
IRINGA,4.176470588235294
KAGERA,3.275
KASKAZINI PEMBA,4.9
KASKAZINI UNGUJA,4.6
KATAVI,2.5
KIGOMA,2.5
KILIMANJARO,5.0
KUSINI PEMBA,2.0
KUSINI UNGUJA,3.7142857142857144
LINDI,2.5833333333333335
MANYARA,1.0
MARA,2.8333333333333335
MBEYA,3.3
MJINI MAGHARIBI UNGUJA,5.2
MOROGORO,3.625
MTWARA,3.5384615384615383
MWANZA,3.608695652173913
NJOMBE,7.0
PWANI,3.3529411764705883
RUKWA,2.6875
RUVUMA,4.9375
SHINYANGA,2.6923076923076925
SIMIYU,1.8333333333333333
SINGIDA,2.8333333333333335
SONGWE,3.0
TABORA,2.176470588235294
TANGA,3.0
