interview__key,y5_hhid,y4_hhid,indidy5,male,age,relation_head,head,father_educ,mother_educ,over_12,cur_married,household_num,rural,clusterid,region_name,district_name,satisfy_school_age,read_wri_kiswa,school_exp,never_attend_reason,start_school_age,cur_school,absent_reason,school_lyear,educ_attain,primary,secondary,university,cur_grade,cur_prim,cur_second,cur_univ,public,board,transportation,time_to_school,free_meal_school,miss_school_lasttwo,absent_reason_2w,access_textbook,homework_hour_week_fir,problem_school,problem_school_sec,psle,pass_psle,school_fee,book_mat,uniform_fee,transport_fee,extra_tuition,others,meal_cost,eduction_expendit_12m,adult_literacy_prog
39-26-37-98,1000-001-01,1000-001,1,1,74,head,1,0,0,1,0,1000,1,20203304004,arusha,meru,1,1,1,,11,0,FINANCIAL CONSTRAINTS,0,Primary,1,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,0
39-26-37-98,1000-001-01,1000-001,3,0,44,SON/DAUGHTER,0,,1,1,0,1000,1,20203304004,arusha,meru,1,1,1,,7,0,FINANCIAL CONSTRAINTS,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
39-26-37-98,1000-001-01,1000-001,5,1,35,SON/DAUGHTER,0,,1,1,0,1000,1,20203304004,arusha,meru,1,1,1,,7,0,FINANCIAL CONSTRAINTS,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
39-26-37-98,1000-001-01,1000-001,7,1,9,grandchild,0,,1,0,,1000,1,20203304004,arusha,meru,1,1,1,,5,1,,,,,,,Primary,1,0,0,1,0,0,30,0,yes,SCHOOL CLOSED IN BREAK,1,none,0,,,,,,,,,,,30000,
04-06-65-04,1000-001-02,1000-001,1,1,47,head,1,1,0,1,0,1000,1,20203304004,arusha,meru,1,1,1,,13,0,TO WORK/LOOKING FOR WORK,0,Primary,1,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,0
97-90-78-65,1000-001-03,1000-001,1,1,36,head,1,1,,1,1,1000,1,20203304004,arusha,meru,1,1,1,,13,0,satisfied,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
97-90-78-65,1000-001-03,1000-001,2,0,42,spouse,0,1,1,1,1,1000,1,20203304004,arusha,meru,1,1,1,,10,0,satisfied,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
97-90-78-65,1000-001-03,1000-001,4,0,21,SON/DAUGHTER,0,,,1,0,1000,1,20203304004,arusha,meru,1,1,1,,9,0,FINANCIAL CONSTRAINTS,0,Secondary,0,1,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
97-90-78-65,1000-001-03,1000-001,6,1,1,SON/DAUGHTER,0,,,0,,1000,1,20203304004,arusha,meru,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97-90-78-65,1000-001-03,1000-001,7,0,1,SON/DAUGHTER,0,,,0,,1000,1,20203304004,arusha,meru,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97-90-78-65,1000-001-03,1000-001,8,0,6,grandchild,0,,1,0,,1000,1,20203304004,arusha,meru,1,0,1,,2,1,,,,,,,Primary,1,0,0,1,0,0,6,1,yes,SCHOOL CLOSED IN BREAK,1,9,0,,,,12000,5000,10000,none,none,none,26000,,
69-87-77-12,1000-001-06,1000-001,1,1,32,head,1,,,1,1,1000,1,20203304004,arusha,meru,1,1,1,,7,0,FINANCIAL CONSTRAINTS,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
69-87-77-12,1000-001-06,1000-001,2,0,32,spouse,0,1,,1,1,1000,1,20203304004,arusha,meru,1,1,1,,8,0,FINANCIAL CONSTRAINTS,0,Secondary,0,1,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
69-87-77-12,1000-001-06,1000-001,4,1,2,SON/DAUGHTER,0,,,0,,1000,1,20203304004,arusha,meru,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-07-72-07,1001-001-01,1001-001,1,1,48,head,1,0,0,1,1,1001,1,20203304004,arusha,meru,1,1,1,,11,0,satisfied,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
48-07-72-07,1001-001-01,1001-001,2,0,45,spouse,0,1,1,1,1,1001,1,20203304004,arusha,meru,1,1,1,,8,0,satisfied,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
48-07-72-07,1001-001-01,1001-001,3,1,23,SON/DAUGHTER,0,,,1,0,1001,1,20203304004,arusha,meru,1,1,1,,4,0,OTHER (SPECIFY),0,Secondary,0,1,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
48-07-72-07,1001-001-01,1001-001,4,0,21,SON/DAUGHTER,0,,,,,1001,1,20203304004,arusha,meru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-07-72-07,1001-001-01,1001-001,5,1,17,SON/DAUGHTER,0,,,1,0,1001,1,20203304004,arusha,meru,1,1,1,,4,0,OTHER (SPECIFY),0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
48-07-72-07,1001-001-01,1001-001,6,1,14,SON/DAUGHTER,0,,,1,0,1001,1,20203304004,arusha,meru,1,1,1,,10,1,,,,,,,Primary,1,0,0,1,0,0,20,1,yes,SCHOOL CLOSED IN BREAK,1,none,0,,0,,none,1200,17000,none,none,none,none,,0
48-07-72-07,1001-001-01,1001-001,7,0,8,SON/DAUGHTER,0,,,0,,1001,1,20203304004,arusha,meru,1,1,1,,4,1,,,,,,,Primary,1,0,0,1,0,0,20,1,yes,SCHOOL CLOSED IN BREAK,1,none,0,,,,none,3000,12000,none,none,none,8000,,
48-07-72-07,1001-001-01,1001-001,8,1,2,SON/DAUGHTER,0,,,0,,1001,1,20203304004,arusha,meru,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87-35-70-53,1002-001-01,1002-001,1,1,79,head,1,,0,1,1,1002,1,20203304004,arusha,meru,1,1,1,,7,0,satisfied,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,1,,,,,,,,,0
87-35-70-53,1002-001-01,1002-001,2,0,71,spouse,0,0,0,1,1,1002,1,20203304004,arusha,meru,1,0,0,PARENTS DO NOT THINK IT IS IMPORTANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
87-35-70-53,1002-001-01,1002-001,3,0,34,SON/DAUGHTER,0,,,1,0,1002,1,20203304004,arusha,meru,1,1,1,,6,0,satisfied,0,Primary,1,0,0,,,,,,,,,,,,,,,,1,0,,,,,,,,,0
90-92-88-29,1003-001-01,1003-001,1,0,63,head,1,0,0,1,0,1003,1,20203304004,arusha,meru,1,0,0,WORKING (AT HOME OR AT A JOB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
